Author	Author nationality	Book title	Initial publication date	Word count	Book ID
Adams, Douglas	England	The Hitch Hikers Guide to Galaxy	1979	46903	102
Adams, Douglas	England	Mostly Harmless	1992	64802	140
Adams, Poppy	England	The Sister	2008	93392	208
Adams, Richard	England	Watership Down	1972	163460	87
Adams, Richard	England	Watership Down	1972	164878	292
Aiken, Joan	England	Midwinter Nightingale	2003	59356	295
Almond, David	England	A Song for Ella Grey	2014	38589	90
Amanatidou, Evridiki	Greek	The Dragon and the Garlic Eater Knights	2016	15176	252
Andrews, V. C.	USA	Flowers in the Attic	1979	134830	105
Ashley, Trisha	England	Chocolate Wishes	2010	102102	220
Ashley, Trisha	England	A Winter's Tale	2008	123514	209
Atkinson, Kate	England	One Good Turn	2006	126808	201
Auel, Jean M.	USA	The Clan of the Cave Bear	1980	208737	109
Avi	USA	The True Confessions of Charlotte Doyle	1990	55326	137
Babbitt, Natalie	USA	Tuck Everlasting	1975	27607	94
Baddiel, David	USA	The Parent Agency	2014	40143	242
Banks, Iain	Scotland	Dead Air	2002	126364	181
Banks, Lynne Reid	England	The Indian in the Cupboard	1980	44858	108
Banville, John	Ireland	The Infinities	2009	84152	217
Barrie, James Matthew	Scotland	Peter Pan	1911	47879	278
Baum, Lyman Frank	USA	The Wonderful Wizard of Oz	1900	39560	1
Bianco, Margery Williams	England	The Velveteen Rabbit	1922	11973	9
Binchy, Maeve	Ireland	Tara Road	1999	183540	167
Blackman, Malorie	England	Pig-Heart Boy	1997	54476	21
Blume, Judy	USA	Tales of a Fourth Grade Nothing	2004	24815	195
Blume, Judy	USA	Blubber	1974	27278	93
Blume, Judy	USA	Are You There God? It's Me, Margaret	1970	30333	80
Blume, Judy	USA	Superfudge	1980	31759	107
Blume, Judy	USA	Forever	1975	38731	243
Blyton, Enid	England	The Mystery of the Disappearing Cat	1944	38622	30
Blyton, Enid	England	Five On A Treasure Island	1942	39313	23
Blyton, Enid	England	Five Go Adventuring Again	1943	39468	25
Blyton, Enid	England	The Mystery of the Burnt Cottage	1943	40354	26
Blyton, Enid	England	The Famous Five	1994	40673	150
Blyton, Enid	England	The Mystery of the Secret Room	1945	40703	32
Blyton, Enid	England	The Mystery of the Missing Necklace	1947	41027	37
Blyton, Enid	England	The Mystery of the Spiteful Letters	1946	42167	36
Blyton, Enid	England	Five Go to Smuggler's Top	1945	44250	33
Boyce, Frank Cottrell	English	The Unforgotten Coat	2012	14642	271
Boyce, Frank Cottrell	England	Framed	2005	66058	253
Boyne, John	Ireland	The Boy in the Striped Pyjamas	2006	47672	202
Bradbury, Ray	USA	Fahrenheit 451	1953	46215	50
Brandford, Henrietta	England	Fire, Bed and Bone	1997	26276	63
Brink, Carol Ryrie	USA	Caddie Woodlawn	1935	51846	14
Brown, Dan	USA	Angels & Demons	2000	149547	177
Burnett, Frances Hodgson	England	A Little Princess	1905	66596	5
Burnett, Frances Hodgson	England	The Secret Garden	1911	80752	8
Caldara, Joseph	USA	Bob and the Cyber- Llama	2016	18738	255
Carroll, Lewis	England	Alice's Adventures in Wonderland	1865	26599	277
Cartwright, Ryan	England	Sugar The Robot And The Race To Save The Earth	2013	14380	230
Chanda, Nayan	India	Around the World With a Chilli	2016	5492	256
Christie, Agatha	England	And Then There Were None	1939	54008	19
Cleary, Beverly	USA	Ramona Quimby, Age 8	1981	23165	112
Cleary, Beverly	USA	The Mouse and the Motorcycle	1965	23901	75
Corcoran, Joe	England	Bad Brad Saves Christmas	2015	6566	244
Corcoran, Joe	England	Piglet Gets A New Job	2015	11394	245
Corcoran, Joe	England	Bunnies from the Future	2016	57719	257
Cowell, Cressida	England	How to Train Your Dragon	2004	28101	194
Creech, Nick	Wales	Three-P The adventures of a fairy penguin	2013	29369	234
Creech, Nick	Wales	The Blob, The Frog, The Dog, and The Girl	2016	34191	258
Creech, Nick	Wales	Beekle Henry	2013	47565	232
Creech, Nick	Wales	A Way With Dragons	2013	50408	233
Creech, Nick	Wales	Annabella 3 Hostage	2015	100552	246
Creech, Nick	Wales	Annabella Crabtree Volume 2: Hunter	2015	106373	247
Creech, Nick	Wales	Annabella Crabtree: Hunted	2015	108422	248
Creech, Nick	Wales	Galiconia	2013	210777	231
Creech, Sharon	USA	Walk Two Moons	1994	52205	151
Crossley-Holland, Kevin	England	The Seeing Stone	2001	77767	284
Crossley-Holland, Kevin	England	The Seeing Stone	2000	77767	297
Dahl, Roald	England	The Twits	1980	8458	110
Dahl, Roald	England	Fantastic Mr. Fox	1970	9700	82
Dahl, Roald	England	James and the Giant Peach	1961	26510	66
Dahl, Roald	England	Charlie and the Chocolate Factory	1964	32111	71
Dahl, Roald	England	Charlie and the Great Glass Elevator	1972	32293	86
Dahl, Roald	England	The Witches	1983	36848	116
Dahl, Roald	England	Matilda	1998	38803	166
Dahl, Roald	England	The BFG	1982	39388	113
Delaney, Joseph	England	The Spook's Apprentice	2004	60457	191
Dennis, Clarence Michael James	Australia	A Book for Kids	1921	15783	280
Diener, Michelle	England	Dark Horse	2015	115058	249
Dillion, Lucy	England	Lost Dogs and Lonely Hearts	2009	130243	218
Eager, Edward	USA	Half Magic	1954	36723	54
Eleanor, Estes	USA	The Hundred Dresses	1944	7520	31
Exupéry Antoine, de Saint	France	The Little Prince	1943	17178	28
Fahy, James	England	Hell's Teeth	2016	101626	266
Fahy, James	England	Drowned Tomb	2016	134875	265
Fahy, James	England	Chains of Gaia	2017	168189	273
Farley, Walter	USA	The Black Stallion 	1941	77036	22
Fforde, Jasper	England	The Fourth Bear	2006	102816	203
Fine, Anne	England	The Twelve Dancing Princesses	1998	3817	267
Fine, Anne	England	The Tulip Touch	2008	30780	286
Fine, Anne	England	Goggle Eyes	1989	37973	291
Fine, Anne	England	Madame Doubtfire	1987	41421	24
Fitzgerald, F Scott	USA	The Great Gatsby	1925	49104	11
Fitzhugh, Louise	USA	Harriet the Spy	1964	57845	73
Fleming, Ian	England	Casino Royale	1953	50356	48
Fleming, Ian	England	You Only Live Twice	1964	66610	72
Forbes, Esther	USA	Johnny Tremain	1943	85035	29
Gaiman, Neil	England	The Ocean at the End of the Lane	2013	55041	235
Gaiman, Neil	England	Good Omens	1990	105640	133
Garner, Alan	England	The Moon of Gomrath	1963	43109	69
Garner, Alan	England	The Weirdstone of Brisingamen	2011	59485	298
George, Jean Craighead	USA	Julie of the Wolves	1972	37395	88
George, Jean Craighead	USA	My Side of the Mountain	1959	40368	61
Geras, Adèle	England	The Six Swan Brothers	1998	3646	239
Gilbers, PJ	Unknown	Goat and the terror birds	2016	8313	259
Gilbreth Jr, Frank B	USA	Cheaper by the Dozen	1948	62848	40
Gipson, Fred	USA	Old Yeller	1956	36574	58
Golden, Arthur	USA	Memoirs of a Geisha	1997	187679	161
Golding, Sir William	England	The Double Tongue	1995	47158	152
Golding, Sir William	England	Rites of Passage	1980	72256	106
Goldman, William	USA	The Princess Bride	1973	88264	91
Golomb, Susha	Unknown	Magic Sucks	2016	34525	260
Golomb, Susha	Unknown	Out of Place	2016	37334	261
Golomb, Susha	Unknown	Invasion of the Hazmats	2017	44868	270
Graiman, Neil	England	Coraline	2002	30913	182
Grant Linda	England	The Clothes On Their Backs	2008	91201	210
Green, Simon R.	England	Ghost of a Chance	2010	69756	221
Haddon, Mark	England	The Curious Incident of the Dog in the Night-Time	2003	62968	185
Haddon, Mark	England	A Spot of Bother	2008	102235	211
Hargrave, Kiran Millwood	England	The Island at the End of Everything	2017	54771	294
Hartnett, Sonya	Australia	Thursday's Child	2002	55465	283
Henry, Marguerite	USA	Misty of Chincoteague	1947	24032	38
Herbert, Frank	USA	Dune	1965	6276	76
Herriot, James	England	All Creatures Great and Small	1972	161641	89
Hill, Robyn	USA	GRUM!	2011	21687	224
Hinton, S.E.	USA	The Outsiders	1967	49233	78
Horowitz, Anthony	England	Eagle Strike	2003	65696	62
Horowitz, Anthony	England	Ark Angel	2005	78799	264
Hosseini, Khaled	Afghanistan	The Kite Runner	2003	107379	190
Howe, James	USA	Bunnicula	1979	16453	104
Jacques, Brian	England	Redwall	1986	102923	122
Joyce, Graham	England	The Silent Land	2010	64877	222
Joyce, Graham	England	Some Kind of Fairy Tale	2012	99966	227
Juster, Norton	USA	The Phantom Tollbooth	1996	41938	156
Keene, Carolyn	USA	The Secret of the Old Clock	1930	35133	12
Kinney, Jeff	USA	Diary of a Wimpy Kid	2007	23692	207
Kipling, Rudyard	England	Just So Stories	1902	29085	2
Konigsburg, E L	USA	From the Mixed-Up Files of Mrs. Basil E. Frankweiler	2003	33356	189
L'Engle, Madeleine	USA	A Wrinkle in Time	1962	50578	68
Lee, Harper	USA	To Kill a Mockingbird	1960	100514	64
Levine, Gail Carson	USA	Ella Enchanted	1997	54277	160
Levy, Deborah	England	Hot Milk	2016	66118	263
Lewis, Clive Staples	England	The Lion, the Witch and the Wardrobe	1950	37282	42
Lewis, Clive Staples	England	The Magician’s Nephew	1955	41432	55
Lewis, Clive Staples	England	The Last Battle	1956	43474	57
Lewis, Clive Staples	England	Prince Caspian	1951	45134	43
Lewis, Clive Staples	England	The Horse and His Boy	1954	48435	51
Lewis, Clive Staples	England	The Silver Chair	1953	51560	49
Lewis, Clive Staples	England	The Voyage of the ‘Dawn Treader’	1952	52680	46
Lingard, Joan	Scotland	Across the Barricades	1973	44570	299
Lloyd, Alexander	USA	The Book of Three	1964	47211	74
Lofting, Hugh	England	The Voyages of Doctor Dolittle	1922	74927	282
London, Jack	USA	The Call of the Wild	1903	31871	3
London, Jack	USA	White Fang	1906	72257	6
Lowry, Lois	USA	Number the Stars	1989	28651	132
Lowry, Lois	USA	The Giver	1993	43917	145
MacDonald, Betty	USA	Mrs. Piggle-Wiggle	1947	21913	39
MacLachlan, Patricia	USA	Sarah, Plain and Tall	1985	11601	117
Martin, Ann M	USA	Baby-Sitters Club - Abby and the Mystery Baby	1986	27482	121
Masefield, John	England	The Box of Delights	2011	89227	274
McCaughrean, Geraldine	England	The White Darkness	2006	53579	276
McEwan, Ian	England	The Daydreamer	1994	32248	146
McEwan, Ian	England	The Children Act	2014	53172	240
McEwan, Ian	England	Saturday	2005	94812	196
Meyer, Stephanie	USA	The Host	2008	202870	216
Meyer, Stephenie	USA	Breaking Dawn	2008	187972	214
Mitchell, Margaret	USA	Gone with the Wind	1936	424038	15
Montgomery, Lucy Maud	Canada	Emily of New Moon	1923	120931	10
Morpurgo, Michael	England	Private Peaceful	2012	47232	269
Mulligan, Andy	English	Return To Ribblestrop	2011	96478	254
Ness, Patrick	England	The Knife of Never Letting Go	2008	112314	212
Norton, Mary	England	The Borrowers	1952	34893	47
O'Brien, Robert	USA	Z for Zachariah	1974	61926	289
O'Brien, Robert C	USA	Mrs. Frisby and the Rats of NIMH 	1971	55792	84
O'Dell, Scott	USA	Island of the Blue Dolphins	1987	40653	126
Orwell, George	England	Animal Farm	1945	30261	279
Orwell, George	England	1984	1949	105638	41
Paolini, Christopher	USA	Eragon	2002	110909	184
Paterson, Kathrin	USA	Bridge to Terabithia	1977	33202	98
Paulsen, Gary	USA	Hatchet	1986	43012	123
Paver, Michelle	England	Ghost Hunter	2010	54123	83
Peet, Mal	England	Exposure	2009	90532	4
Pei, Lowry	USA	Family Resemblances	1986	84936	119
Pei, Lowry	USA	Never Let You Go	1998	108809	275
Petken, Jana	Scotland	The Guardian of Secrets and Her Deathly Pact	2013	221842	238
Plitzco, Adrian	Unknown	Pirate The barking Kookaburra	2010	18407	223
Pratchett, Terry	England	Eric	1990	35605	135
Pratchett, Terry	England	The Last Hero	2001	37799	179
Pratchett, Terry	England	Diggers	1990	38110	134
Pratchett, Terry	England	Johnny and the Dead	1993	39194	144
Pratchett, Terry	England	Johnny and the Bomb	1996	48386	155
Pratchett, Terry	England	Truckers	1989	48580	129
Pratchett, Terry	England	The Amazing Maurice and His Educated Rodents	2001	63367	180
Pratchett, Terry	England	The Light Fantastic	1986	63773	120
Pratchett, Terry	England	Discworld Mort	1987	73114	124
Pratchett, Terry	England	The Wee Free Men	2003	73584	186
Pratchett, Terry	England	Reaper Man	1991	78881	138
Pratchett, Terry	England	A Hat Full of Sky	2004	80205	192
Pratchett, Terry	England	Sourcery	1988	80225	127
Pratchett, Terry	England	Witches Abroad A Discworld	1991	81665	139
Pratchett, Terry	England	Maskerade	1995	86066	153
Pratchett, Terry	England	Wyrd Sisters	1988	86439	128
Pratchett, Terry	England	Lords and Ladies	1992	87678	142
Pratchett, Terry	England	Pyramids	1989	88538	130
Pratchett, Terry	England	Wintersmith	2006	89479	204
Pratchett, Terry	England	Small Gods	1992	91438	141
Pratchett, Terry	England	Interesting Times 	1994	92355	148
Pratchett, Terry	England	The Last Continent	1998	93700	162
Pratchett, Terry	England	Feet of Clay	1996	95374	154
Pratchett, Terry	England	Men at Arms	1993	96543	143
Pratchett, Terry	England	Soul Music	1994	97390	147
Pratchett, Terry	England	Moving Pictures	1990	97722	136
Pratchett, Terry	England	Guards! Guards!	1989	99009	131
Pratchett, Terry	England	Carpe Jugulum	1998	100126	163
Pratchett, Terry	England	Thief of Time	2001	101131	178
Pratchett, Terry	England	Darwins Watch	2005	102808	197
Pratchett, Terry	England	Nation	2008	103497	213
Pratchett, Terry	England	Jingo	1997	103936	157
Pratchett, Terry	England	The Fifth Elephant	1999	106998	168
Pratchett, Terry	England	The Truth	2000	107729	172
Pratchett, Terry	England	Making Money	2007	112495	205
Pratchett, Terry	England	Night Watch	2002	114122	183
Pratchett, Terry	England	Monstrous Regiment	2003	116877	187
Pratchett, Terry	England	Going Postal	2004	118750	193
Pratchett, Terry	England	The Science of Discworld	1999	128523	169
Price, Susan	England	The Sterkarm Handshake	1999	168862	290
Pullman, Philip	England	The Subtle Knife	1997	100857	158
Pullman, Philip	England	The Golden Compass	1995	117865	149
Pullman, Philip	England	The Amber Spyglass	2000	157291	173
Raskin, Ellen	USA	The Westing Game	1978	51726	100
Reddy, Gita V.	India	Daksha, the Medicine Girl	2014	6098	241
Reeve, Philip	England	A Darkling Plain	2006	139708	114
Richard, Atwater	USA	Mr. Popper's Penguins	1938	19419	18
Riodan, Rick	USA	The Lightning Thief	2005	84933	199
Rosoff, Meg	USA	How I Live Now	2004	47261	7
Roth, Veronica	USA	Divergent	2011	106551	226
Rowling, Joanne	England	Harry Potter and the Chamber of Secrets	1998	85289	164
Rowling, Joanne	England	Harry Potter and the Prisoner of Azkaban	1999	107317	170
Rowling, Joanne	England	Harry Potter and the Half-Blood Prince	2005	168680	198
Rowling, Joanne	England	Harry Potter and the Goblet of Fire	2000	190986	174
Rowling, Joanne	England	Harry Potter and the Deathly Hallows	2007	197567	206
Rowling, Joanne	England	Harry Potter and the Order of the Phoenix	2003	256113	188
Rundell, Katherine	England	The Wolf Wilder	2015	48496	251
Sachar, Louis	USA	Sideways Stories from Wayside School	1978	21068	99
Sachar, Louis	USA	Holes	1998	49692	165
Salinger, J.D.	USA	The Catcher in the Rye	1951	75323	44
Scott Card, Orson	USA	Ender's Game	1985	101163	118
Selden, George	USA	The Cricket in Times Square	1960	25473	65
Silverstein, Shel	USA	Where the Sidewalk Ends	1974	12889	92
Silverstein, Shel	USA	A Light in the Attic	1981	14755	111
Smith, Betty	USA	A Tree Grows in Brooklyn	1943	157235	27
Smith, Dodie	England	The 101 Dalmatians	1956	45242	59
Smith, Zadie	England	white Teeth	2000	196585	175
Snicket, Lemony	USA	The Bad Beginning	1999	24424	171
Snow, Philip	England	A Coat Of Varnish	1979	112198	103
Snyder, Zilpha Keatley	USA	The Egypt Game	1967	42183	79
Sobol, Donald J.	USA	Encyclopedia Brown, Boy Detective	1963	10375	70
Sparks, Beatrice	USA	Go Ask Alice	1971	47341	85
Speare, Elizabeth George	USA	The Witch of Blackbird Pond	1958	61258	60
Stead, Rebecca	USA	Liar & Spy	2013	39258	272
Steinbeck, John	USA	Of Mice and Men	1937	20054	17
Steinbeck, John	USA	The Grapes of Wrath	1939	179734	20
Streatfeild, Noel	England	Ballet Shoes	1936	60037	16
Suzanne Collins	USA	The Hunger Games: Catching Fire	2008	101863	215
Taylor, Jodi	England	Just One Damned Thing After Another	2013	99312	237
Taylor, Mildred D.	USA	Roll of Thunder, Hear My Cry	1976	66342	96
Taylor, Sydney	USA	All-of-a-Kind Family 	1951	32431	45
Tenbeth, Kate	England	Burly & Grum and the Secret City	2012	14435	228
Tenbeth, Kate	England	Burly & Grum - Beyond the Forest	2011	17724	225
Thiessen, Celesta	Canada	GIFTED The Super Seven – Book 2	2012	13054	229
Thomas, Angie	USA	The Hate U Give	2017	9930	262
Thompson, Kate	Ireland	The New Policeman	2005	53422	95
Thompson, Lisa	England	The Goldfish Boy	2017	69902	293
Tolkien, John Ronald Reuel	England	Lord of the Rings: The Return of the King	1955	135260	56
Tolkien, John Ronald Reuel	England	The Silmarillion	1977	153888	97
Tolkien, John Ronald Reuel	England	Lord of the Rings: The Two Towers	1954	154251	53
Tolkien, John Ronald Reuel	England	Lord of the Rings: The Fellowship of the Ring	1954	188053	52
Torday, Piers	England	The Dark Wild	2014	72168	236
Tubb, E. C.	England	The Winds of Gath	1967	43279	77
Tubb, E. C.	England	THE RETURN Dumarest of Terra	1997	57486	159
Valentine, Jenny	England	Finding Violet Park	2007	37472	115
Vandell, Anneliese	USA	Hush, Hush	2009	44520	219
Wall, Dorothy	Australia	The Complete Adventures of Blinky Bill	1939	64812	281
Weir, Andy	USA	The Martian	2014	101639	101
Westall, Robert	England	Blitzcat	1989	59430	300
Westerfeld, Scott	USA	Uglies	2005	87574	200
White, E. B.	USA	Stuart Little	1945	19567	35
White, E. B.	USA	The Trumpet of the Swan	1970	42008	81
Wilder, Laura Ingalls	USA	Little House in the Big Woods	1932	35079	13
Wilson, Jacqueline	England	Sleepovers	2002	17124	268
Wilson, Jacqueline	England	The Worst Thing About My Sister	2012	39165	287
Wilson, Jacqueline	England	The Illustrated Mum	2000	62923	285
Wilson, Jacqueline	England	Four Children and It	2012	70882	288
Wilson, Rawls	USA	Where the Red Fern Grows	1961	77273	67
Winterson, Jeanette	England	The Passion	1987	36651	125
