lemma	semantic_domain
abandon	activity
accept	mental
accompany	activity
accord	mental
accuse	communication
ache	activity
acknowledge	communication
acquire	activity
act	activity
act out	activity
action	occurrence
add	activity
address	unclear_other
adjust	mental
admit	communication
advance	activity
advise	communication
advocate	communication
affect	facilitation_causation
afford	mental
agree	mental
aim	mental
aim for	mental
allow	facilitation_causation
amuse	activity
announce	communication
annoy	activity
answer	communication
appeal	communication
appear	existence_relationship
apply	activity
apply for	activity
appoint	activity
appreciate	mental
approach	aspectual
approve	mental
argue	communication
arise	occurrence
arrange	activity
arrest	activity
arrive	activity
ask	communication
ask for	communication
asphalt	activity
assess	mental
assist	facilitation_causation
assume	mental
assure	communication
astonish	activity
attack	activity
attain	activity
attempt	activity
attend	activity
attract	activity
average	existence_relationship
await	activity
bake	activity
balloon	occurrence
bark	activity
bask in	activity
battle	activity
bay	activity
be	unclear_other
be derived	existence_relationship
be located	existence_relationship
bear	mental
bear aloft	unclear_other
bear down on	existence_relationship
beat	activity
beat up	activity
beckon	occurrence
become	occurrence
beef up	activity
beg	communication
begin	aspectual
behave	activity
believe	mental
believe in	mental
bend over	activity
bet	communication
blame	mental
bleed	activity
blink	activity
block	activity
bloom	occurrence
blow	activity
blow up	occurrence
bluff	mental
blush	occurrence
board	activity
bob	occurrence
boil	occurrence
bomb	activity
boom	occurrence
bore	activity
born	occurrence
borrow	activity
bother	mental
bottle	activity
bow	activity
brag	communication
break	unclear_other
break down	occurrence
break through	occurrence
break up	activity
breathe	occurrence
breathe in	activity
bring	activity
bring about	facilitation_causation
bristle	activity
browse	activity
bubble	occurrence
budge	occurrence
bug	mental
build	activity
build up	occurrence
burgeon	occurrence
burn	activity
burst	occurrence
burst with	occurrence
buy	activity
buzz	occurrence
calculate	mental
call	communication
call for	existence_relationship
call in	activity
camp	activity
campaign	activity
care	mental
carry	activity
carry out	activity
cat-sit	activity
catch	activity
catch up	activity
cause	facilitation_causation
cease	aspectual
celebrate	activity
chain up	activity
challenge	communication
change	occurrence
charge	activity
chase	activity
chat	communication
cheat	activity
check	activity
cheer	communication
chew	activity
chew away	activity
chip in	activity
chirp	activity
choke	activity
choke up	activity
choose	mental
chop	activity
chop up	activity
chuck	activity
cite	communication
claim	communication
clap	activity
clarify	communication
clash	activity
clean	activity
clean up	activity
clear	activity
clear out	activity
clear up	activity
climb	activity
cling on	activity
close	activity
cluck	communication
collaborate	activity
collapse	occurrence
collect	activity
combine	activity
come	unclear_other
come along	activity
come back	activity
come down	unclear_other
come from	existence_relationship
come in	activity
come off	activity
come on	occurrence
come out	activity
come over	activity
come to an end	aspectual
come up	occurrence
comment	communication
commit	unclear_other
communicate	communication
compare	mental
compel	facilitation_causation
compete	activity
complain	communication
complain about	communication
complete	aspectual
compose	activity
compress	activity
conceive	mental
concentrate	mental
concern	unclear_other
conclude	mental
condemn	mental
confer with	communication
confirm	mental
confuse	mental
consider	mental
constitute	existence_relationship
consult	communication
consume	activity
contain	existence_relationship
contemplate	mental
continue	aspectual
contradict	communication
control	activity
converse	communication
convince	communication
cook	activity
cope	mental
copy	activity
cost	existence_relationship
cosy up	activity
count	mental
count on	existence_relationship
cover	activity
cower	activity
crack	occurrence
crack up	activity
crash	occurrence
crawl	activity
create	activity
creep	activity
cringe	communication
criticise	communication
cross	activity
crouch	activity
crowdfund	activity
crumble	occurrence
crush	occurrence
cry	activity
cry out	activity
cut	activity
cut down	occurrence
cut off	existence_relationship
cycle	activity
dance	activity
dare	mental
darken	occurrence
dash	activity
date	activity
dawn	mental
daydream	mental
deal	mental
deal with	unclear_other
decide	mental
declare	communication
decline	communication
decorate	activity
decrease	occurrence
defend	activity
define	existence_relationship
delete	activity
deliver	activity
demand	communication
deny	communication
depend on	existence_relationship
derive	existence_relationship
descend	activity
descibe	communication
desert	activity
deserve	existence_relationship
design	activity
desire	mental
detect	mental
determine	mental
develop	unclear_other
die	occurrence
die out	occurrence
dig	activity
dig in	activity
digress	communication
dip	unclear_other
disappear	occurrence
disclose	communication
discount	activity
discover	activity
discuss	communication
dismiss	mental
disobey	activity
dissect	activity
distinguish	mental
disturb	activity
diversify	activity
divide	activity
do	activity
doubt	mental
download	activity
doze off	activity
drag	activity
draw	activity
draw in	activity
dread	mental
dream	activity
dream of	activity
drench	activity
dress	activity
dress up	activity
drift	occurrence
drink	activity
drip	occurrence
drive	activity
drool	activity
drop	activity
drown	occurrence
dry	occurrence
dust	activity
dwindle	occurrence
dying	occurrence
earn	activity
eat	activity
eavesdrop	activity
edge away	existence_relationship
elect	activity
elude	occurrence
emerge	occurrence
emphasise	communication
emphasize	communication
employ	activity
enable	facilitation_causation
encounter	activity
encourage	communication
end	aspectual
engage	activity
engage in	activity
engulf	occurrence
enjoy	mental
ensure	facilitation_causation
entertain	activity
escape	activity
establish	aspectual
estimate	mental
evaluate	mental
evaporate	occurrence
evolve	occurrence
exaggerate	communication
examine	mental
except	activity
exclaim	communication
exclude	activity
excuse	communication
exercise	activity
exert	activity
exhibit	existence_relationship
exist	existence_relationship
expand	unclear_other
expect	mental
experience	mental
experiment	activity
explain	communication
explode	occurrence
exploit	activity
explore	activity
express	communication
extend	unclear_other
extract	activity
face	mental
face up	mental
facilitate	facilitation_causation
fade	occurrence
fade away	aspectual
fake	mental
fall	occurrence
fall apart	occurrence
fall asleep	occurrence
fall down	unclear_other
fall in love	mental
fear	mental
feed	activity
feel	mental
fight	activity
fight about	activity
fight back	activity
fight down	activity
fight for	activity
fill	activity
fill up	activity
film	activity
find	unclear_other
finger	activity
finish	aspectual
finish off	activity
fire	unclear_other
fish	activity
fit	existence_relationship
fix	activity
fix up	activity
flame	occurrence
flap	occurrence
flash	occurrence
flick	activity
flick through	activity
flirt	activity
flit	occurrence
float	occurrence
float away	existence_relationship
flood out	occurrence
flounder	existence_relationship
flourish	occurrence
flow	occurrence
fly	activity
fly around	activity
fly over	occurrence
focus	mental
fold	activity
follow	unclear_other
fool	activity
fool around	activity
force	facilitation_causation
force open	activity
forget	mental
forgive	mental
form	activity
form up	occurrence
freewheel	activity
freeze	occurrence
frighten	mental
frown	communication
fry	activity
function	existence_relationship
fundraise	activity
gain	occurrence
garden	activity
gasp	communication
gather	activity
gaze	mental
gear up	activity
get	unclear_other
get along	existence_relationship
get at	unclear_other
get away	activity
get back	activity
get in	activity
get in touch w someone	communication
get into	aspectual
get married	activity
get off	activity
get on	existence_relationship
get onto	unclear_other
get out	activity
get ready	activity
get started	aspectual
get through	mental
get underway	aspectual
get up	activity
get used	mental
give	unclear_other
give away	activity
give cause for	facilitation_causation
give in	mental
give off	occurrence
give up	mental
glow	occurrence
gnaw	unclear_other
go	unclear_other
go ahead	activity
go along	unclear_other
go away	activity
go back	activity
go crazy	mental
go down	occurrence
go for	unclear_other
go in	activity
go off	activity
go on	occurrence
go out	activity
go over	communication
go round	occurrence
go through	mental
go under	occurrence
go up	unclear_other
go wrong	occurrence
gorge on	activity
grab	activity
grasp	activity
greet	communication
grill	activity
grin	communication
grip	activity
groan	communication
grope	activity
grow	occurrence
grow up	occurrence
growl	communication
grumble	communication
guarantee	facilitation_causation
guard	activity
guess	mental
hail	unclear_other
half-expect	mental
hamper	unclear_other
hand	activity
hand out	activity
hand over	activity
handcuff	activity
hang	activity
hang  out	activity
hang about	activity
hang on	activity
hang out	activity
hang out with	activity
happen	occurrence
harass	activity
harm	activity
hassle	activity
hate	mental
have	unclear_other
have fun	activity
have on	unclear_other
have to	existence_relationship
head	activity
hear	mental
