"Lemma" "Corpus" "Semantic domain"
"1" "abandon" "Youth Fiction Sampled" "activity"
"2" "accept" "Spoken BNC 2014" "mental"
"3" "accept" "Spoken BNC 2014" "mental"
"4" "accord" "Youth Fiction Sampled" "mental"
"5" "accord" "Youth Fiction Sampled" "mental"
"6" "ache" "Spoken BNC 2014" "activity"
"7" "ache" "Youth Fiction Sampled" "activity"
"8" "act" "Textbook Conversation" "activity"
"9" "act" "Youth Fiction Sampled" "activity"
"10" "act" "Textbook Conversation" "activity"
"11" "act" "Youth Fiction Sampled" "activity"
"12" "act" "Textbook Fiction" "activity"
"13" "act" "Textbook Fiction" "activity"
"14" "act out" "Youth Fiction Sampled" "activity"
"15" "action" "Spoken BNC 2014" "occurrence"
"16" "add" "Textbook Conversation" "activity"
"17" "add" "Youth Fiction Sampled" "activity"
"18" "add" "Spoken BNC 2014" "activity"
"19" "add" "Spoken BNC 2014" "activity"
"20" "address" "Textbook Fiction" "unclear_other"
"21" "address" "Youth Fiction Sampled" "unclear_other"
"22" "advance" "Youth Fiction Sampled" "activity"
"23" "advance" "Youth Fiction Sampled" "activity"
"24" "advise" "Textbook Conversation" "communication"
"25" "agree" "Spoken BNC 2014" "mental"
"26" "aim" "Spoken BNC 2014" "mental"
"27" "aim" "Spoken BNC 2014" "mental"
"28" "aim for" "Youth Fiction Sampled" "mental"
"29" "allow" "Spoken BNC 2014" "facilitation_causation"
"30" "amuse" "Youth Fiction Sampled" "activity"
"31" "announce" "Spoken BNC 2014" "communication"
"32" "annoy" "Spoken BNC 2014" "activity"
"33" "annoy" "Spoken BNC 2014" "activity"
"34" "annoy" "Spoken BNC 2014" "activity"
"35" "answer" "Spoken BNC 2014" "communication"
"36" "answer" "Textbook Conversation" "communication"
"37" "answer" "Textbook Conversation" "communication"
"38" "answer" "Textbook Conversation" "communication"
"39" "answer" "Youth Fiction Sampled" "communication"
"40" "answer" "Youth Fiction Sampled" "communication"
"41" "apply" "Spoken BNC 2014" "activity"
"42" "apply" "Spoken BNC 2014" "activity"
"43" "apply for" "Textbook Fiction" "activity"
"44" "appoint" "Textbook Conversation" "activity"
"45" "appreciate" "Youth Fiction Sampled" "mental"
"46" "approach" "Textbook Conversation" "aspectual"
"47" "approach" "Textbook Conversation" "aspectual"
