"lemma"	"BNC_prog_count"	"BNC_non_prog"
"1"	"accept"	2	10.6977756726604
"2"	"ache"	1	0.643241557638399
"3"	"act"	0	9.89679574486763
"5"	"add"	2	27.8771192297891
"6"	"advise"	0	2.72628712971825
"7"	"agree"	1	35.4500854603427
"8"	"aim"	2	1.99606469698429
"9"	"allow"	1	58.1566960749824
"10"	"announce"	2	0.65159433164378
"11"	"annoy"	4	13.5154611484638
"12"	"answer"	1	12.6687820476285
"13"	"apply"	2	18.4658266724055
"14"	"appoint"	0	0.560195985558545
"15"	"approach"	0	3.65994710564916
"16"	"argue"	5	4.29925336027185
"17"	"arrange"	1	5.12480944210676
"18"	"arrive"	0	17.70219314365
"19"	"ask"	14	148.008679023531
"21"	"assume"	2	16.3744283263203
"22"	"attack"	2	9.83880849480392
"23"	"attract"	2	0.688940730681017
"24"	"babysit"	1	0
"25"	"bake"	0	4.07075749505876
"27"	"bang"	2	2.108103894096
"29"	"bark"	1	0.269777567266036
"30"	"base"	2	10.6230828745859
"33"	"be"	56	21020.104179073
"34"	"beat"	1	14.8348731917882
"35"	"become"	5	44.932135512785
"37"	"begin"	2	8.97984131694748
"38"	"behave"	0	4.66829987965454
"39"	"believe"	1	69.6220405794139
"40"	"bet"	2	43.039757238907
"41"	"blame"	1	8.1498677641229
"42"	"blink"	1	0.00835277400538126
"43"	"block"	2	6.29090058626647
"44"	"bloom"	1	0.792627153787344
"45"	"blow"	2	11.6314356485913
"46"	"board"	1	0.605895158601163
"47"	"boil"	1	5.53561983151636
"48"	"bomb"	1	0.94201274993629
"49"	"book"	1	32.0142167489169
"50"	"bore"	1	5.94643022092596
"51"	"borrow"	0	8.51497898048989
"52"	"bother"	1	37.5041374073907
"54"	"bow"	0	0.784274379781963
"56"	"break"	2	46.5876651474445
"57"	"breathe"	1	4.3405350623248
"58"	"bring"	4	91.7935135305112
"59"	"browse"	1	0
"60"	"build"	6	40.7203451955827
"62"	"burn"	3	15.1130035330596
"63"	"burst"	0	2.054051947048
"64"	"buy"	19	200.85825113221
"65"	"call"	6	199.181116310576
"66"	"camp"	1	1.80097992779273
"67"	"carry"	2	33.7405038786352
"69"	"catch"	1	27.2338776721507
"70"	"cause"	2	9.12922691309643
"71"	"celebrate"	1	2.88402549987258
"72"	"change"	4	90.2623111699845
"73"	"charge"	5	15.6152122685545
"74"	"chase"	0	3.95871829794705
"75"	"chat"	6	7.96755323992639
"76"	"cheat"	1	5.01277024499505
"77"	"check"	3	46.0358219358913
"78"	"cheer"	0	4.78033907676625
"79"	"chew"	2	1.73463990372363
"80"	"chip"	1	2.21179031720233
"81"	"choke"	1	0.269777567266036
"82"	"choose"	0	42.7242804985984
"83"	"chop"	2	6.58967177856436
"84"	"clap"	1	0.456509562452217
"86"	"clean"	4	15.0840099080278
"87"	"clear"	2	7.33659975930908
"88"	"climb"	1	4.7513454517344
"89"	"close"	3	18.1380618550758
"91"	"collect"	1	12.10858606207
"92"	"come"	102	695.382965844033
"93"	"comment"	1	2.21179031720233
"94"	"commit"	0	3.13709751912785
"95"	"communicate"	0	3.17444391816509
"96"	"compete"	1	1.054051947048
"97"	"complain"	2	10.8845076678465
"98"	"compose"	1	0
"99"	"concentrate"	5	0
"100"	"confuse"	1	3.40687508639389
"101"	"consider"	5	14.2333955041767
"102"	"consume"	0	1.30712396630327
"103"	"continue"	2	6.6270181776016
"105"	"control"	1	5.01277024499505
"106"	"cook"	10	35.4505676283166
"107"	"cope"	1	5.90908382188872
"108"	"copy"	1	4.37788146136203
"109"	"cost"	2	32.918883099816
"111"	"cough"	1	1.42751593742036
"112"	"count"	1	16.8142323407617
"113"	"crack"	1	5.53561983151636
"114"	"create"	1	13.8638668168201
"116"	"criticise"	1	0.94201274993629
"117"	"cross"	1	10.6147301005805
"119"	"crumble"	1	0.083045572079854
"120"	"cry"	8	9.81423234076173
"121"	"cut"	5	46.986187459833
"122"	"cycle"	1	6.02112301900043
"123"	"dance"	0	7.17050861514938
"124"	"date"	3	1.03341109602153
"125"	"deal"	5	11.4697619754212
"126"	"decide"	1	47.5876651474445
"127"	"decline"	1	0
