words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
accept,2,10.69777567,0.75,11.95,X.BNC_prog_count.,0,0.1,1.58
ache,1,0.643241558,0.1,1.55,X.BNC_prog_count.,0,0.55,3.55
act,0,9.896795745,0.58,9.32,X.BNC_non_prog.,0,-0.06,1.2
add,2,27.87711923,1.75,28.12,X.BNC_prog_count.,0,0.01,0.04
advise,0,2.72628713,0.16,2.57,X.BNC_non_prog.,0,-0.06,0.33
agree,1,35.45008546,2.14,34.31,X.BNC_non_prog.,0,-0.03,0.8
aim,2,1.996064697,0.23,3.76,X.BNC_prog_count.,0,0.44,6.04
allow,1,58.15669607,3.47,55.68,X.BNC_non_prog.,0,-0.04,2.57
announce,2,0.651594332,0.16,2.5,X.BNC_prog_count.,0,0.7,8.46
annoy,4,13.51546115,1.03,16.49,X.BNC_prog_count.,0,0.17,5.5
answer,1,12.66878205,0.8,12.87,X.BNC_prog_count.,0,0.01,0.05
apologise,2,0,0.12,1.88,X.BNC_prog_count.,0,0.94,11.34
apply,2,18.46582667,1.2,19.26,X.BNC_prog_count.,0,0.04,0.47
appoint,0,0.560195986,0.03,0.53,X.BNC_non_prog.,0,-0.06,0.07
approach,0,3.659947106,0.21,3.45,X.BNC_non_prog.,0,-0.06,0.44
argue,5,4.29925336,0.55,8.75,X.BNC_prog_count.,0,0.48,16.04
arrange,1,5.124809442,0.36,5.77,X.BNC_prog_count.,0,0.1,0.84
arrive,0,17.70219314,1.04,16.66,X.BNC_non_prog.,0,-0.06,2.14
ask,14,148.008679,9.51,152.5,X.BNC_prog_count.,0,0.03,1.99
assume,2,16.37442833,1.08,17.3,X.BNC_prog_count.,0,0.05,0.68
attack,2,9.838808495,0.7,11.14,X.BNC_prog_count.,0,0.11,1.78
attract,2,0.688940731,0.16,2.53,X.BNC_prog_count.,0,0.69,8.36
babysit,1,0,0.06,0.94,X.BNC_prog_count.,0,0.94,5.67
bake,0,4.070757495,0.24,3.83,X.BNC_non_prog.,0,-0.06,0.49
bang,2,2.108103894,0.24,3.87,X.BNC_prog_count.,0,0.43,5.9
bark,1,0.269777567,0.07,1.2,X.BNC_prog_count.,0,0.73,4.39
base,2,10.62308287,0.74,11.88,X.BNC_prog_count.,0,0.1,1.59
be,56,21020.10418,1237.43,19838.67,X.BNC_non_prog.,-0.37,-0.09,2691.13
beat,1,14.83487319,0.93,14.91,X.BNC_prog_count.,0,0,0.01
become,5,44.93213551,2.93,47,X.BNC_prog_count.,0,0.04,1.3
begin,2,8.979841317,0.64,10.34,X.BNC_prog_count.,0,0.12,2
behave,0,4.66829988,0.27,4.39,X.BNC_non_prog.,0,-0.06,0.56
believe,1,69.62204058,4.15,66.48,X.BNC_non_prog.,0,-0.04,3.6
bet,2,43.03975724,2.64,42.4,X.BNC_non_prog.,0,-0.01,0.18
blame,1,8.149867764,0.54,8.61,X.BNC_prog_count.,0,0.05,0.34
blink,1,0.008352774,0.06,0.95,X.BNC_prog_count.,0,0.93,5.57
block,2,6.290900586,0.49,7.8,X.BNC_prog_count.,0,0.18,2.94
bloom,1,0.792627154,0.11,1.69,X.BNC_prog_count.,0,0.5,3.31
blow,2,11.63143565,0.8,12.83,X.BNC_prog_count.,0,0.09,1.38
board,1,0.605895159,0.09,1.51,X.BNC_prog_count.,0,0.56,3.62
boil,1,5.535619832,0.38,6.15,X.BNC_prog_count.,0,0.09,0.75
bomb,1,0.94201275,0.11,1.83,X.BNC_prog_count.,0,0.46,3.09
book,1,32.01421675,1.94,31.08,X.BNC_non_prog.,0,-0.03,0.58
bore,1,5.946430221,0.41,6.54,X.BNC_prog_count.,0,0.09,0.66
borrow,0,8.51497898,0.5,8.02,X.BNC_non_prog.,0,-0.06,1.03
bother,1,37.50413741,2.26,36.24,X.BNC_non_prog.,0,-0.03,0.93
bow,0,0.78427438,0.05,0.74,X.BNC_non_prog.,0,-0.06,0.09
break,2,46.58766515,2.85,45.73,X.BNC_non_prog.,0,-0.02,0.3
breathe,1,4.340535062,0.31,5.03,X.BNC_prog_count.,0,0.13,1.05
bring,4,91.79351353,5.62,90.17,X.BNC_non_prog.,0,-0.02,0.55
browse,1,0,0.06,0.94,X.BNC_prog_count.,0,0.94,5.67
build,6,40.7203452,2.74,43.98,X.BNC_prog_count.,0,0.07,3.13
burn,3,15.11300353,1.06,17.05,X.BNC_prog_count.,0,0.11,2.58
burst,0,2.054051947,0.12,1.93,X.BNC_non_prog.,0,-0.06,0.25
buy,19,200.8582511,12.91,206.95,X.BNC_prog_count.,0,0.03,2.7
call,6,199.1811163,12.05,193.13,X.BNC_non_prog.,0,-0.03,3.93
camp,1,1.800979928,0.16,2.64,X.BNC_prog_count.,0,0.3,2.24
carry,2,33.74050388,2.1,33.64,X.BNC_non_prog.,0,0,0
catch,1,27.23387767,1.66,26.58,X.BNC_non_prog.,0,-0.02,0.32
cause,2,9.129226913,0.65,10.48,X.BNC_prog_count.,0,0.12,1.96
celebrate,1,2.8840255,0.23,3.66,X.BNC_prog_count.,0,0.2,1.59
change,4,90.26231117,5.53,88.73,X.BNC_non_prog.,0,-0.02,0.5
charge,5,15.61521227,1.21,19.4,X.BNC_prog_count.,0,0.18,7.4
chase,0,3.958718298,0.23,3.73,X.BNC_non_prog.,0,-0.06,0.48
chat,6,7.96755324,0.82,13.15,X.BNC_prog_count.,0,0.37,15.91
cheat,1,5.012770245,0.35,5.66,X.BNC_prog_count.,0,0.11,0.87
check,3,46.03582194,2.88,46.16,X.BNC_prog_count.,0,0,0.01
cheer,0,4.780339077,0.28,4.5,X.BNC_non_prog.,0,-0.06,0.58
chew,2,1.734639904,0.22,3.52,X.BNC_prog_count.,0,0.48,6.39
chip,1,2.211790317,0.19,3.02,X.BNC_prog_count.,0,0.25,1.95
choke,1,0.269777567,0.07,1.2,X.BNC_prog_count.,0,0.73,4.39
choose,0,42.7242805,2.51,40.22,X.BNC_non_prog.,0,-0.06,5.17
chop,2,6.589671779,0.5,8.09,X.BNC_prog_count.,0,0.17,2.82
clap,1,0.456509562,0.09,1.37,X.BNC_prog_count.,0,0.63,3.91
clean,4,15.08400991,1.12,17.96,X.BNC_prog_count.,0,0.15,4.91
clear,2,7.336599759,0.55,8.79,X.BNC_prog_count.,0,0.16,2.53
