"Lemma"	"Corpus"
"1"	"travel"	"Spoken BNC 2014 sample"
"2"	"lie"	"Spoken BNC 2014 sample"
"3"	"attack"	"Spoken BNC 2014 sample"
"4"	"pilot"	"Spoken BNC 2014 sample"
"5"	"have"	"Spoken BNC 2014 sample"
"6"	"lose"	"Spoken BNC 2014 sample"
"7"	"be"	"Spoken BNC 2014 sample"
"8"	"sabotage"	"Spoken BNC 2014 sample"
"9"	"play"	"Spoken BNC 2014 sample"
"10"	"play"	"Spoken BNC 2014 sample"
"11"	"tick"	"Spoken BNC 2014 sample"
"12"	"do"	"Spoken BNC 2014 sample"
"13"	"block"	"Spoken BNC 2014 sample"
"14"	"put"	"Spoken BNC 2014 sample"
"15"	"ask"	"Spoken BNC 2014 sample"
"16"	"give"	"Spoken BNC 2014 sample"
"17"	"say"	"Spoken BNC 2014 sample"
"18"	"use"	"Spoken BNC 2014 sample"
"19"	"have"	"Spoken BNC 2014 sample"
"20"	"think"	"Spoken BNC 2014 sample"
"21"	"say"	"Spoken BNC 2014 sample"
"22"	"think"	"Spoken BNC 2014 sample"
"23"	"bring"	"Spoken BNC 2014 sample"
"24"	"buy"	"Spoken BNC 2014 sample"
"25"	"mark"	"Spoken BNC 2014 sample"
"26"	"say"	"Spoken BNC 2014 sample"
"27"	"read"	"Spoken BNC 2014 sample"
"28"	"watch"	"Spoken BNC 2014 sample"
"29"	"hope"	"Spoken BNC 2014 sample"
"30"	"speak"	"Spoken BNC 2014 sample"
"31"	"think"	"Spoken BNC 2014 sample"
"32"	"make"	"Spoken BNC 2014 sample"
"33"	"go"	"Spoken BNC 2014 sample"
"34"	"cook"	"Spoken BNC 2014 sample"
"35"	"hope"	"Spoken BNC 2014 sample"
"36"	"go"	"Spoken BNC 2014 sample"
"37"	"go"	"Spoken BNC 2014 sample"
"38"	"look"	"Spoken BNC 2014 sample"
"39"	"do"	"Spoken BNC 2014 sample"
"40"	"pay"	"Spoken BNC 2014 sample"
"41"	"say"	"Spoken BNC 2014 sample"
"42"	"hope"	"Spoken BNC 2014 sample"
"43"	"charge"	"Spoken BNC 2014 sample"
"44"	"say"	"Spoken BNC 2014 sample"
"45"	"charge"	"Spoken BNC 2014 sample"
"46"	"do"	"Spoken BNC 2014 sample"
"47"	"go"	"Spoken BNC 2014 sample"
"48"	"buy"	"Spoken BNC 2014 sample"
"49"	"go out"	"Spoken BNC 2014 sample"
"50"	"meet"	"Spoken BNC 2014 sample"
"51"	"trend"	"Spoken BNC 2014 sample"
"52"	"talk"	"Spoken BNC 2014 sample"
"53"	"go"	"Spoken BNC 2014 sample"
"54"	"tell"	"Spoken BNC 2014 sample"
"55"	"pick up"	"Spoken BNC 2014 sample"
"56"	"do"	"Spoken BNC 2014 sample"
"57"	"travel"	"Spoken BNC 2014 sample"
"58"	"do"	"Spoken BNC 2014 sample"
"59"	"try"	"Spoken BNC 2014 sample"
"60"	"eat"	"Spoken BNC 2014 sample"
"61"	"decide"	"Spoken BNC 2014 sample"
"62"	"laugh"	"Spoken BNC 2014 sample"
"63"	"try"	"Spoken BNC 2014 sample"
"64"	"practice"	"Spoken BNC 2014 sample"
"65"	"try"	"Spoken BNC 2014 sample"
"66"	"forget"	"Spoken BNC 2014 sample"
"67"	"read"	"Spoken BNC 2014 sample"
"68"	"happen"	"Spoken BNC 2014 sample"
"69"	"sit"	"Spoken BNC 2014 sample"
"70"	"manage"	"Spoken BNC 2014 sample"
"71"	"go"	"Spoken BNC 2014 sample"
"72"	"pay"	"Spoken BNC 2014 sample"
"73"	"give"	"Spoken BNC 2014 sample"
"74"	"go"	"Spoken BNC 2014 sample"
"75"	"chat"	"Spoken BNC 2014 sample"
"76"	"do"	"Spoken BNC 2014 sample"
"77"	"think"	"Spoken BNC 2014 sample"
"78"	"think"	"Spoken BNC 2014 sample"
"79"	"record"	"Spoken BNC 2014 sample"
"80"	"work"	"Spoken BNC 2014 sample"
"81"	"think"	"Spoken BNC 2014 sample"
"82"	"cook"	"Spoken BNC 2014 sample"
"83"	"snow"	"Spoken BNC 2014 sample"
"84"	"stand"	"Spoken BNC 2014 sample"
"85"	"teach"	"Spoken BNC 2014 sample"
"86"	"go"	"Spoken BNC 2014 sample"
"87"	"go"	"Spoken BNC 2014 sample"
"88"	"start"	"Spoken BNC 2014 sample"
"89"	"keep"	"Spoken BNC 2014 sample"
"90"	"lay"	"Spoken BNC 2014 sample"
"91"	"facilitate"	"Spoken BNC 2014 sample"
"92"	"contradict"	"Spoken BNC 2014 sample"
"93"	"be"	"Spoken BNC 2014 sample"
"94"	"do"	"Spoken BNC 2014 sample"
"95"	"paint"	"Spoken BNC 2014 sample"
"96"	"touch"	"Spoken BNC 2014 sample"
"97"	"think"	"Spoken BNC 2014 sample"
"98"	"buy"	"Spoken BNC 2014 sample"
"99"	"date"	"Spoken BNC 2014 sample"
"100"	"snow"	"Spoken BNC 2014 sample"
"101"	"start"	"Spoken BNC 2014 sample"
"102"	"try"	"Spoken BNC 2014 sample"
"103"	"go"	"Spoken BNC 2014 sample"
"104"	"try"	"Spoken BNC 2014 sample"
"105"	"hear"	"Spoken BNC 2014 sample"
"106"	"sit"	"Spoken BNC 2014 sample"
"107"	"film"	"Spoken BNC 2014 sample"
"108"	"have"	"Spoken BNC 2014 sample"
"109"	"go"	"Spoken BNC 2014 sample"
"110"	"say"	"Spoken BNC 2014 sample"
"111"	"play"	"Spoken BNC 2014 sample"
"112"	"try"	"Spoken BNC 2014 sample"
"113"	"see"	"Spoken BNC 2014 sample"
"114"	"tell"	"Spoken BNC 2014 sample"
"115"	"live"	"Spoken BNC 2014 sample"
"116"	"get"	"Spoken BNC 2014 sample"
"117"	"have"	"Spoken BNC 2014 sample"
"118"	"think"	"Spoken BNC 2014 sample"
"119"	"meet"	"Spoken BNC 2014 sample"
"120"	"talk"	"Spoken BNC 2014 sample"
"121"	"cry"	"Spoken BNC 2014 sample"
"122"	"say"	"Spoken BNC 2014 sample"
"123"	"attract"	"Spoken BNC 2014 sample"
"124"	"look"	"Spoken BNC 2014 sample"
"125"	"look for"	"Spoken BNC 2014 sample"
"126"	"do"	"Spoken BNC 2014 sample"
"127"	"look"	"Spoken BNC 2014 sample"
"128"	"make"	"Spoken BNC 2014 sample"
"129"	"waste"	"Spoken BNC 2014 sample"
"130"	"want"	"Spoken BNC 2014 sample"
