"Lemma"	"Corpus"
"1"	"sit"	"Youth Fiction Sampled"
"2"	"try"	"Youth Fiction Sampled"
"3"	"cry out"	"Youth Fiction Sampled"
"4"	"talk about"	"Youth Fiction Sampled"
"5"	"think"	"Youth Fiction Sampled"
"6"	"say"	"Youth Fiction Sampled"
"7"	"go"	"Youth Fiction Sampled"
"8"	"wait"	"Youth Fiction Sampled"
"9"	"behave"	"Youth Fiction Sampled"
"10"	"look up"	"Youth Fiction Sampled"
"11"	"like"	"Youth Fiction Sampled"
"12"	"move"	"Youth Fiction Sampled"
"13"	"carry"	"Youth Fiction Sampled"
"14"	"talk"	"Youth Fiction Sampled"
"15"	"tell"	"Youth Fiction Sampled"
"16"	"lurk"	"Youth Fiction Sampled"
"17"	"do"	"Youth Fiction Sampled"
"18"	"get"	"Youth Fiction Sampled"
"19"	"race"	"Youth Fiction Sampled"
"20"	"expect"	"Youth Fiction Sampled"
"21"	"do"	"Youth Fiction Sampled"
"22"	"hunt"	"Youth Fiction Sampled"
"23"	"pound"	"Youth Fiction Sampled"
"24"	"aim for"	"Youth Fiction Sampled"
"25"	"live"	"Youth Fiction Sampled"
"26"	"kill"	"Youth Fiction Sampled"
"27"	"hang"	"Youth Fiction Sampled"
"28"	"go"	"Youth Fiction Sampled"
"29"	"see"	"Youth Fiction Sampled"
"30"	"talk about"	"Youth Fiction Sampled"
"31"	"discuss"	"Youth Fiction Sampled"
"32"	"watch"	"Youth Fiction Sampled"
"33"	"happen"	"Youth Fiction Sampled"
"34"	"laugh"	"Youth Fiction Sampled"
"35"	"happen"	"Youth Fiction Sampled"
"36"	"sit"	"Youth Fiction Sampled"
"37"	"stand"	"Youth Fiction Sampled"
"38"	"edge away"	"Youth Fiction Sampled"
"39"	"hold up"	"Youth Fiction Sampled"
"40"	"do"	"Youth Fiction Sampled"
"41"	"kneel"	"Youth Fiction Sampled"
"42"	"throb"	"Youth Fiction Sampled"
"43"	"blow"	"Youth Fiction Sampled"
"44"	"introduce"	"Youth Fiction Sampled"
"45"	"make"	"Youth Fiction Sampled"
"46"	"get at"	"Youth Fiction Sampled"
"47"	"go"	"Youth Fiction Sampled"
"48"	"pour down"	"Youth Fiction Sampled"
"49"	"travel"	"Youth Fiction Sampled"
"50"	"start"	"Youth Fiction Sampled"
"51"	"increase"	"Youth Fiction Sampled"
"52"	"run"	"Youth Fiction Sampled"
"53"	"stand"	"Youth Fiction Sampled"
"54"	"move"	"Youth Fiction Sampled"
"55"	"say"	"Youth Fiction Sampled"
"56"	"hold"	"Youth Fiction Sampled"
"57"	"watch"	"Youth Fiction Sampled"
"58"	"plan"	"Youth Fiction Sampled"
"59"	"search"	"Youth Fiction Sampled"
"60"	"protect"	"Youth Fiction Sampled"
"61"	"confuse"	"Youth Fiction Sampled"
"62"	"say"	"Youth Fiction Sampled"
"63"	"speak"	"Youth Fiction Sampled"
"64"	"think about"	"Youth Fiction Sampled"
"65"	"crouch"	"Youth Fiction Sampled"
"66"	"keel over"	"Youth Fiction Sampled"
"67"	"do"	"Youth Fiction Sampled"
"68"	"come up"	"Youth Fiction Sampled"
"69"	"come down"	"Youth Fiction Sampled"
"70"	"go"	"Youth Fiction Sampled"
"71"	"have"	"Youth Fiction Sampled"
"72"	"come up"	"Youth Fiction Sampled"
"73"	"go down"	"Youth Fiction Sampled"
"74"	"ask"	"Youth Fiction Sampled"
"75"	"make"	"Youth Fiction Sampled"
"76"	"catch up"	"Youth Fiction Sampled"
"77"	"work"	"Youth Fiction Sampled"
"78"	"savour"	"Youth Fiction Sampled"
"79"	"think"	"Youth Fiction Sampled"
"80"	"wait"	"Youth Fiction Sampled"
"81"	"shake"	"Youth Fiction Sampled"
