"lemma"	"TxB_Nar_prog_count"	"TxB_Nar_non_prog"
"1"	"abandon"	0	1
"2"	"accord"	0	2
"4"	"act"	2	13
"5"	"add"	0	30
"6"	"address"	1	8
"7"	"advance"	0	1
"8"	"aim"	0	4
"9"	"amuse"	0	1
"10"	"answer"	0	115
"11"	"apply"	1	5
"12"	"appreciate"	0	2
"13"	"argue"	0	4
"14"	"arrange"	0	8
"15"	"arrest"	1	4
"16"	"arrive"	1	110
"17"	"ask"	3	503
"18"	"astonish"	0	1
"19"	"attack"	1	5
"20"	"attempt"	0	1
"21"	"attend"	1	6
"23"	"bake"	0	1
"24"	"bark"	3	7
"26"	"be"	3	7227
"27"	"bear"	0	30
"28"	"beat"	2	12
"30"	"become"	5	102
"31"	"beg"	0	7
"32"	"begin"	6	124
"33"	"behave"	1	2
"34"	"believe"	0	94
"35"	"bend"	0	7
"36"	"bet"	0	5
"38"	"bleed"	2	2
"40"	"blow"	3	13
"41"	"bluff"	1	0
"43"	"boil"	1	1
"44"	"bother"	0	5
"45"	"bow"	0	6
"46"	"brag"	1	0
"47"	"break"	2	47
"48"	"breathe"	2	9
"49"	"bring"	1	63
"51"	"browse"	1	0
"52"	"bubble"	0	3
"54"	"bug"	1	2
"55"	"build"	2	28
"56"	"burn"	6	19
"57"	"burst"	0	5
"58"	"buy"	4	52
"59"	"buzz"	0	2
"60"	"call"	7	211
"61"	"campaign"	2	0
"62"	"carry"	8	45
"63"	"catch"	1	69
"64"	"cause"	0	7
"65"	"celebrate"	4	9
"67"	"change"	4	48
"68"	"chase"	2	3
"69"	"chat"	2	6
"70"	"cheat"	1	1
"71"	"check"	1	39
"72"	"cheer"	2	11
"73"	"chew"	1	0
"75"	"choke"	1	0
"76"	"chop"	0	2
"78"	"cite"	1	0
"79"	"clap"	0	15
"80"	"clash"	0	1
"81"	"clean"	1	8
"82"	"clear"	2	9
"84"	"close"	1	51
"86"	"collapse"	1	0
"87"	"collect"	2	13
"88"	"come"	35	609
"89"	"complain"	1	4
"91"	"concentrate"	2	6
"93"	"confuse"	0	3
"94"	"consider"	0	6
"95"	"cook"	3	13
"96"	"count"	0	32
"98"	"crash"	1	15
"99"	"crawl"	0	3
"100"	"creep"	1	7
"101"	"cross"	1	22
"102"	"crouch"	0	1
"103"	"crush"	0	2
"104"	"cry"	6	51
"105"	"cut"	1	27
"106"	"cycle"	3	3
"107"	"dance"	8	26
"109"	"dash"	0	2
"111"	"daydream"	1	0
"112"	"deal"	0	1
"113"	"deliver"	0	1
"114"	"demand"	0	2
"115"	"depend"	0	3
"116"	"descend"	0	1
"117"	"develop"	1	11
"118"	"die"	2	80
"119"	"dig"	2	1
"120"	"dip"	0	1
"121"	"disappear"	1	45
"123"	"discuss"	3	3
"124"	"do"	82	429
"125"	"doubt"	0	2
"127"	"drag"	0	8
"128"	"draw"	3	17
"129"	"dread"	1	2
"130"	"dream"	2	6
"131"	"drench"	0	2
"132"	"drift"	0	3
"133"	"drink"	5	27
"134"	"drip"	0	2
"135"	"drive"	6	51
"137"	"drop"	1	29
"138"	"drown"	3	3
"139"	"earn"	1	12
"140"	"eat"	11	92
"144"	"encourage"	1	0
"145"	"engage"	0	2
"146"	"engulf"	1	1
"147"	"enjoy"	8	23
"148"	"entertain"	1	0
"149"	"escape"	0	9
"154"	"exist"	0	2
"155"	"expect"	5	18
"156"	"experience"	1	2
"157"	"explain"	1	70
"159"	"face"	0	6
"160"	"fade"	1	7
"161"	"fall"	3	143
"162"	"feed"	1	26
"163"	"feel"	14	280
"164"	"fight"	2	26
"165"	"fill"	1	32
"166"	"film"	1	0
"167"	"find"	2	294
"168"	"finish"	1	43
"169"	"fish"	0	2
"170"	"fix"	3	3
"172"	"flash"	0	9
"173"	"flick"	0	2
"174"	"float"	2	4
"176"	"flow"	0	9
"177"	"fly"	1	34
"178"	"follow"	4	87
"180"	"force"	0	12
"181"	"form"	0	4
"183"	"gasp"	0	4
"184"	"gather"	0	3
"185"	"gaze"	0	5
"186"	"get"	42	685
"187"	"give"	2	234
"188"	"glow"	0	4
"189"	"go"	77	1012
"191"	"grab"	1	49
"192"	"grasp"	0	1
"193"	"grin"	1	5
"194"	"grip"	0	3
"195"	"groan"	0	3
"196"	"grow"	1	45
"197"	"growl"	0	2
"198"	"guard"	0	1
"200"	"half-expect"	1	0
"201"	"hammer"	0	1
"202"	"hand"	0	12
"203"	"hang"	4	17
"204"	"happen"	20	113
"205"	"have"	28	1004
"206"	"head"	1	17
"207"	"hear"	2	293
"208"	"help"	6	145
"209"	"hide"	4	28
"211"	"hold"	8	98
"212"	"hope"	2	52
"214"	"hum"	0	2
"215"	"hunt"	0	2
"216"	"hurry"	3	28
"217"	"hurt"	2	27
"218"	"ignore"	1	3
"219"	"imagine"	0	34
"222"	"insist"	0	4
"226"	"interrupt"	2	8
"227"	"interview"	1	8
"228"	"introduce"	1	7
"229"	"invent"	1	4
"231"	"issue"	0	1
"236"	"join"	3	39
"237"	"joke"	4	3
"238"	"jump"	3	84
"240"	"keep"	4	93
"241"	"kick"	1	13
"242"	"kid"	1	1
"243"	"kill"	0	35
"244"	"kiss"	2	14
"245"	"kneel"	1	3
"247"	"know"	0	601
"250"	"laugh"	15	110
"251"	"lay"	0	5
"252"	"lead"	1	27
"253"	"lean"	1	20
"254"	"leap"	0	5
"255"	"learn"	8	30
"256"	"leave"	7	187
"257"	"let"	1	203
"258"	"lick"	0	3
"259"	"lie"	7	47
"260"	"like"	0	209
"261"	"limp"	1	0
"262"	"listen"	12	79
"263"	"live"	13	173
"265"	"look"	72	772
"266"	"lose"	1	70
"268"	"love"	1	110
"269"	"lower"	1	6
"271"	"make"	15	345
"272"	"march"	2	3
"273"	"mean"	1	77
"275"	"meet"	1	88
"276"	"melt"	1	0
