words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
be,3,7227,347.49,6882.51,X.TxB_Nar_non_prog.,-0.24,-0.06,-775.34
say,24,1907,92.81,1838.19,X.TxB_Nar_non_prog.,-0.05,-0.04,-78.68
know,0,601,28.89,572.11,X.TxB_Nar_non_prog.,-0.02,-0.05,-59.79
see,4,794,38.35,759.65,X.TxB_Nar_non_prog.,-0.02,-0.04,-52.99
want,1,588,28.31,560.69,X.TxB_Nar_non_prog.,-0.02,-0.05,-49.76
ask,3,503,24.32,481.68,X.TxB_Nar_non_prog.,-0.01,-0.04,-31.33
like,0,209,10.05,198.95,X.TxB_Nar_non_prog.,-0.01,-0.05,-20.66
find,2,294,14.23,281.77,X.TxB_Nar_non_prog.,-0.01,-0.04,-17.23
hear,2,293,14.18,280.82,X.TxB_Nar_non_prog.,-0.01,-0.04,-17.15
stop,1,214,10.33,204.67,X.TxB_Nar_non_prog.,-0.01,-0.04,-14.48
need,0,140,6.73,133.27,X.TxB_Nar_non_prog.,0,-0.05,-13.82
let,1,203,9.8,194.2,X.TxB_Nar_non_prog.,-0.01,-0.04,-13.49
give,2,234,11.34,224.66,X.TxB_Nar_non_prog.,-0.01,-0.04,-12.19
have,28,1004,49.6,982.4,X.TxB_Nar_non_prog.,-0.01,-0.02,-11.98
answer,0,115,5.53,109.47,X.TxB_Nar_non_prog.,0,-0.05,-11.35
remember,0,110,5.29,104.71,X.TxB_Nar_non_prog.,0,-0.05,-10.86
take,9,455,22.3,441.7,X.TxB_Nar_non_prog.,-0.01,-0.03,-10.79
believe,0,94,4.52,89.48,X.TxB_Nar_non_prog.,0,-0.05,-9.27
put,2,192,9.32,184.68,X.TxB_Nar_non_prog.,-0.01,-0.04,-8.81
pull,0,72,3.46,68.54,X.TxB_Nar_non_prog.,0,-0.05,-7.1
throw,0,65,3.12,61.88,X.TxB_Nar_non_prog.,0,-0.05,-6.41
arrive,1,110,5.33,105.67,X.TxB_Nar_non_prog.,0,-0.04,-5.51
love,1,110,5.33,105.67,X.TxB_Nar_non_prog.,0,-0.04,-5.51
nod,0,51,2.45,48.55,X.TxB_Nar_non_prog.,0,-0.05,-5.03
touch,0,47,2.26,44.74,X.TxB_Nar_non_prog.,0,-0.05,-4.63
wake,0,46,2.21,43.79,X.TxB_Nar_non_prog.,0,-0.05,-4.53
meet,1,88,4.28,84.72,X.TxB_Nar_non_prog.,0,-0.04,-3.78
open,2,119,5.82,115.18,X.TxB_Nar_non_prog.,0,-0.03,-3.5
kill,0,35,1.68,33.32,X.TxB_Nar_non_prog.,0,-0.05,-3.45
imagine,0,34,1.63,32.37,X.TxB_Nar_non_prog.,0,-0.05,-3.35
count,0,32,1.54,30.46,X.TxB_Nar_non_prog.,0,-0.05,-3.15
fall,3,143,7.02,138.98,X.TxB_Nar_non_prog.,0,-0.03,-3.06
add,0,30,1.44,28.56,X.TxB_Nar_non_prog.,0,-0.05,-2.96
bear,0,30,1.44,28.56,X.TxB_Nar_non_prog.,0,-0.05,-2.96
mean,1,77,3.75,74.25,X.TxB_Nar_non_prog.,0,-0.04,-2.96
turn,5,197,9.71,192.29,X.TxB_Nar_non_prog.,0,-0.02,-2.91
set,0,28,1.35,26.65,X.TxB_Nar_non_prog.,0,-0.05,-2.76
explain,1,70,3.41,67.59,X.TxB_Nar_non_prog.,0,-0.03,-2.46
lose,1,70,3.41,67.59,X.TxB_Nar_non_prog.,0,-0.03,-2.46
catch,1,69,3.36,66.64,X.TxB_Nar_non_prog.,0,-0.03,-2.39
pick,1,67,3.27,64.73,X.TxB_Nar_non_prog.,0,-0.03,-2.25
bring,1,63,3.08,60.92,X.TxB_Nar_non_prog.,0,-0.03,-1.98
suggest,0,20,0.96,19.04,X.TxB_Nar_non_prog.,0,-0.05,-1.97
place,0,16,0.77,15.23,X.TxB_Nar_non_prog.,0,-0.05,-1.58
clap,0,15,0.72,14.28,X.TxB_Nar_non_prog.,0,-0.05,-1.48
share,0,15,0.72,14.28,X.TxB_Nar_non_prog.,0,-0.05,-1.48
call,7,211,10.48,207.52,X.TxB_Nar_non_prog.,0,-0.02,-1.38
die,2,80,3.94,78.06,X.TxB_Nar_non_prog.,0,-0.02,-1.22
close,1,51,2.5,49.5,X.TxB_Nar_non_prog.,0,-0.03,-1.21
force,0,12,0.58,11.42,X.TxB_Nar_non_prog.,0,-0.05,-1.18
hand,0,12,0.58,11.42,X.TxB_Nar_non_prog.,0,-0.05,-1.18
paint,0,12,0.58,11.42,X.TxB_Nar_non_prog.,0,-0.05,-1.18
rush,0,12,0.58,11.42,X.TxB_Nar_non_prog.,0,-0.05,-1.18
grab,1,49,2.4,47.6,X.TxB_Nar_non_prog.,0,-0.03,-1.1
tear,0,11,0.53,10.47,X.TxB_Nar_non_prog.,0,-0.05,-1.08
rest,0,10,0.48,9.52,X.TxB_Nar_non_prog.,0,-0.05,-0.99
spread,0,10,0.48,9.52,X.TxB_Nar_non_prog.,0,-0.05,-0.99
worry,1,47,2.31,45.69,X.TxB_Nar_non_prog.,0,-0.03,-0.98
escape,0,9,0.43,8.57,X.TxB_Nar_non_prog.,0,-0.05,-0.89
flash,0,9,0.43,8.57,X.TxB_Nar_non_prog.,0,-0.05,-0.89
flow,0,9,0.43,8.57,X.TxB_Nar_non_prog.,0,-0.05,-0.89
name,0,9,0.43,8.57,X.TxB_Nar_non_prog.,0,-0.05,-0.89
order,0,9,0.43,8.57,X.TxB_Nar_non_prog.,0,-0.05,-0.89
disappear,1,45,2.21,43.79,X.TxB_Nar_non_prog.,0,-0.03,-0.87
grow,1,45,2.21,43.79,X.TxB_Nar_non_prog.,0,-0.03,-0.87
arrange,0,8,0.38,7.62,X.TxB_Nar_non_prog.,0,-0.05,-0.79
drag,0,8,0.38,7.62,X.TxB_Nar_non_prog.,0,-0.05,-0.79
remind,0,8,0.38,7.62,X.TxB_Nar_non_prog.,0,-0.05,-0.79
finish,1,43,2.11,41.89,X.TxB_Nar_non_prog.,0,-0.03,-0.76
beg,0,7,0.34,6.66,X.TxB_Nar_non_prog.,0,-0.05,-0.69
bend,0,7,0.34,6.66,X.TxB_Nar_non_prog.,0,-0.05,-0.69
