words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
accept,0,11,0.47,10.53,X.TxBSpoken_non_prog.,0,-0.04,0.96
ache,0,1,0.04,0.96,X.TxBSpoken_non_prog.,0,-0.04,0.09
act,2,18,0.85,19.15,X.TxB_prog_count.,0,0.06,1.19
add,1,26,1.15,25.85,X.TxBSpoken_non_prog.,0,-0.01,0.02
advise,1,6,0.3,6.7,X.TxB_prog_count.,0,0.1,1.1
agree,0,122,5.19,116.81,X.TxBSpoken_non_prog.,0,-0.04,10.61
aim,0,5,0.21,4.79,X.TxBSpoken_non_prog.,0,-0.04,0.43
allow,0,80,3.4,76.6,X.TxBSpoken_non_prog.,0,-0.04,6.95
announce,0,2,0.09,1.91,X.TxBSpoken_non_prog.,0,-0.04,0.17
annoy,0,6,0.26,5.74,X.TxBSpoken_non_prog.,0,-0.04,0.52
answer,3,48,2.17,48.83,X.TxB_prog_count.,0,0.02,0.3
apply,0,10,0.43,9.57,X.TxBSpoken_non_prog.,0,-0.04,0.87
appoint,1,0,0.04,0.96,X.TxB_prog_count.,0,0.96,6.32
approach,2,4,0.26,5.74,X.TxB_prog_count.,0,0.29,5.34
argue,1,17,0.77,17.23,X.TxB_prog_count.,0,0.01,0.07
arrange,0,7,0.3,6.7,X.TxBSpoken_non_prog.,0,-0.04,0.61
arrive,3,127,5.53,124.47,X.TxBSpoken_non_prog.,0,-0.02,1.44
ask,15,327,14.54,327.46,X.TxB_prog_count.,0,0,0.02
assume,0,4,0.17,3.83,X.TxBSpoken_non_prog.,0,-0.04,0.35
attack,0,20,0.85,19.15,X.TxBSpoken_non_prog.,0,-0.04,1.74
attract,1,4,0.21,4.79,X.TxB_prog_count.,0,0.16,1.66
babysit,0,2,0.09,1.91,X.TxBSpoken_non_prog.,0,-0.04,0.17
bake,1,5,0.26,5.74,X.TxB_prog_count.,0,0.12,1.34
bang,0,2,0.09,1.91,X.TxBSpoken_non_prog.,0,-0.04,0.17
bark,2,7,0.38,8.62,X.TxB_prog_count.,0,0.18,3.71
base,0,2,0.09,1.91,X.TxBSpoken_non_prog.,0,-0.04,0.17
be,16,19876,845.48,19046.52,X.TxBSpoken_non_prog.,-0.36,-0.06,1962.22
beat,0,5,0.21,4.79,X.TxBSpoken_non_prog.,0,-0.04,0.43
become,4,133,5.82,131.18,X.TxBSpoken_non_prog.,0,-0.01,0.67
begin,4,41,1.91,43.09,X.TxB_prog_count.,0,0.05,1.83
behave,3,8,0.47,10.53,X.TxB_prog_count.,0,0.23,6.76
believe,0,169,7.18,161.82,X.TxBSpoken_non_prog.,0,-0.04,14.7
