Register	Level	Textbook	Concordance1	Concor-dance2	Concordance3	Lemma	‘	NOT	Tense	Voice	?	Time reference	Continuous	Repeated	Extra function	Comment	Annotator
narrative	A	Hi there		're going		go	c		GOING TO	A		present	yes	no			E
narrative	A	Hi there		're going		go	c		GOING TO	A		present	yes	no			E
narrative	A	Hi there		're going		go	c		GOING TO	A		present	yes	no			E
narrative	A	Join the Team		are discussing		discuss			present	A		present	yes	no			E
narrative	A	Join the Team		are going		go			GOING TO	A		present	yes	no			E
narrative	A	Join the Team		are sitting		sit			present	A		present	yes	no			E
narrative	A	Join the Team		is reading		read			present	A		present	yes	no			E
narrative	A	Join the Team		is running		run			present	A		present	yes	no			E
narrative	A	Join the Team		'm going		go	c		GOING TO	A		present	yes	no			E
narrative	A	Join the Team		's wearing		wear	c		present	A		present	yes	no			E
narrative	A	Join the Team		is going		go			GOING TO	A		present	yes	no			E
narrative	A	Join the Team		is suddenly wearing		wear			present	A		present	yes	no			E
narrative	A	Join the Team		'm becoming		become	c		present	A		present	yes	no	gradual change		E
narrative	A	Access		's boring		bore	c		NOT progressive	A		present	yes	no			E
narrative	A	Access		's feeding		feed	c		NOT progressive	A		present	yes	no			E
narrative	A	Access		's feeding		feed	c		NOT progressive	A		present	yes	no			E
narrative	A	Access		's smuggling		smuggle	c		present	A		present	yes	no			E
narrative	A	Access		's have a roaring		roar	c		NOT progressive	A		present	yes	no			E
narrative	A	Access		is waiting		wait			present	A		present	yes	no			E
narrative	A	Access		are you going		go			present	A	q	present	yes	no			E
narrative	A	Access		's squeezing		squeeze	c		present	A		present	yes	no			E
narrative	A	Access		's squeezing		squeeze	c		present	A		present	yes	no			E
narrative	A	Access		's not really trying		try	c	n	present	A		present	yes	no			E
narrative	A	Access		're not going		go	c	n	GOING TO	A		present	yes	no			E
narrative	A	Access		is feeding		feed			NOT progressive	A		present	yes	no			E
narrative	A	Green Line		are talking		talk			present	A		present	yes	no			E
narrative	A	Green Line		are doing		do			present	A		present	yes	no			E
narrative	A	Green Line		are looking		look for			present	A		present	yes	no			E
