Register	Level	Textbook	Concordance1	Concor-dance2	Concordance3	Lemma	‘	NOT	Tense	Voice	?	Time reference	Continuous	Repeated	Extra function	Comment	Annotator
spoken	A	Hi there		is swimming					NOT progressive	A		present	yes	no			E
spoken	A	Hi there		'm eating		eat	c		present	A		present	yes	no			E
spoken	A	Hi there		'm eating		eat	c		present	A		present	yes	no			E
spoken	A	Hi there		'm cooking		cook	c		present	A		present	yes	no			E
spoken	A	Hi there		is eating		eat			present	A		present	yes	no			E
spoken	A	Hi there		is dancing		dance			present	A		present	yes	no			E
spoken	A	Hi there		're joking		joke	c		present	A		present	yes	no	emphasis/shock		E
spoken	A	Hi there		'm teaching		teach	c		present	A		present	yes	no			E
spoken	A	Hi there		Are you coming		come			present	A	q	future	yes	no			E
spoken	A	Hi there		're leaving		leave	c		present	A		present	yes	no			E
spoken	A	Hi there		's going		go on	c		present	A	q	present	yes	no			E
spoken	A	Hi there		'm reporting		report	c		present	A		future	no	no			E
spoken	A	Hi there		'm watching		watch	c		present	A		present	yes	no			E
spoken	A	Hi there		'm going					GOING TO	A		present	yes	no			E
spoken	A	Hi there		is giving		give			present	A		unclear	no	unclear			E
spoken	A	Hi there		're telling		tell	c		present	A		present	yes	no	emphasis/shock		E
spoken	A	Hi there		'm surfing		surf	c		present	A		present	yes	no			E
spoken	A	Hi there		're coming		come	c		present	A		future	yes	no			E
spoken	A	Hi there		'm spending		spend	c		present	A		present	yes	no			E
spoken	A	Hi there		're looking		look	c		present	A		present	yes	no			E
spoken	A	Hi there		're leaving		leave	c		present	A		present	yes	no			E
spoken	A	Hi there		is eating		eat			present	A		present	yes	no			E
spoken	A	Hi there		'm surfing		surf	c		present	A		present	yes	no			E
spoken	A	Join the Team		is... doing		do			present	A	q	present	yes	no			E
spoken	A	Join the Team		'm doing		do	c		present	A		present	yes	no			E
spoken	A	Join the Team		are you all doing		do			present	A	q	present	yes	no			E
spoken	A	Join the Team		are you doing		do			present	A	q	present	yes	no			E
spoken	A	Join the Team		'm coming		come	c		present	A		future	yes	no			E
spoken	A	Join the Team		'm putting		put on	c		present	A		present	yes	no			E
spoken	A	Join the Team		is she doing		do			present	A	q	present	yes	no			E
spoken	A	Join the Team		Are you trying		try			present	A	q	present	yes	no			E
spoken	A	Join the Team		's talking		talk	c		present	A		present	yes	no			E
spoken	A	Join the Team		Are you really speaking		speak			present	A	q	present	yes	no			E
spoken	A	Join the Team		'm not joking		joke	c	n	present	A		present	yes	no			E
spoken	A	Join the Team		are working		work			present	A		present	yes	no			E
spoken	A	Join the Team		are buying		buy			present	A		present	yes	no			E
spoken	A	Join the Team		're not having		have		n	present	A		present	yes	no			E
spoken	A	Join the Team		be travelling		travel			NOT progressive	A		present	yes	no			E
spoken	A	Join the Team		're going					GOING TO	A		present	yes	no			E
spoken	A	Join the Team		are not going					GOING TO	A		present	yes	no			E
spoken	A	Join the Team		'm sure he's going					GOING TO	A		present	yes	no			E
spoken	A	Join the Team		's going					GOING TO	A		present	yes	no			E
spoken	A	Join the Team		're going					GOING TO	A		present	yes	no			E
spoken	A	Join the Team		'm going					GOING TO	A		present	yes	no			E
spoken	A	Join the Team		'm sure you're going					GOING TO	A		present	yes	no			E
spoken	A	Join the Team		're going					GOING TO	A		present	yes	no			E
spoken	A	Join the Team		is working		work			present	A		present	yes	no			E
spoken	A	Piece of cake		'm interested in renting					NOT progressive	A		present	yes	no			E
spoken	A	Piece of cake		is the living					NOT progressive	A		present	yes	no			E
spoken	A	Piece of cake		are you doing		do			present	A	q	present	yes	no			E
spoken	A	Piece of cake		am watching		watch			present	A		present	yes	no			E
spoken	A	Piece of cake		are you watching		watch			present	A	q	present	yes	no			E
spoken	A	Piece of cake		is raining		rain			present	A		present	yes	no			E
spoken	A	Piece of cake		are you watching		watch			present	A	q	present	yes	no			E
spoken	A	Piece of cake		is dancing		dance			present	A		present	yes	no			E
spoken	A	Piece of cake		's showing		show	c		present	A		present	yes	no			E
spoken	A	Piece of cake		am going					GOING TO	A		present	yes	no			E
spoken	A	Piece of cake		is playing		play			present	A		present	yes	no			E
spoken	A	Piece of cake		're working		work	c		present	A		present	yes	no			E
spoken	A	Piece of cake		are having		have			present	A		present	yes	no			E
spoken	A	Piece of cake		'm meeting		meet	c		present	A		present	yes	no			E
spoken	A	Piece of cake		's more tiring					NOT progressive	A		present	yes	no			E
spoken	A	Piece of cake		are you doing		do			present	A	q	present	yes	no			E
spoken	A	Piece of cake		'm looking		look	c		present	A		present	yes	no			E
spoken	A	Piece of cake		are looking		look			present	A		present	yes	no			E
spoken	A	Piece of cake		are going					GOING TO	A		present	yes	no			E
spoken	A	Piece of cake		are you going					GOING TO	A		present	yes	no			E
spoken	A	Piece of cake		are going					GOING TO	A		present	yes	no			E
spoken	A	Piece of cake		're looking		look	c		present	A		present	yes	no			E
spoken	A	Piece of cake		are you going					GOING TO	A		present	yes	no			E
spoken	A	Piece of cake		're going					GOING TO	A		present	yes	no			E
spoken	A	Piece of cake		Are you going					GOING TO	A		present	yes	no			E
spoken	A	Piece of cake		're going					GOING TO	A		present	yes	no			E
spoken	A	Access		's go into the living					NOT progressive	A		present	yes	no			E
spoken	A	Access		'm in the Film Making					NOT progressive	A		present	yes	no			E
spoken	A	Access		is in the Film Making					NOT progressive	A		present	yes	no			E
spoken	A	Access		'm in the Film Making					NOT progressive	A		present	yes	no			E
spoken	A	Access		's wearing		wear	c		present	A		present	yes	no			E
spoken	A	Access		's wearing		wear	c		present	A		present	yes	no			E
spoken	A	Access		'm waiting		watch	c		present	A		present	yes	no			E
spoken	A	Access		are swimming		swim			present	A		present	yes	no			E
spoken	A	Access		'm working		work	c		present	A		present	yes	no			E
spoken	A	Access		're looking		look	c		present	A		present	yes	no			E
spoken	A	Access		Are those kids really sleeping		sleep			present	A	q	present	yes	no			E
spoken	A	Access		're sleeping		sleep	c		present	A		present	yes	no			E
spoken	A	Access		Are you watching		watch			present	A	q	present	yes	no			E
spoken	A	Access		're watching		watch	c		present	A		present	yes	no			E
spoken	A	Access		's that diver doing		do			present	A	q	present	yes	no			E
spoken	A	Access		's feeding			c		NOT progressive	A		present	yes	no			E
spoken	A	Access		's feeding		feed	c		present	A		present	yes	no			E
spoken	A	Access		are you pushing		push			present	A	q	present	yes	no			E
spoken	A	Access		Are you fighting		fight			present	A	q	present	yes	no			E
spoken	A	Access		're running		run	c		present	A		present	yes	no			E
spoken	A	Access		're running		run	c		present	A		present	yes	no			E
spoken	A	Access		're pushing		push	c		present	A		present	yes	no			E
spoken	A	Access		Are those kids really sleeping		sleep			present	A	q	present	yes	no			E
spoken	A	Access		's going					GOING TO	A		present	yes	no			E
spoken	A	Access		is following		follow			present	A		present	yes	no			E
spoken	A	Access		is swimming		swim			present	A		present	yes	no			E
spoken	A	Access		're meeting		meet	c		present	A		present	yes	no			E
spoken	A	Access		're drawing		draw	c		present	A		present	yes	no			E
spoken	A	Access		is watching		watch			present	A		present	yes	no			E
spoken	A	Access		are playing		play			present	A		present	yes	no			E
