words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
be,15,6919,334.25,6599.75,X.YF_non_prog.,-0.22,-0.06,-644.29
say,32,2506,122.34,2415.66,X.YF_non_prog.,-0.06,-0.04,-104.22
know,1,678,32.73,646.27,X.YF_non_prog.,-0.02,-0.05,-58.73
have,16,1056,51.68,1020.32,X.YF_non_prog.,-0.02,-0.03,-35.97
see,7,679,33.07,652.93,X.YF_non_prog.,-0.02,-0.04,-31.91
want,1,372,17.98,355.02,X.YF_non_prog.,-0.01,-0.05,-29.18
find,0,259,12.49,246.51,X.YF_non_prog.,-0.01,-0.05,-25.7
let,0,203,9.79,193.21,X.YF_non_prog.,-0.01,-0.05,-20.13
stop,0,152,7.33,144.67,X.YF_non_prog.,-0.01,-0.05,-15.06
ask,3,306,14.9,294.1,X.YF_non_prog.,-0.01,-0.04,-14.75
mean,0,148,7.13,140.87,X.YF_non_prog.,0,-0.05,-14.66
fall,0,111,5.35,105.65,X.YF_non_prog.,0,-0.05,-10.99
open,0,102,4.92,97.08,X.YF_non_prog.,0,-0.05,-10.1
turn,4,256,12.53,247.47,X.YF_non_prog.,-0.01,-0.03,-8.27
hear,4,243,11.91,235.09,X.YF_non_prog.,-0.01,-0.03,-7.39
need,1,126,6.12,120.88,X.YF_non_prog.,0,-0.04,-6.85
like,2,159,7.76,153.24,X.YF_non_prog.,0,-0.04,-6.34
remember,1,107,5.21,102.79,X.YF_non_prog.,0,-0.04,-5.29
love,0,53,2.55,50.45,X.YF_non_prog.,0,-0.05,-5.24
tell,10,378,18.7,369.3,X.YF_non_prog.,-0.01,-0.02,-5.14
lead,0,49,2.36,46.64,X.YF_non_prog.,0,-0.05,-4.85
close,0,48,2.31,45.69,X.YF_non_prog.,0,-0.05,-4.75
help,1,98,4.77,94.23,X.YF_non_prog.,0,-0.04,-4.58
finish,0,45,2.17,42.83,X.YF_non_prog.,0,-0.05,-4.45
raise,0,45,2.17,42.83,X.YF_non_prog.,0,-0.05,-4.45
jump,0,44,2.12,41.88,X.YF_non_prog.,0,-0.05,-4.35
fill,0,37,1.78,35.22,X.YF_non_prog.,0,-0.05,-3.66
use,2,120,5.88,116.12,X.YF_non_prog.,0,-0.03,-3.59
spend,0,35,1.69,33.31,X.YF_non_prog.,0,-0.05,-3.46
grab,0,34,1.64,32.36,X.YF_non_prog.,0,-0.05,-3.36
hurt,0,34,1.64,32.36,X.YF_non_prog.,0,-0.05,-3.36
disappear,0,32,1.54,30.46,X.YF_non_prog.,0,-0.05,-3.16
believe,1,79,3.86,76.14,X.YF_non_prog.,0,-0.04,-3.12
take,14,430,21.4,422.6,X.YF_non_prog.,-0.01,-0.02,-3.09
buy,0,31,1.49,29.51,X.YF_non_prog.,0,-0.05,-3.06
stick,0,31,1.49,29.51,X.YF_non_prog.,0,-0.05,-3.06
catch,1,76,3.71,73.29,X.YF_non_prog.,0,-0.04,-2.9
cross,0,27,1.3,25.7,X.YF_non_prog.,0,-0.05,-2.67
burn,0,25,1.21,23.79,X.YF_non_prog.,0,-0.05,-2.47
join,0,25,1.21,23.79,X.YF_non_prog.,0,-0.05,-2.47
pick,1,70,3.42,67.58,X.YF_non_prog.,0,-0.03,-2.47
press,0,24,1.16,22.84,X.YF_non_prog.,0,-0.05,-2.37
slide,0,23,1.11,21.89,X.YF_non_prog.,0,-0.05,-2.27
pass,1,67,3.28,64.72,X.YF_non_prog.,0,-0.03,-2.26
