Book	Concordance1	Concor-dance2	Concordance3	Lemma	‘	NOT	Tense	Voice	?	Time reference	Continuous	Repeated	Extra function	Comment	Annotator
book185		was sitting		sit			past	A		past	yes	no			T
book183		was going		go			GOING TO	A		past	yes	no			T
book109		was trying		try			past	A		past	yes	no	framing		T
book277		be swimming and sunning		swim			NOT progressive	A		modal/infinitive	yes	no			T
book165		were crying		cry out			past	A		past	yes	no			T
book73		're talking		talk about	c		present	A		present	yes	no			T
book109		was thinking		think			past	A		past	yes	no			T
book173		were everywhere now, scorching		scorch			NOT progressive	A		past	yes	no			T
book25		was about some sleuthing		sleuth			NOT progressive	A		past	yes	no			T
book183		was going		go			GOING TO	A		past	yes	no			T
book187		was no one loitering		loiter			NOT progressive	A		past	yes	no			T
book159		's enough complaining		complain	c		NOT progressive	A		present	yes	no			T
book55		are you saying		say			present	A	q	present	yes	no	emphasis/shock		T
book257		am going		go			present	A		future	yes	no			T
book270		been waiting		wait			perfect	A		hypothetical	yes	no			T
book123		're behaving		behave	c		present	A	q	present	yes	no			T
book219		was going		go			GOING TO	A		past	yes	no			T
book183		be moving		move			catenative	A		future	yes	yes			T
book99		are we going		go			GOING TO	A		present	yes	no			T
book113		be looking		look up		n	modal	A		hypothetical	no	no			T
book244		was liking		like			past	A		past	yes	no		progr. seems to highlight the fact that she has just discovered at that moment that she liked it	T
book241		was moving		move			past	A		past	yes	no			T
book66		are you carrying		carry			present	A	q	present	yes	no			T
book265		be looking		look at			catenative	A		past	yes	no	framing		T
book183		was talking		talk			past	A		past	yes	no			T
book29		are telling		tell			present	A		general	yes	no			T
book86		be standing		stand			catenative	A		past	yes	no			T
book263		be lurking		lurk			modal	A		general	yes	unclear			T
book149		was Arthur's body lying		lie	c		NOT progressive	A		past	yes	no			T
book215		are doing		do			present	A		present	yes	no			T
book54		'm not getting		get	c	n	present	A		present	yes	no			T
book137		was racing, hunting		race			past	A		past	yes	no			T
book85		was expecting		expect			past	A		past	yes	no			T
book91		're doing		do	c		present	A		present	yes	no			T
book213		was going		go			GOING TO	A		past	yes	no			T
book17		are still hunting		hunt			present	A	q	general	yes	yes			T
book98		's anyone ever going		go	c		GOING TO	A		present	yes	no			T
book195		was pounding		pound			past	A		past	yes	unclear			T
book31		was his boots, standing		stand			NOT progressive	A		past	yes	no			T
book43		was aiming		aim for			past	A		past/present	yes	no			T
book10		was going		go			GOING TO	A		past	yes	no			T
book104		are living		live			present	A		general	yes	no			T
book155		're already there, waiting		wait	c		NOT progressive	A		present	yes	no			T
book253		is killing		kill			present	A		present	yes	yes			T
book134		was hanging		hang			past	A		past	yes	no			T
book269		's going		go	c		present	A		present	no	no			T
book16		is they seeing		see		n	present	A		general	yes	yes		unusual negation	T
book123		was talking		talk about			past	A		past	yes	no			T
book253		were discussing		discuss			past	A		past	yes	no			T
book41		were watching		watch			past	A		past	yes	no			T
book195		was happening		happen			past	A		past	yes	unclear			T
book204		was laughing		laugh			past	A		past	yes	no			T
book259		was an eruption of shouting		shout			NOT progressive	A		past	yes	no			T
book251		was happening		happen			past	A		past	yes	no	emphasis/shock	not sure about the extra function, but seems more poignant/immediate in progressive	T
book61		was sitting		sit			past	A		past	yes	no			T
book31		was standing		stand			past	A		past	yes	no			T
book213		were edging		edge away			past	A		past	yes	no			T
book223		wasn't worth while questioning		question	c	n	NOT progressive	A		past	yes	no			T
book232		be flying		fly free			catenative	A		past	yes	no		narrator's/speaker's impression	T
book49		am I holding		hold up			present	A	q	present	yes	no			T
book60		're they doing		do	c		present	A	q	present	yes	no			T
book60		was kneeling		kneel			past	A		past	yes	no			T
book21		were throbbing		throb			past	A		past	yes	no			T
book64		is blowing		blow			present	A		present	yes	no			T
book75		was being		introduce			past	P		past	no	no			T
book116		was Briggs, wanting		want			NOT progressive	A		past	yes	no			T
book113		was making		make			past	A		past	yes	no			T
book5		are you getting		get at			present	A	q	present	yes	no			T
book239		were going		go			past	A		present	yes	no	reported speech/thought		T
book278		was pouring		pour down			past	A		past	yes	no	framing		T
book4		was travelling		travel			past	A		past	yes	no			T
book122		was starting		start			past	A		past	yes	no	gradual change		T
book109		was increasing		increase			past	A		past	yes	no	gradual change		T
book255		been running		run			perfect	A		past	yes	no			T
book14		is standing		stand			present	A		present	yes	no			T
book68		was moving		move			past	A		past	yes	no			T
book84		Are you saying		say			present	A	q	present	yes	no			T
book109		're holding		hold	c		present	A	q	present	yes	no			T
book40		be happy about seeing		see			NOT progressive	A		modal/infinitive	yes	no			T
book204		was watching		watch			past	A		past	yes	no			T
book183		're planning		plan	c		present	A		present	yes	no			T
book196		be tinted, keeping		keep			NOT progressive	A		modal/infinitive	yes	no			T
book188		are searching		search			present	A		present	yes	no			T
book2		Are you protecting		protect			present	A	q	present	yes	no			T
book148		'm going		go	c		GOING TO	A		present	yes	no			T
book8		are confusing		confuse			present	A		present	yes	unclear			T
book109		was being		say			past	P		past	yes	no			T
book19		are worse things than being		thing			NOT progressive	A		present	yes	no			T
book133		is speaking		speak			present	A		present	yes	no			T
book228		been thinking		think about			perfect	A		past	yes	no	reported speech/thought	reported thought? narrator's/speaker's impression	T
book38		was going		go			GOING TO	A		past	yes	no			T
book260		were crouching		crouch			past	A		past	yes	no			T
book208		're all keeling		keel over	c		present	A		present	yes	yes			T
book232		'm going		go	c		GOING TO	A		present	yes	no			T
book290		be doing		do			modal	A	q	unclear	unclear	unclear			T
book87		was coming		come up			past	A		past	yes	no			T
book118		were coming		come down			past	A		past	yes	no			T
book234		be going		go		n	modal	A		future	no	no			T
book188		were red from crying		cry			NOT progressive	A		past	yes	no			T
book137		were having		have			past	A		past	yes	no			T
book83		been coming		come up	c		perfect	A		past/present	no	yes	reported speech/thought		T
book96		be getting		get			catenative	A		past	yes	no	gradual change	narrator's/speaker's impression	T
book235		'm going		go down	c		present	A		present	no	no			T
book157		was asking		ask			past	A		past	no	no			T
