"lemma"	"semantic_domain_Biber"	"semantic_domain_Edwards"	"Edwards"	"agreement"
"1"	"accompany"	"activity"	"activity"	"Edwards"	TRUE
"2"	"accuse"	"communication"	"communication"	"Edwards"	TRUE
"3"	"acknowledge"	"communication"	"communication"	"Edwards"	TRUE
"4"	"acquire"	"activity"	"activity"	"Edwards"	TRUE
"5"	"add"	"activity"	"activity"	"Edwards"	TRUE
"6"	"address"	"communication"	"mental"	"Edwards"	FALSE
"7"	"address"	"communication"	"communication"	"Edwards"	TRUE
"8"	"admit"	"communication"	"communication"	"Edwards"	TRUE
"9"	"advance"	"activity"	"activity"	"Edwards"	TRUE
"10"	"advise"	"communication"	"communication"	"Edwards"	TRUE
"11"	"affect"	"facilitation_causation"	"facilitation_causation"	"Edwards"	TRUE
"12"	"afford"	"mental"	"mental"	"Edwards"	TRUE
"13"	"agree"	"mental"	"mental"	"Edwards"	TRUE
"14"	"allow"	"facilitation_causation"	NA	NA	NA
"15"	"announce"	"communication"	"communication"	"Edwards"	TRUE
"16"	"answer"	"communication"	"communication"	"Edwards"	TRUE
"17"	"appeal"	"communication"	"communication"	"Edwards"	TRUE
"18"	"appear"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"19"	"apply"	"activity"	"activity"	"Edwards"	TRUE
"20"	"appreciate"	"mental"	"mental"	"Edwards"	TRUE
"21"	"approve"	"mental"	"mental"	"Edwards"	TRUE
"22"	"argue"	"communication"	"communication"	"Edwards"	TRUE
"23"	"arise"	"occurrence"	"occurrence"	"Edwards"	TRUE
"24"	"arrange"	"activity"	"activity"	"Edwards"	TRUE
"25"	"ask"	"communication"	"communication"	"Edwards"	TRUE
"26"	"assess"	"mental"	"mental"	"Edwards"	TRUE
"27"	"assist"	"facilitation_causation"	"facilitation_causation"	"Edwards"	TRUE
"28"	"assume"	"mental"	"mental"	"Edwards"	TRUE
"29"	"assure"	"communication"	"communication"	"Edwards"	TRUE
"30"	"be"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"31"	"bear"	"mental"	"mental"	"Edwards"	TRUE
"32"	"beat"	"activity"	"occurrence"	"Edwards"	FALSE
"33"	"become"	"occurrence"	"occurrence"	"Edwards"	TRUE
"34"	"begin"	"aspectual"	"activity"	"Edwards"	FALSE
"35"	"begin"	"aspectual"	"aspectual"	"Edwards"	TRUE
"36"	"behave"	"activity"	"activity"	"Edwards"	TRUE
"37"	"believe"	"mental"	"mental"	"Edwards"	TRUE
"38"	"blame"	"mental"	"mental"	"Edwards"	TRUE
"39"	"borrow"	"activity"	"activity"	"Edwards"	TRUE
"40"	"bother"	"mental"	"mental"	"Edwards"	TRUE
"41"	"bring"	"activity"	"facilitation_causation"	"Edwards"	FALSE
"42"	"bring"	"activity"	"activity"	"Edwards"	TRUE
"43"	"burn"	"activity"	"activity"	"Edwards"	TRUE
"44"	"buy"	"activity"	"activity"	"Edwards"	TRUE
"45"	"calculate"	"mental"	"mental"	"Edwards"	TRUE
"46"	"call"	"communication"	"communication"	"Edwards"	TRUE
"47"	"care"	"mental"	"mental"	"Edwards"	TRUE
"48"	"carry"	"activity"	"activity"	"Edwards"	TRUE
"49"	"carry out"	"activity"	"activity"	"Edwards"	TRUE
"50"	"catch"	"activity"	"activity"	"Edwards"	TRUE
"51"	"cause"	"facilitation_causation"	"facilitation_causation"	"Edwards"	TRUE
"52"	"cease"	"aspectual"	"aspectual"	"Edwards"	TRUE
"53"	"celebrate"	"mental"	"activity"	"Edwards"	FALSE
"54"	"celebrate"	"mental"	"mental"	"Edwards"	TRUE
"55"	"challenge"	"communication"	"communication"	"Edwards"	TRUE
"56"	"change"	"occurrence"	"occurrence"	"Edwards"	TRUE
"57"	"check"	"activity"	"activity"	"Edwards"	TRUE
"58"	"choose"	"mental"	"mental"	"Edwards"	TRUE
"59"	"claim"	"communication"	"communication"	"Edwards"	TRUE
"60"	"clean"	"activity"	"activity"	"Edwards"	TRUE
"61"	"climb"	"activity"	"activity"	"Edwards"	TRUE
"62"	"combine"	"activity"	"activity"	"Edwards"	TRUE
"63"	"come"	"activity"	"activity"	"Edwards"	TRUE
"64"	"come"	"activity"	"occurrence"	"Edwards"	FALSE
"65"	"come along"	"activity"	"occurrence"	"Edwards"	FALSE
"66"	"come on"	"activity"	"occurrence"	"Edwards"	FALSE
"67"	"come over"	"activity"	NA	NA	NA
"68"	"compare"	"mental"	"mental"	"Edwards"	TRUE
"69"	"complain"	"communication"	"communication"	"Edwards"	TRUE
"70"	"complete"	"aspectual"	"aspectual"	"Edwards"	TRUE
"71"	"concern"	"existence_relationship"	"mental"	"Edwards"	FALSE
"72"	"concern"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"73"	"conclude"	"mental"	"mental"	"Edwards"	TRUE
"74"	"confirm"	"mental"	"mental"	"Edwards"	TRUE
"75"	"consider"	"mental"	"mental"	"Edwards"	TRUE
"76"	"constitute"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"77"	"consult"	"communication"	"communication"	"Edwards"	TRUE
"78"	"contain"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"79"	"continue"	"aspectual"	"aspectual"	"Edwards"	TRUE
"80"	"control"	"activity"	"activity"	"Edwards"	TRUE
"81"	"convince"	"communication"	"communication"	"Edwards"	TRUE
"82"	"count"	"mental"	"mental"	"Edwards"	TRUE
"83"	"cover"	"activity"	"activity"	"Edwards"	TRUE
"84"	"dare"	"mental"	"mental"	"Edwards"	TRUE
"85"	"decide"	"mental"	"mental"	"Edwards"	TRUE
"86"	"declare"	"communication"	"communication"	"Edwards"	TRUE
"87"	"defend"	"activity"	"activity"	"Edwards"	TRUE
"88"	"define"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"89"	"deliver"	"activity"	"activity"	"Edwards"	TRUE
"90"	"demand"	"communication"	"communication"	"Edwards"	TRUE
"91"	"deny"	"communication"	"communication"	"Edwards"	TRUE
"92"	"derive"	"existence_relationship"	NA	NA	NA
"93"	"descibe"	"communication"	NA	NA	NA
"94"	"deserve"	"existence_relationship"	"mental"	"Edwards"	FALSE
"95"	"deserve"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"96"	"detect"	"mental"	"mental"	"Edwards"	TRUE
"97"	"determine"	"mental"	"mental"	"Edwards"	TRUE
"98"	"develop"	"occurrence"	"activity"	"Edwards"	FALSE
"99"	"develop"	"occurrence"	"occurrence"	"Edwards"	TRUE
"100"	"develop"	"occurrence"	"mental"	"Edwards"	FALSE
"101"	"die"	"occurrence"	"occurrence"	"Edwards"	TRUE
"102"	"dig"	"activity"	"activity"	"Edwards"	TRUE
"103"	"disappear"	"occurrence"	"occurrence"	"Edwards"	TRUE
"104"	"discover"	"mental"	"mental"	"Edwards"	TRUE
"105"	"discuss"	"communication"	"communication"	"Edwards"	TRUE
"106"	"dismiss"	"mental"	"mental"	"Edwards"	TRUE
"107"	"distinguish"	"mental"	"mental"	"Edwards"	TRUE
"108"	"divide"	"activity"	"activity"	"Edwards"	TRUE
"109"	"doubt"	"mental"	"mental"	"Edwards"	TRUE
"110"	"earn"	"activity"	"activity"	"Edwards"	TRUE
"111"	"eat"	"activity"	"activity"	"Edwards"	TRUE
"112"	"emerge"	"occurrence"	"occurrence"	"Edwards"	TRUE
"113"	"emphasise"	"communication"	"communication"	"Edwards"	TRUE
"114"	"emphasize"	"communication"	NA	NA	NA
"115"	"enable"	"facilitation_causation"	"facilitation_causation"	"Edwards"	TRUE
"116"	"encounter"	"activity"	"activity"	"Edwards"	TRUE
"117"	"encourage"	"communication"	"communication"	"Edwards"	TRUE
"118"	"end"	"aspectual"	"aspectual"	"Edwards"	TRUE
"119"	"engage"	"activity"	"activity"	"Edwards"	TRUE
"120"	"enjoy"	"mental"	"mental"	"Edwards"	TRUE
"121"	"ensure"	"facilitation_causation"	"facilitation_causation"	"Edwards"	TRUE
