Register,Level,Series,Meaning,Collocate,Collocate_lemma,speech
Youth_Fiction,,,,a case,case,1
BNC_Spoken,,,,abortions,abortion,0
BNC_Spoken,,,,accents,accent,0
Youth_Fiction,,,,accusation,accusation,1
TxB_spoken,,,,agreements,agreement,0
narrative,D,Join the Team,delexical,amends,amend,1
Youth_Fiction,,,,amends,amend,1
BNC_Spoken,,,,announcement,announcement,1
narrative,A,Achievers,delexical,announcement,announcement,1
TxB_spoken,,,,announcement,announcement,1
Youth_Fiction,,,,appeal,appeal,1
BNC_Spoken,,,,appointment,appointment,0
TxB_spoken,,,,appointment,appointment,0
TxB_spoken,,,,appointment,appointment,0
TxB_spoken,,,,appointment,appointment,0
TxB_spoken,,,,appointments,appointment,0
BNC_Spoken,,,,argument,argument,1
narrative,C,Green Line,delexical,arrangement,arrangement,1
BNC_Spoken,,,,arrangements,arrangement,1
BNC_Spoken,,,,arrangements,arrangement,1
Youth_Fiction,,,,arrangements,arrangement,1
Youth_Fiction,,,,arrests,arrest,0
BNC_Spoken,,,,assumption,assumption,1
TxB_spoken,,,,attempt,attempt,0
TxB_spoken,,,,attempt,attempt,0
TxB_spoken,,,,available,available,0
BNC_Spoken,,,,aware,aware,1
BNC_Spoken,,,,balls up,balls up,0
BNC_Spoken,,,,bang,bang,0
Youth_Fiction,,,,bargain,bargain,0
TxB_spoken,,,,bed,bed,0
TxB_spoken,,,,bed,bed,0
TxB_spoken,,,,bed,bed,0
TxB_spoken,,,,bed,bed,0
TxB_spoken,,,,bed,bed,0
Youth_Fiction,,,,bed,bed,0
narrative,C,Green Line,delexical,bet,bet,0
TxB_spoken,,,,bid,bid,0
Youth_Fiction,,,,bid,bid,0
BNC_Spoken,,,,booking,booking,0
TxB_spoken,,,,booking,booking,0
narrative,C,Access,delexical,breakthrough,breakthrough,0
Youth_Fiction,,,,breakthrough,breakthrough,0
TxB_spoken,,,,call,call,0
TxB_spoken,,,,call,call,0
Youth_Fiction,,,,call,call,1
Youth_Fiction,,,,call,call,1
Youth_Fiction,,,,call,call,1
narrative,E,New Green Line,delexical,calls,call,1
TxB_spoken,,,,calls,call,0
TxB_spoken,,,,calls,call,0
TxB_spoken,,,,calls,call,0
TxB_spoken,,,,calls,call,0
TxB_spoken,,,,calls,call,0
Youth_Fiction,,,,calls,call,1
BNC_Spoken,,,,case,case,1
TxB_spoken,,,,case,case,1
BNC_Spoken,,,,change,change,0
TxB_spoken,,,,change,change,0
TxB_spoken,,,,change,change,0
TxB_spoken,,,,change,change,0
TxB_spoken,,,,change,change,0
BNC_Spoken,,,,changes,change,0
narrative,A,Green Line,delexical,changes,change,0
narrative,A,Green Line,delexical,changes,change,0
TxB_spoken,,,,changes,change,0
TxB_spoken,,,,changes,change,0
TxB_spoken,,,,changes,change,0
TxB_spoken,,,,changes,change,0
TxB_spoken,,,,cheque,cheque,0
BNC_Spoken,,,,choice,choice,0
BNC_Spoken,,,,choice,choice,0
BNC_Spoken,,,,choice,choice,0
TxB_spoken,,,,choice,choice,0
TxB_spoken,,,,choice,choice,0
Youth_Fiction,,,,choice,choice,0
narrative,E,New Green Line,delexical,choices,choice,0
narrative,E,New Green Line,delexical,choices,choice,0
narrative,E,Join the Team,delexical,choices,choice,0
narrative,E,New Green Line,delexical,choices,choice,0
narrative,E,Hi there,delexical,choices,choice,0
narrative,E,New Green Line,delexical,choices,choice,0
narrative,E,New Green Line,delexical,choices,choice,0
TxB_spoken,,,,choices,choice,0
narrative,C,Achievers,delexical,clear,clear,0
BNC_Spoken,,,,comment,comment,1
narrative,D,Achievers,delexical,comment,comment,1
TxB_spoken,,,,comment,comment,1
TxB_spoken,,,,comments,comment,1
TxB_spoken,,,,comments,comment,1
TxB_spoken,,,,comments,comment,1
Youth_Fiction,,,,comments,comment,1
TxB_spoken,,,,commitments,commitment,0
BNC_Spoken,,,,comparison,comparison,1
BNC_Spoken,,,,complaint,complaint,1
Youth_Fiction,,,,complaint,complaint,1
Youth_Fiction,,,,confession,confession,1
BNC_Spoken,,,,connect,connect,0
BNC_Spoken,,,,contact,contact,1
BNC_Spoken,,,,contact,contact,1
BNC_Spoken,,,,contact,contact,1
narrative,E,New Green Line,delexical,contact,contact,0
narrative,E,New Green Line,delexical,contact,contact,0
TxB_spoken,,,,contact,contact,1
narrative,C,Hi there,delexical,contrast,contrast,0
TxB_spoken,,,,contribution,contribution,0
TxB_spoken,,,,contribution,contribution,0
Youth_Fiction,,,,contribution,contribution,0
narrative,B,Achievers,delexical,conversation,conversation,1
narrative,C,Access,delexical,conversation,conversation,1
Youth_Fiction,,,,conversation,conversation,1
BNC_Spoken,,,,conversations,conversation,1
narrative,D,Achievers,delexical,corrections,correction,0
BNC_Spoken,,,,creations,creation,0
Youth_Fiction,,,,curtsey,curtsey,0
TxB_spoken,,,,cuts,cut,0
narrative,C,Join the Team,delexical,dash,dash,0
BNC_Spoken,,,,deal,deal,0
TxB_spoken,,,,deal,deal,0
Youth_Fiction,,,,deal,deal,0
BNC_Spoken,,,,decision,decision,1
BNC_Spoken,,,,decision,decision,1
BNC_Spoken,,,,decision,decision,1
BNC_Spoken,,,,decision,decision,1
BNC_Spoken,,,,decision,decision,1
BNC_Spoken,,,,decision,decision,1
BNC_Spoken,,,,decision,decision,1
BNC_Spoken,,,,decision,decision,1
BNC_Spoken,,,,decision,decision,1
BNC_Spoken,,,,decision,decision,1
TxB_spoken,,,,decision,decision,1
TxB_spoken,,,,decision,decision,1
TxB_spoken,,,,decision,decision,1
TxB_spoken,,,,decision,decision,1
