Filename,Conc1,Conc2,Conc3,Cause_Cx,Collocate,Semantic_prosody
filename#1058,,make,,verbalCxAA,defrost,negative
filename#53,,make,,verbalCxAA,sound,unclear
filename#704,,make,,verbalCxAA,look,negative
filename#704,,make,,verbalCxAA,look,negative
filename#447,,made,,verbalCxAA,pay,negative
filename#942,,made,,verbalCxAA,shrink,negative
filename#486,,make,,verbalCxAA,do,
filename#384,,making,,verbalCxAA,do,
filename#1213,,made,,verbalCxAA,feel,
filename#171,,make,,verbalCxAA,laugh,
filename#201,,making,,verbalCxAA,look,
filename#1113,,make,,verbalCxAA,look,
filename#1062,,makes,,verbalCxAA,think,
filename#920,,makes,,verbalCxAA,ache,
filename#1081,,make,,verbalCxAA,apply,
filename#854,,make,,verbalCxAA,happen,
filename#368,,made,,verbalCxAA,look,
filename#1061,,make,,verbalCxAA,look,
filename#1134,,make,,verbalCxAA,look,
filename#791,,make,,verbalCxAA,look,
filename#141,,make,,verbalCxAA,look,
filename#448,,made,,verbalCxAA,sound,
filename#658,,makes,,verbalCxAA,trot,
filename#754,,make,,verbalCxAA,work,
filename#679,,make,,verbalCxAA,work,
filename#1144,,made,,verbalCxAA,read,
filename#144,,making,,verbalCxAA,look,
filename#39,,makes,,verbalCxAA,get,
filename#955,,made,,verbalCxAA,answer,
filename#438,,makes,,verbalCxAA,crash,
filename#255,,make,,verbalCxAA,creak,
filename#224,,made,,verbalCxAA,do,
filename#824,,make,,verbalCxAA,feel,
filename#1171,,make,,verbalCxAA,feel,
filename#249,,making,,verbalCxAA,feel,
filename#122,,makes,,verbalCxAA,feel,
filename#648,,made,,verbalCxAA,feel,
filename#936,,makes,,verbalCxAA,feel,
filename#929,,makes,,verbalCxAA,feel,
filename#987,,make,,verbalCxAA,feel,
filename#53,,make,,verbalCxAA,get,
filename#1073,,make,,verbalCxAA,go,
filename#386,,makes,,verbalCxAA,heave,
filename#876,,make,,verbalCxAA,laugh,
filename#438,,made,,verbalCxAA,laugh,
filename#807,,made,,verbalCxAA,laugh,
filename#508,,makes,,verbalCxAA,laugh,
filename#1066,,makes,,verbalCxAA,look,
filename#341,,made,,verbalCxAA,sound,
filename#1056,,makes,,verbalCxAA,sound,
filename#18,,made,,verbalCxAA,think,
filename#520,,made,,verbalCxAA,think,
filename#1091,,making,,verbalCxAA,try,
filename#623,,make,,verbalCxAA,want,
filename#1146,,makes,,verbalCxAA,want,
filename#1122,,made,,verbalCxAA,mash,
filename#425,,makes,,verbalCxAA,itch,
filename#500,,make,,verbalCxAA,feel,
filename#134,,make,,verbalCxAA,happen,
filename#1104,,makes,,verbalCxAA,look,
filename#521,,makes,,verbalCxAA,activate,
filename#1089,,make,,verbalCxAA,dance,
filename#622,,make,,verbalCxAA,feel,
filename#672,,make,,verbalCxAA,grow,
filename#373,,make,,verbalCxAA,move,
filename#805,,made,,verbalCxAA,say,
filename#632,,make,,verbalCxAA,happen,
filename#1096,,make,,verbalCxAA,stick,
filename#663,,made,,verbalCxAA,make,
filename#569,,made,,verbalCxAA,feel,
filename#599,,made,,verbalCxAA,feel,
filename#670,,makes,,verbalCxAA,appreciate,
filename#812,,made,,verbalCxAA,do,
filename#679,,make,,verbalCxAA,do,
filename#501,,making,,verbalCxAA,drink,
filename#489,,make,,verbalCxAA,feel,
filename#1089,,made,,verbalCxAA,feel,
filename#1053,,makes,,verbalCxAA,feel,
filename#348,,make,,verbalCxAA,feel,
filename#116,,make,,verbalCxAA,feel,
filename#83,,makes,,verbalCxAA,feel,
filename#793,,make,,verbalCxAA,feel,
filename#523,,makes,,verbalCxAA,get up,
filename#28,,make,,verbalCxAA,go,
filename#351,,makes,,verbalCxAA,go,
filename#789,,make,,verbalCxAA,stick,
filename#515,,make,,verbalCxAA,list,
filename#269,,make,,adjectiveCx,poorly,
filename#176,,makes,,verbalCxAA,realise,
filename#1159,,makes,,verbalCxAA,go,
filename#33,,makes,,verbalCxAA,say,
filename#1004,,makes,,verbalCxAA,think,
filename#170,,makes,,verbalCxAA,think,
filename#77,,makes,,verbalCxAA,want,
filename#202,,made,,verbalCxAA,want,
filename#656,,makes,,verbalCxAA,wonder,
filename#479,,make,,verbalCxAA,wonder,
filename#1068,,make,,verbalCxAA,wonder,
filename#1081,,make,,verbalCxAA,hurt,
filename#297,,make,,adjectiveCx,strong,
filename#64,,makes,,verbalCxAA,look,
filename#181,,make,,verbalCxAA,spend,
filename#1224,,make,,verbalCxAA,come,
filename#1232,,makes,,verbalCxAA,wonder,
filename#1245,,made,,verbalCxAA,feel,
filename#1247,,make,,verbalCxAA,feel,
filename#1247,,makes,,verbalCxAA,seem,
filename#679,,makes,,adjectiveCx,different,
filename#321,,made,,adjectiveCx,nicer,
filename#663,,make,,nounCx,fool,
filename#447,,makes,,nounCx,murderer,
filename#86,,making,,adjectiveCx,damp,
filename#411,,makes,,nounCx,force,
filename#154,,make,,adjectiveCx,better,
filename#705,,makes,,nounCx,driving,
filename#792,,make,,nounCx,for,
filename#775,,makes,,adjectiveCx,happy,
filename#189,,made,,adjectiveCx,excited,
filename#860,,make,,nounCx,thirty-two,
filename#1120,,make,,adjectiveCx,worse,
filename#1032,,make,,adjectiveCx,aware,
filename#58,,made,,verbalCxAA,give,
filename#945,,make,,nounCx,weekend,
filename#603,,make,,adjectiveCx,harder,
