Register,Level,Series,Conc1,Conc2,Conc3,Cause_Cx,Collocate,Semantic_prosody
spoken,E,Green Line,,make,,adjectiveCx,affordable,
spoken,E,Join the Team,,made,,adjectiveCx,special,
spoken,C,Green Line,,make,,adjectiveCx,strong,
spoken,E,Join the Team,,make,,verbalCxAA,change,
spoken,E,Hi there,,made,,adjectiveCx,mad,
spoken,D,Solutions,,made,,nounCx,fool,
spoken,C,Access,,make,,verbalCxAA,come,
spoken,E,Hi there,,makes,,adjectiveCx,great,
spoken,C,Solutions,,makes,,verbalCxAA,look,
spoken,D,Solutions,,made,,adjectiveCx,famous,
spoken,E,New Green Line,,make,,adjectiveCx,equal,
spoken,C,Hi there,,make,,verbalCxAA,appear,
spoken,C,Access,,made,,verbalCxAA,seem,
spoken,D,Solutions,,made,,verbalCxAA,feel,
spoken,D,New Green Line,,make,,adjectiveCx,happy,
spoken,D,Piece of cake,,makes,,verbalCxAA,laugh,
spoken,C,Hi there,,making,,verbalCxAA,appear,
spoken,E,English in Mind,,make,,verbalCxAA,do,
spoken,D,Solutions,,make,,adjectiveCx,famous,
spoken,B,Access,,made,,nounCx,king,
spoken,D,Piece of cake,,make,,verbalCxAA,love,
spoken,C,Hi there,,makes,,nounCx,desert,
spoken,C,New Green Line,,made,,nounCx,experience,
spoken,D,Access,,making,,verbalCxAA,look,
spoken,E,Green Line,,make,,verbalCxAA,sound,
spoken,B,Solutions,,make,,adjectiveCx,clear,
spoken,B,Solutions,,make,,adjectiveCx,clear,
spoken,E,Join the Team,,made,,adjectiveCx,easy,
spoken,D,Piece of cake,,made,,adjectiveCx,popular,
spoken,D,New Green Line,,makes,,adjectiveCx,hard,
spoken,C,Access,,make,,adjectiveCx,harder,
spoken,C,Solutions,,makes,,adjectiveCx,harder,
spoken,D,Solutions,,made,,nounCx,passion,
spoken,E,Access,,make,,adjectiveCx,impossible,
spoken,E,Achievers,,making,,adjectiveCx,interesting,
spoken,C,Hi there,,make,,adjectiveCx,easier,
spoken,C,Hi there,,make,,adjectiveCx,safer,
spoken,D,English in Mind,,make,,verbalCxAA,sound,
spoken,C,Solutions,,make,,adjectiveCx,stronger,
spoken,C,Solutions,,make,,adjectiveCx,worse,
spoken,D,Achievers,,make,,adjectiveCx,better,
spoken,B,New Green Line,,makes,,adjectiveCx,cool,
spoken,E,Join the Team,,makes,,nounCx,writer,
spoken,D,Piece of cake,,make,,verbalCxAA,change,
spoken,D,Hi there,,made,,verbalCxAA,consider,
spoken,E,New Green Line,,make,,verbalCxAA,cut,
spoken,B,Solutions,,made,,adjectiveCx,anxious,
spoken,E,New Green Line,,made,,adjectiveCx,stronger,
spoken,D,Solutions,,makes,,adjectiveCx,nauseous,
spoken,C,Solutions,,make,,adjectiveCx,uncomfortable,
spoken,C,Hi there,,made,,verbalCxAA,feel,
spoken,D,Piece of cake,,made,,verbalCxAA,feel,
spoken,C,New Green Line,,makes,,verbalCxAA,feel,
spoken,D,New Green Line,,makes,,verbalCxAA,feel,
spoken,E,Hi there,,made,,verbalCxAA,feel,
spoken,E,Hi there,,makes,,verbalCxAA,feel,
spoken,C,Solutions,,make,,verbalCxAA,go,
spoken,C,Achievers,,makes,,adjectiveCx,happy,
spoken,D,New Green Line,,made,,verbalCxAA,hope,
spoken,B,Solutions,,make,,verbalCxAA,laugh,
spoken,C,English in Mind,,make,,verbalCxAA,laugh,
spoken,D,Solutions,,made,,verbalCxAA,laugh,
spoken,C,Join the Team,,makes,,verbalCxAA,make,
spoken,E,New Green Line,,made,,verbalCxAA,promise,
spoken,E,New Green Line,,made,,verbalCxAA,promise,
spoken,D,New Green Line,,making,,adjectiveCx,hungry,
spoken,E,Join the Team,,made,,adjectiveCx,uncomfortable,
spoken,E,Hi there,,makes,,adjectiveCx,happy,
spoken,D,New Green Line,,made,,adjectiveCx,mad,
