"","FileID","Corpus","Register","Output","Token","Tag","TagGold","Evaluation"
"1","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","Interviewer_NN","Interviewer","NN","NN",TRUE
"2","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","In_IN","In","IN","IN",TRUE
"3","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","this_DEMO","this","DEMO","DEMO",TRUE
"4","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","part_NN","part","NN","NN",TRUE
"5","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","of_IN","of","IN","IN",TRUE
"6","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","the_DT","the","DT","DT",TRUE
"7","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","programme_NN","programme","NN","NN",TRUE
"8","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation",",_,",",",",",",",TRUE
"9","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","I_FPP1S","I","FPP1S","FPP1S",TRUE
"10","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","'m_VPRTCONT","'m","VPRT","VPRT",TRUE
"11","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","going_GTO","going","GTO","GTO",TRUE
"12","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","to_TO","to","IN","IN",TRUE
"13","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","talk_VBCOMM","talk","VB","VB",TRUE
"14","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","to_IN","to","IN","IN",TRUE
"15","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","David_NN","David","NN","NN",TRUE
"16","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","Brown_NN","Brown","NN","NN",TRUE
"17","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation",",_,",",",",",",",TRUE
"18","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","who_WHSC","who","WHSC","WHSC",TRUE
"19","Solutions_Intermediate_Spoken_0032","TEC-Sp","Conversation","'s_VPRTCONT","'s","VPRT","VPRT",TRUE
