Filename	Words	AWL	TTR	LD	DT	JJAT	POS	NCOMP	QUAN	ACT	ASPECT	CAUSE	COMM	CUZ	CC	CONC	COND	EX	EXIST	ELAB	FREQ	JJPR	MENTAL	OCCUR	DOAUX	QUTAG	QUPR	SPLIT	STPR	WHQU	THSC	WHSC	CONT	VBD	VPRT	PLACE	PROG	HGOT	BEMA	MDCA	MDCO	TIME	THATD	THRC	VIMP	MDMM	ABLE	MDNE	MDWS	MDWO	XX0	PASS	PGET	VBG	VBN	PEAS	GTO	FPP1S	FPP1P	TPP3S	TPP3P	SPP2	PIT	PRP	RP	AMP	CD	DEMO	DMA	DWNT	EMO	EMPH	FPUH	HDG	HST	IN	LIKE	NN	POLITE	RB	SO	URL	YNQU
Quatr_us_10393422_fever.txt	656	4.7744	0.482500	0.589939	21.1340	23.1959	2.0619	5.1546	3.6082	21.8750	6.2500	1.5625	7.8125	0	23.4375	0	0	1.5625	4.6875	0	1.5625	12.5000	3.1250	4.6875	7.8125	0	0	4.6875	1.5625	7.8125	6.2500	12.5000	6.2500	51.5625	42.1875	3.1250	4.6875	0	23.4375	3.1250	0	7.8125	1.5625	6.2500	0	3.1250	0	0	0	0	7.8125	10.9375	0	10.9375	1.5625	6.2500	0	0	0	7.8125	4.6875	17.1875	6.2500	0	3.1250	0.1524	2.2866	0.4573	0	0	0	0.6098	0	0.4573	0	11.4329	0.1524	29.5732	0	0.9146	0.1524	0	0.1524
Science_for_students_10065613_so-many-earths.txt	904	4.7345	0.485000	0.558628	33.7398	22.3577	2.8455	4.8780	5.6911	24.6753	5.1948	3.8961	5.1948	0	36.3636	1.2987	1.2987	0	14.2857	0	1.2987	19.4805	9.0909	2.5974	1.2987	0	0	1.2987	1.2987	0	10.3896	19.4805	6.4935	6.4935	58.4416	2.5974	1.2987	0	15.5844	0	7.7922	2.5974	1.2987	14.2857	9.0909	6.4935	1.2987	2.5974	1.2987	7.7922	5.1948	5.1948	0	19.4805	10.3896	6.4935	0	0	5.1948	0	2.5974	0	12.9870	0	2.5974	0	2.7655	0.9956	0.1106	0	0	0.3319	0	0.1106	0	13.2743	0.1106	27.2124	0	1.3274	0	0	0
Science_for_students_10065415_picture-super-henge-buried-near-stonehenge.txt	833	5.0792	0.502500	0.593037	31.8367	20.4082	0.4082	6.5306	1.6327	28.3582	0	1.4925	14.9254	1.4925	37.3134	1.4925	1.4925	0	16.4179	4.4776	2.9851	23.8806	11.9403	0	0	0	0	2.9851	0	0	7.4627	8.9552	2.9851	29.8507	59.7015	13.4328	1.4925	0	16.4179	1.4925	0	16.4179	0	5.9701	4.4776	2.9851	1.4925	0	0	1.4925	0	13.4328	0	14.9254	28.3582	4.4776	0	0	0	4.4776	8.9552	0	20.8955	0	5.9701	0	2.4010	0.4802	0	0	0	0.2401	0	0.8403	0	11.7647	0	29.4118	0	1.3205	0	0	0
WhyFiles_10063103_282dead_zone.txt	971	4.9856	0.547500	0.623069	26.4798	24.9221	1.2461	11.2150	4.3614	29.5082	1.6393	1.6393	3.2787	8.1967	44.2623	3.2787	3.2787	0	4.9180	1.6393	3.2787	24.5902	9.8361	4.9180	0	0	0	8.1967	0	0	1.6393	4.9180	0	8.1967	78.6885	3.2787	3.2787	0	26.2295	4.9180	1.6393	4.9180	1.6393	6.5574	3.2787	0	0	0	1.6393	1.6393	3.2787	4.9180	0	18.0328	13.1148	13.1148	0	0	0	0	4.9180	0	8.1967	0	1.6393	0.1030	3.6045	0.9269	0	0.1030	0	0	0	0.4119	0	12.8733	0.2060	33.0587	0	1.1329	0	0.3090	0
Teen_Kids_News_10405569_how-turtles-can-conquer-the-ocean-by-swimming-thousands-of-miles-in-a-perfectly-straight-line.txt	711	4.9212	0.550000	0.578059	32.1782	17.8218	1.4851	8.4158	3.4653	33.9623	1.8868	5.6604	3.7736	0	30.1887	5.6604	0	1.8868	5.6604	0	0	13.2075	15.0943	1.8868	1.8868	0	3.7736	3.7736	0	0	7.5472	18.8679	3.7736	26.4151	56.6038	3.7736	0	0	16.9811	13.2075	0	7.5472	3.7736	3.7736	0	0	0	0	1.8868	1.8868	3.7736	7.5472	0	35.8491	13.2075	15.0943	0	0	7.5472	0	35.8491	0	0	0	9.4340	0.4219	2.2504	0.2813	0	0	0	0.5626	0	0	0	14.6273	0	28.4107	0	1.9691	0	0	0
WhyFiles_10062595.txt	1104	5.1793	0.505000	0.634964	25.9887	18.6441	0.8475	15.8192	1.6949	21.2500	6.2500	6.2500	7.5000	3.7500	33.7500	3.7500	1.2500	0	7.5000	0	2.5000	26.2500	13.7500	5.0000	0	0	0	5.0000	0	1.2500	7.5000	13.7500	1.2500	16.2500	63.7500	0	2.5000	0	22.5000	3.7500	8.7500	8.7500	1.2500	6.2500	0	0	0	2.5000	2.5000	2.5000	1.2500	10.0000	0	23.7500	17.5000	1.2500	0	0	7.5000	1.2500	3.7500	0	7.5000	0	2.5000	0.3623	2.3551	1.0870	0	0.0906	0	0.2717	0	0.6341	0	11.5036	0.1812	32.0652	0	1.5399	0	0	0
Dogo_News_file10059848_finnish-scientists-develop-edible-insect-vaccine-to-save-bees.txt	697	4.8608	0.575000	0.586801	28.5714	20.8791	0.5495	13.1868	1.0989	24.6154	3.0769	10.7692	10.7692	4.6154	35.3846	0	3.0769	0	4.6154	0	1.5385	10.7692	12.3077	1.5385	4.6154	0	3.0769	3.0769	0	1.5385	7.6923	16.9231	4.6154	27.6923	61.5385	0	3.0769	0	12.3077	3.0769	3.0769	3.0769	3.0769	1.5385	0	0	1.5385	1.5385	1.5385	1.5385	7.6923	9.2308	0	16.9231	6.1538	7.6923	0	13.8462	12.3077	3.0769	12.3077	1.5385	9.2308	0	4.6154	0.1435	0.7174	0.7174	0.5739	0.1435	0	0.2869	0	0	0	11.9082	0.2869	26.1119	0	1.5782	0.2869	0	0
History_Kids_BBC_10403933_memory7s.txt	1098	4.1421	0.492500	0.510929	26.8775	8.6957	2.3715	5.5336	4.3478	20.4225	3.5211	0.7042	12.6761	4.2254	24.6479	0.7042	1.4085	3.5211	2.8169	0	2.1127	7.7465	11.9718	4.9296	4.2254	0	1.4085	2.1127	0	6.3380	2.8169	9.8592	4.2254	81.6901	2.8169	2.1127	1.4085	0	10.5634	0.7042	5.6338	2.1127	6.3380	0	0	0	0	6.3380	0	2.8169	7.0423	8.4507	1.4085	6.3380	3.5211	3.5211	0	19.7183	0.7042	31.6901	19.0141	8.4507	7.0423	0	5.6338	0.1821	2.5501	0	0	0	0	0.1821	0	0	0	10.2004	0.1821	23.0419	0	1.0018	0.2732	0	0.0911
Quatr_us_10392794_circle.txt	762	4.3202	0.430000	0.564304	38.9671	15.0235	0	4.2254	8.9202	17.1429	4.2857	0	5.7143	2.8571	12.8571	1.4286	2.8571	0	5.7143	1.4286	2.8571	11.4286	8.5714	1.4286	2.8571	0	2.8571	0	0	12.8571	4.2857	7.1429	10.0000	10.0000	77.1429	2.8571	1.4286	0	42.8571	2.8571	2.8571	2.8571	0	7.1429	2.8571	0	0	2.8571	1.4286	0	4.2857	2.8571	0	10.0000	0	0	0	0	4.2857	0	4.2857	14.2857	18.5714	0	5.7143	0	4.7244	0.6562	0	0	0	0.7874	0	0.3937	0	10.4987	0.3937	27.9528	0	2.2310	0.2625	0	0.1312
TeenVogue_10406279_ilhan-omar-first-muslim-woman-first-somali-american-congress-minnesota.txt	705	4.8879	0.505000	0.557447	25.8883	19.7970	4.5685	6.5990	5.0761	43.8596	8.7719	1.7544	10.5263	1.7544	36.8421	1.7544	0	0	8.7719	0	0	5.2632	8.7719	5.2632	0	0	1.7544	5.2632	0	0	1.7544	15.7895	0	49.1228	38.5965	0	7.0175	0	14.0351	1.7544	3.5088	7.0175	1.7544	5.2632	0	0	0	5.2632	1.7544	0	1.7544	3.5088	0	24.5614	5.2632	5.2632	0	5.2632	29.8246	33.3333	3.5088	10.5263	7.0175	0	7.0175	0.2837	2.4113	0.5674	0	0	0	0.5674	0	0	0	12.9078	0.1418	27.9433	0.1418	1.7021	0	0.1418	0
