Filename	Words	AWL	TTR	LD	ABLE	ACT	AMP	ASPECT	BEMA	CAUSE	CC	CD	COMM	CONC	COND	CONT	CUZ	DEMO	DMA	DOAUX	DT	DWNT	ELAB	EMPH	EX	EXIST	FPP1P	FPP1S	FPUH	FREQ	GTO	HDG	HGOT	IN	JJAT	JJPR	LIKE	MDCA	MDCO	MDMM	MDNE	MDWO	MDWS	MENTAL	NCOMP	NN	OCCUR	PASS	PEAS	PGET	PIT	PLACE	POLITE	POS	PROG	PRP	QUAN	QUPR	QUTAG	RB	RP	SO	SPLIT	SPP2	STPR	THATD	THRC	THSC	TIME	TPP3P	TPP3S	URL	VBD	VBG	VBN	VIMP	VPRT	WHQU	WHSC	XX0	YNQU
SFYX.txt	9192	3.9208	0.407500	0.462359	0.0000	2.7089	0.6527	0.2937	2.6545	0.0870	5.2328	0.7833	1.0879	0.0435	0.2067	3.4269	0.5983	0.9574	3.6227	0.7507	5.3307	0.0326	0.0544	1.4904	0.2611	0.3481	1.1641	4.9500	3.7859	0.2937	0.0326	0.1741	0.1414	7.7241	1.9800	1.8059	0.1523	0.2393	0.1849	0.0435	0.1632	0.4025	0.0870	2.4151	0.9574	11.4883	0.2067	0.4134	0.7071	0.1197	2.2628	0.3916	0.0000	0.0870	0.4569	0.0109	1.4143	0.4025	0.2067	3.1005	0.3916	0.6636	0.3155	1.6645	0.0326	0.5766	0.0870	0.5983	0.3481	1.1749	1.2076	0.0000	5.2763	0.8921	0.2393	0.0218	5.7985	0.1414	1.1532	1.3708	0.2829
SVH7.txt	18158	3.9233	0.410000	0.507049	0.0220	2.1313	0.3139	0.1046	3.2988	0.1322	2.5664	0.8812	0.8536	0.1267	0.3635	5.0942	0.5177	1.7403	4.3672	0.8041	4.5985	0.0771	0.0386	1.3107	0.5067	0.1983	1.0298	2.9959	3.0785	0.2864	0.2478	0.6884	0.1542	7.0107	2.0156	2.2414	0.6003	0.3414	0.1432	0.0771	0.2588	0.5232	0.3194	2.4452	0.8151	11.6312	0.1046	0.3084	0.4791	0.0220	2.7811	0.4130	0.2313	0.2754	0.6003	0.0055	1.1951	0.3084	0.0716	3.4200	0.3304	0.8316	0.3580	1.7733	0.1652	0.6333	0.3304	0.5287	0.2699	0.9913	0.9472	0.0000	2.0156	0.5452	0.2588	0.2258	8.1176	0.4461	1.0629	2.0267	0.3635
S75W.txt	6900	3.8514	0.350000	0.489420	0.0145	2.6087	0.1449	0.1449	2.7826	0.0580	3.4783	1.0000	1.0580	0.1304	0.3333	5.5217	0.5362	1.0290	3.4058	1.1884	3.8406	0.0290	0.0000	1.1884	0.4058	0.1739	0.4928	3.4058	2.5217	0.3478	0.1014	0.1594	0.3768	5.4783	1.4203	1.5217	0.6232	0.5942	0.1884	0.0870	0.3043	0.1884	0.3478	2.4638	0.8986	10.6957	0.0870	0.2174	0.5217	0.0435	3.7101	0.5797	0.0435	0.2754	0.9130	0.0000	1.0290	0.8116	0.4638	3.1449	0.4928	0.7101	0.4058	2.5362	0.1159	0.6812	0.2319	0.3623	0.5507	1.4058	1.5072	0.0000	2.7826	0.5507	0.1739	0.1739	8.4348	0.6957	0.7826	2.2609	1.0435
SH63.txt	5944	3.8119	0.385000	0.492598	0.0168	1.5141	0.3365	0.1346	3.6171	0.0673	1.8843	1.0431	0.9758	0.1346	0.2860	4.9462	0.3197	1.6319	4.4583	1.2618	4.5424	0.0168	0.0000	1.4637	0.3197	0.2019	0.9253	4.0713	3.0114	0.1009	0.1009	0.3028	0.1851	5.0808	2.0020	2.1703	0.6898	0.4879	0.2019	0.1178	0.3197	0.3533	0.1514	2.8264	1.0599	11.1036	0.0673	0.2355	0.4542	0.0336	3.8358	0.4879	0.0505	0.3365	0.6729	0.0168	1.0262	0.3028	0.3197	3.2638	0.4374	0.2019	0.3197	2.4058	0.0505	0.7402	0.3197	0.5047	0.3365	0.6393	0.7234	0.0000	4.3405	0.4542	0.1682	0.1851	6.9987	0.5888	0.7739	3.0114	0.7402
SAZ8.txt	5866	3.8653	0.370000	0.467439	0.0170	3.1026	0.2387	0.2387	2.0116	0.1534	4.5687	1.7047	0.9035	0.1193	0.6989	4.1937	0.6989	1.2786	1.8923	0.8865	4.3130	0.0000	0.0170	1.0058	0.4262	0.2728	1.6536	2.1991	2.7787	0.3069	0.1875	0.6989	0.3921	6.7508	1.5172	1.0910	0.4944	0.8865	0.7330	0.1193	0.5626	0.4603	0.4432	2.3866	1.1081	12.0696	0.0341	0.1534	0.2216	0.0682	2.1991	0.3239	0.0341	0.2557	0.4603	0.0000	1.3467	0.6648	0.0170	3.8016	0.7330	0.7330	0.6308	1.8241	0.0852	0.6648	0.2557	0.4432	0.2557	2.5571	0.0511	0.0000	1.1251	0.6137	0.1193	0.1705	7.5520	0.3239	1.6536	1.8241	0.5114
SPG4.txt	44400	3.8703	0.370000	0.480360	0.0135	2.4324	0.4685	0.1599	2.9347	0.0721	2.8041	0.9887	1.0158	0.1914	0.3131	5.0518	0.5068	1.8446	6.2455	1.1374	3.7635	0.0338	0.0225	0.7770	0.2815	0.2072	0.6306	3.4077	2.2410	0.4482	0.0901	0.4302	0.2275	6.0473	1.6374	2.2703	0.3266	0.3108	0.1599	0.1126	0.2905	0.4550	0.2815	2.8243	0.4212	9.1149	0.2027	0.3221	0.5315	0.0293	2.2477	0.4369	0.0473	0.2568	0.3604	0.0023	1.2117	0.5293	0.7455	2.6284	0.5383	0.6509	0.3829	1.7950	0.1081	0.8333	0.2815	0.4212	0.4482	2.1622	2.6036	0.0000	3.6802	0.4595	0.2365	0.1622	7.7230	0.3108	0.8514	2.1104	0.6194
S4ZT.txt	2514	3.9344	0.395000	0.495227	0.1193	3.3413	0.4375	0.1193	3.1026	0.1193	2.9037	0.5171	1.1138	0.0398	0.3580	4.3755	0.3580	1.5911	2.5457	0.7955	4.1766	0.0398	0.0398	1.5115	0.1591	0.1193	0.6364	2.9435	1.1535	0.2387	0.1591	0.1591	0.2784	9.7454	1.8298	1.1933	0.5967	0.1591	0.0796	0.0000	0.2387	0.1989	0.0796	2.8640	0.7558	11.0581	0.1989	0.1989	0.3182	0.0398	2.0684	0.1989	0.0398	0.0796	1.1535	0.0000	1.0342	0.3978	0.0398	2.8640	0.5967	0.5967	0.3580	3.5004	0.0796	0.3580	0.1193	1.0342	0.2784	2.5855	0.5967	0.0000	1.9889	0.7558	0.1989	0.2784	8.9499	0.3182	1.8695	1.3922	0.1193
SXAW.txt	3238	3.7628	0.392500	0.479926	0.0926	2.7795	0.0618	0.2471	2.1618	0.2471	2.3780	0.8030	1.0191	0.0926	0.2471	6.0531	0.6177	1.4515	4.0766	1.2353	3.2427	0.0926	0.0000	1.4515	0.2162	0.2779	0.8338	5.9296	2.2236	0.1544	0.4015	0.5250	0.4632	6.8561	1.4824	1.6677	0.3706	0.4632	0.0926	0.0618	0.4941	0.1544	0.4324	1.6677	0.5559	9.6665	0.0926	0.2779	0.8030	0.0618	1.9148	0.4941	0.1235	0.1853	0.6794	0.0000	1.7912	0.6485	0.4941	3.5516	0.8647	0.6485	0.4941	2.1309	0.0926	0.5868	0.1853	0.5868	0.4941	1.1736	0.7721	0.0000	2.5015	0.8956	0.2779	0.5559	7.6899	0.7103	0.6177	2.2545	0.4941
SVPK.txt	8614	3.7476	0.370000	0.486882	0.0580	1.8691	0.1974	0.1625	3.0996	0.0813	3.9006	0.4644	0.9635	0.0929	0.2438	4.9338	0.4876	1.4163	2.9023	1.1493	3.1809	0.0232	0.0116	1.6949	0.1277	0.0580	0.2206	5.6304	1.9039	0.2322	0.2090	0.5688	0.1045	6.4198	1.4163	1.6717	2.8674	0.1974	0.0929	0.0697	0.1045	0.3483	0.2438	3.4014	0.5340	9.8677	0.1045	0.2090	0.3018	0.0580	2.4843	0.1974	0.1045	0.2206	0.5224	0.0000	1.2654	0.3599	0.1393	2.7513	0.2438	0.3715	0.3018	3.0067	0.0580	0.8242	0.0813	1.1377	0.3715	0.8358	2.2173	0.0000	2.9951	0.6385	0.2670	0.1161	8.9389	0.3134	1.2306	2.4379	0.3715
SBKN.txt	21724	3.8223	0.407500	0.487525	0.0092	2.2832	0.2762	0.1795	2.9138	0.0921	3.6734	0.7273	0.8838	0.1289	0.2670	4.6815	0.5432	1.4454	2.8908	0.9298	4.2396	0.0368	0.0046	1.4362	0.2992	0.1933	0.8378	3.5675	2.2878	0.4281	0.1749	0.2486	0.2117	6.0808	2.0346	2.0208	1.5743	0.2808	0.1427	0.0414	0.3821	0.4971	0.3406	2.1865	1.0771	11.3607	0.1381	0.2071	0.4695	0.0598	3.1854	0.3038	0.1519	0.2578	0.5846	0.0046	1.3349	0.3821	0.3498	2.6883	0.4787	0.4419	0.4327	2.9184	0.1473	0.4189	0.2256	0.4879	0.3821	0.9667	1.6157	0.0000	4.3592	0.7365	0.3729	0.2716	6.6792	0.4557	0.8930	1.7768	0.5846
S477.txt	3794	3.7145	0.340000	0.476542	0.1318	2.3195	0.1318	0.0791	3.0575	0.1054	4.9815	0.5799	0.7380	0.1581	0.2899	4.5335	0.6853	1.6869	3.1365	1.1861	4.9815	0.0000	0.0000	1.3706	0.6589	0.3163	0.7116	2.8730	5.4823	0.1581	0.1581	0.2899	0.2109	6.1676	1.9768	1.4233	1.2652	0.6326	0.1318	0.1845	0.1845	0.3426	0.1318	2.4249	1.1334	10.9910	0.0527	0.3426	0.3954	0.0000	3.4265	0.7116	0.2636	0.1845	0.5535	0.0000	0.8698	0.3163	0.1054	2.9784	0.7644	0.5535	0.3954	3.2683	0.1318	0.3163	0.2109	0.4217	0.4217	0.8434	1.0543	0.0000	3.5319	0.3954	0.2109	0.3163	6.8793	0.6326	0.6326	1.5024	0.7907
S9YC.txt	13369	3.8347	0.340000	0.491061	0.0150	2.3786	0.2319	0.1646	2.4908	0.0449	3.0070	0.8228	1.1818	0.0823	0.3890	5.4454	0.3964	1.5783	3.8672	1.1818	4.2486	0.0224	0.0075	1.1070	0.4039	0.2618	0.8826	3.0518	3.0892	0.2319	0.1122	0.2768	0.2768	6.4552	2.0346	1.8476	0.6358	0.6657	0.1047	0.0598	0.2618	0.3890	0.5236	2.3637	0.7256	10.1129	0.0150	0.3216	0.4563	0.0598	2.9621	0.4712	0.3067	0.2543	0.7630	0.0075	1.1818	0.4937	0.4189	2.9247	0.5386	0.5386	0.3815	2.5656	0.2468	0.4563	0.2618	0.5834	0.4413	1.8102	0.9574	0.0000	2.5656	0.6657	0.2394	0.5460	7.6745	0.4862	0.7256	2.2515	0.7630
SFXU.txt	7958	3.8255	0.410000	0.480146	0.0251	3.3928	0.1131	0.1382	2.5760	0.1005	2.8902	1.4828	0.8922	0.0628	0.4021	5.2903	0.5655	1.6336	3.1792	1.3320	4.2473	0.0251	0.0126	0.9801	0.3895	0.1005	1.0555	2.2996	2.5509	0.2011	0.0377	0.2011	0.2890	5.9186	1.9100	1.2817	0.3895	0.4147	0.1131	0.1131	0.4147	0.3016	0.1508	2.0106	0.8922	10.9952	0.1382	0.3518	0.5529	0.1131	2.2870	0.3770	0.0628	0.1634	0.4775	0.0126	1.8598	0.3895	0.2388	2.4629	0.7791	0.4272	0.2136	4.2096	0.1634	0.5906	0.3518	0.5529	0.4901	2.5509	0.8922	0.0000	3.2169	0.4021	0.1885	0.2011	8.1679	0.6409	0.9550	2.2116	0.5152
