Filename	Words	AWL	TTR	LD	DT	JJAT	POS	NCOMP	QUAN	ACT	ASPECT	CAUSE	COMM	CUZ	CC	CONC	COND	EX	EXIST	ELAB	FREQ	JJPR	MENTAL	OCCUR	DOAUX	QUTAG	QUPR	SPLIT	STPR	WHQU	THSC	WHSC	CONT	VBD	VPRT	PLACE	PROG	HGOT	BEMA	MDCA	MDCO	TIME	THATD	THRC	VIMP	MDMM	ABLE	MDNE	MDWS	MDWO	XX0	PASS	PGET	VBG	VBN	PEAS	GTO	FPP1S	FPP1P	TPP3S	TPP3P	SPP2	PIT	PRP	RP	AMP	CD	DEMO	DMA	DWNT	EMPH	FPUH	HDG	IN	LIKE	NN	POLITE	RB	SO	URL	YNQU
SFYX.txt	9192	3.9208	0.407500	0.462359	46.4015	17.2348	0.7576	8.3333	12.3106	22.1728	2.4043	0.7124	8.9047	4.8976	42.8317	0.3562	1.6919	2.1371	2.8495	0.4452	2.4043	14.7818	19.7685	1.6919	6.1443	1.6919	3.2947	2.5824	0.2671	1.1576	4.8976	9.4390	28.0499	43.1879	47.4622	3.2057	3.7400	1.1576	21.7275	1.9590	1.5138	2.8495	4.7195	0.7124	0.1781	0.3562	0	1.3357	0.7124	3.2947	11.2199	3.3838	0.9795	7.3019	1.9590	5.7881	0.2671	40.5165	9.5280	9.8842	9.6171	13.6242	18.5218	0.0890	3.2057	0.6527	0.7833	0.9574	3.6227	0.0326	1.4904	3.7859	0.1741	7.7241	0.1523	11.4883	0	3.1005	0.6636	0	0.2829
SVH7.txt	18158	3.9233	0.410000	0.507049	39.5360	17.3295	2.3674	7.0076	10.2746	17.7279	0.8704	1.0994	7.1003	4.3060	21.3468	1.0536	3.0234	4.2144	1.6491	0.3207	2.3820	18.6441	20.3390	0.8704	6.6880	0.5955	2.5653	2.9776	1.3743	3.7105	4.3976	8.8410	42.3729	16.7659	67.5218	3.4356	4.9931	1.2826	27.4393	2.8401	1.1910	2.2446	5.2680	2.7485	1.8781	0.6413	0.1832	2.1530	2.6569	4.3518	16.8575	2.5653	0.1832	4.5350	2.1530	3.9853	2.0614	24.9198	8.5662	7.8791	8.2455	14.7503	23.1333	0.0458	2.7485	0.3139	0.8812	1.7403	4.3672	0.0771	1.3107	3.0785	0.6884	7.0107	0.6003	11.6312	0.2313	3.4200	0.8316	0	0.3635
S75W.txt	6900	3.8514	0.350000	0.489420	35.9079	13.2791	2.5745	8.4011	9.6206	19.9115	1.1062	0.4425	8.0752	4.0929	26.5487	0.9956	2.5442	3.0973	1.3274	0	2.6549	11.6150	18.8053	0.6637	9.0708	3.5398	6.1947	3.0973	0.8850	5.3097	2.7655	5.9735	42.1460	21.2389	64.3805	4.4248	6.9690	2.8761	21.2389	4.5354	1.4381	4.2035	5.1991	1.7699	1.3274	0.6637	0.1106	2.3230	2.6549	1.4381	17.2566	1.6593	0.3319	4.2035	1.3274	3.9823	0.7743	25.9956	3.7611	11.5044	10.7301	19.3584	28.3186	0	3.7611	0.1449	1.0000	1.0290	3.4058	0.0290	1.1884	2.5217	0.1594	5.4783	0.6232	10.6957	0.0435	3.1449	0.7101	0	1.0435
SH63.txt	5944	3.8119	0.385000	0.492598	40.9091	18.0303	3.0303	9.5455	9.2424	11.5090	1.0230	0.5115	7.4169	2.4297	14.3223	1.0230	2.1739	2.4297	1.5345	0	0.7673	16.4962	21.4834	0.5115	9.5908	2.4297	2.3018	2.4297	0.3836	4.4757	3.8363	5.8824	37.5959	32.9923	53.1969	3.7084	5.1151	1.4066	27.4936	3.7084	1.5345	2.5575	5.6266	2.4297	1.4066	0.8951	0.1279	2.4297	1.1509	2.6854	22.8900	1.7903	0.2558	3.4527	1.2788	3.4527	0.7673	30.9463	7.0332	5.4987	4.8593	18.2864	29.1560	0.1279	3.3248	0.3365	1.0431	1.6319	4.4583	0.0168	1.4637	3.0114	0.3028	5.0808	0.6898	11.1036	0.0505	3.2638	0.2019	0	0.7402
SAZ8.txt	5866	3.8653	0.370000	0.467439	35.7345	12.5706	2.1186	9.1808	11.1582	25.7426	1.9802	1.2730	7.4965	5.7992	37.9066	0.9901	5.7992	3.5361	2.2631	0.1414	2.5460	9.0523	19.8020	0.2829	7.3550	0.1414	5.5163	5.2334	0.7072	2.6874	3.6775	13.7199	34.7949	9.3352	62.6591	2.6874	3.8190	3.2532	16.6902	7.3550	6.0820	2.1216	5.5163	2.1216	1.4144	0.9901	0.1414	4.6676	3.6775	3.8190	15.1344	1.2730	0.5658	5.0919	0.9901	1.8388	1.5559	18.2461	13.7199	0.4243	21.2164	15.1344	18.2461	0	6.0820	0.2387	1.7047	1.2786	1.8923	0	1.0058	2.7787	0.6989	6.7508	0.4944	12.0696	0.0341	3.8016	0.7330	0	0.5114
SPG4.txt	44400	3.8703	0.370000	0.480360	41.2898	17.9639	2.8169	4.6207	13.2938	18.4615	1.2137	0.5470	7.7094	3.8462	21.2821	1.4530	2.3761	2.1368	1.5726	0.1709	3.4017	17.2308	21.4359	1.5385	8.6325	5.6581	4.0171	2.9060	0.8205	2.3590	3.1966	6.4615	38.3419	27.9316	58.6154	3.3162	2.7350	1.7265	22.2735	2.3590	1.2137	3.4017	6.3248	2.1368	1.2308	0.8547	0.1026	2.2051	2.1368	3.4530	16.0171	2.4444	0.2222	3.4872	1.7949	4.0342	0.6838	25.8632	4.7863	19.7607	16.4103	13.6239	17.0598	0.0171	4.0855	0.4685	0.9887	1.8446	6.2455	0.0338	0.7770	2.2410	0.4302	6.0473	0.3266	9.1149	0.0473	2.6284	0.6509	0	0.6194
S4ZT.txt	2514	3.9344	0.395000	0.495227	37.7698	16.5468	0.7194	6.8345	9.3525	27.9070	0.9967	0.9967	9.3023	2.9900	24.2525	0.3322	2.9900	1.3289	0.9967	0.3322	1.9934	9.9668	23.9203	1.6611	6.6445	0.3322	3.3223	2.9900	0.6645	2.6578	8.6379	15.6146	36.5449	16.6113	74.7508	1.6611	9.6346	2.3256	25.9136	1.3289	0.6645	2.3256	2.9900	0.9967	2.3256	0	0.9967	1.9934	0.6645	1.6611	11.6279	1.6611	0.3322	6.3123	1.6611	2.6578	1.3289	24.5847	5.3156	4.9834	21.5947	29.2359	17.2757	0	4.9834	0.4375	0.5171	1.5911	2.5457	0.0398	1.5115	1.1535	0.1591	9.7454	0.5967	11.0581	0.0398	2.8640	0.5967	0	0.1193
SXAW.txt	3238	3.7628	0.392500	0.479926	33.5463	15.3355	1.9169	5.7508	18.5304	22.3325	1.9851	1.9851	8.1886	4.9628	19.1067	0.7444	1.9851	1.7370	2.2333	0	1.2407	13.3995	13.3995	0.7444	9.9256	3.9702	5.2109	3.9702	0.7444	5.7072	4.7146	4.9628	48.6352	20.0993	61.7866	3.9702	5.4591	3.7221	17.3697	3.7221	0.7444	3.9702	4.7146	1.4888	4.4665	0.4963	0.7444	3.9702	3.4739	1.2407	18.1141	2.2333	0.4963	7.1960	2.2333	6.4516	3.2258	47.6427	6.6998	6.2035	9.4293	17.1216	15.3846	0	6.9479	0.0618	0.8030	1.4515	4.0766	0.0926	1.4515	2.2236	0.5250	6.8561	0.3706	9.6665	0.1235	3.5516	0.6485	0	0.4941
SVPK.txt	8614	3.7476	0.370000	0.486882	32.2353	14.3529	2.2353	5.4118	12.8235	14.2604	1.2400	0.6200	7.3516	3.7201	29.7609	0.7086	1.8601	0.9743	0.4429	0.0886	1.7715	12.7547	25.9522	0.7972	8.7688	1.0629	2.7458	2.3029	0.4429	2.3915	8.6802	9.3888	37.6439	22.8521	68.2019	1.5058	3.9858	0.7972	23.6492	1.5058	0.7086	2.8344	6.2888	0.6200	0.8857	0.5314	0.4429	0.7972	1.8601	2.6572	18.6005	1.5943	0.4429	4.8716	2.0372	2.3029	1.5943	42.9584	1.6829	16.9176	6.3773	22.9407	18.9548	0	1.8601	0.1974	0.4644	1.4163	2.9023	0.0232	1.6949	1.9039	0.5688	6.4198	2.8674	9.8677	0.1045	2.7513	0.3715	0	0.3715
SBKN.txt	21724	3.8223	0.407500	0.487525	37.3177	17.9092	2.2690	9.4814	11.7504	17.5700	1.3815	0.7085	6.8013	4.1800	28.2678	0.9919	2.0546	2.3025	1.4878	0.0354	3.2944	15.5508	16.8261	1.0627	7.1555	2.6922	2.9401	3.3298	1.1335	3.5069	3.7549	6.8721	36.0255	33.5459	51.3992	2.3379	4.4988	1.6295	22.4230	2.1608	1.0981	2.9401	3.2235	1.7357	2.0900	0.3188	0.0708	2.9401	2.6213	3.8257	13.6734	1.5940	0.4605	5.6677	2.8693	3.6132	1.3461	27.4531	6.4470	12.4336	7.4389	22.4584	24.5129	0.0354	3.6840	0.2762	0.7273	1.4454	2.8908	0.0368	1.4362	2.2878	0.2486	6.0808	1.5743	11.3607	0.1519	2.6883	0.4419	0	0.5846
