Filename	Words	AWL	TTR	LD	ABLE	ACT	AMP	ASPECT	BEMA	CAUSE	CC	CD	COMM	CONC	COND	CONT	CUZ	DEMO	DMA	DOAUX	DT	DWNT	ELAB	EMO	EMPH	EX	EXIST	FPP1P	FPP1S	FPUH	FREQ	GTO	HDG	HGOT	HST	IN	JJAT	JJPR	LIKE	MDCA	MDCO	MDMM	MDNE	MDWO	MDWS	MENTAL	NCOMP	NN	OCCUR	PASS	PEAS	PGET	PIT	PLACE	POLITE	POS	PROG	PRP	QUAN	QUPR	QUTAG	RB	RP	SO	SPLIT	SPP2	STPR	THATD	THRC	THSC	TIME	TPP3P	TPP3S	URL	VBD	VBG	VBN	VIMP	VPRT	WHQU	WHSC	XX0	YNQU
Achievers_A1_Instructional_0012.txt	931	4.5650	0.400000	0.593985	0.0000	3.2223	0.0000	0.5371	1.2889	0.0000	3.2223	0.4296	4.2965	0.0000	0.2148	0.5371	0.0000	0.5371	0.1074	1.2889	8.0559	0.0000	0.0000	0.0000	0.0000	0.1074	0.1074	0.0000	0.1074	0.0000	0.5371	0.1074	0.1074	0.0000	0.0000	10.3115	1.9334	1.1815	0.2148	0.2148	0.0000	0.0000	0.0000	0.1074	0.2148	3.6520	1.9334	24.3824	0.1074	0.1074	0.0000	0.0000	0.2148	0.1074	0.0000	0.5371	0.7519	0.0000	0.5371	0.1074	0.0000	1.0741	0.0000	0.0000	0.0000	3.4372	0.1074	0.7519	0.0000	0.2148	0.4296	0.8593	0.5371	0.0000	0.2148	0.1074	0.0000	8.5929	5.0483	2.6853	0.7519	0.3222	0.4296
Solutions_Pre-Intermediate_Instructional_0023.txt	889	4.4769	0.435000	0.533183	0.0000	3.8245	0.1125	0.8999	0.8999	0.1125	3.2621	1.0124	2.5872	0.0000	0.0000	0.0000	0.0000	0.5624	0.0000	0.7874	10.7987	0.0000	0.0000	0.0000	0.1125	0.0000	0.2250	0.0000	0.1125	0.1125	0.3375	0.0000	0.0000	0.0000	0.0000	14.3982	2.2497	0.8999	0.2250	0.3375	0.0000	0.0000	0.0000	0.2250	0.0000	2.2497	1.0124	25.7593	0.3375	0.2250	0.0000	0.0000	0.0000	0.2250	0.0000	0.0000	0.3375	0.0000	1.4623	0.0000	0.0000	0.3375	0.5624	0.0000	0.0000	3.1496	0.3375	0.0000	0.0000	0.2250	0.2250	0.4499	0.7874	0.0000	1.0124	1.1249	0.3375	5.6243	3.3746	1.4623	0.6749	0.4499	1.0124
Piece_of_cake_4e_Spoken_0007.txt	750	3.8987	0.505000	0.516000	0.0000	2.2667	0.2667	0.2667	1.8667	0.1333	4.2667	2.4000	0.9333	0.0000	0.1333	1.8667	0.1333	0.2667	2.0000	0.1333	6.6667	0.1333	0.0000	0.0000	0.6667	0.0000	0.8000	1.7333	5.7333	0.8000	0.2667	0.2667	0.6667	0.0000	0.0000	10.1333	3.2000	1.2000	0.4000	0.1333	0.1333	0.0000	0.4000	2.1333	0.2667	3.4667	0.8000	16.9333	0.6667	0.2667	0.0000	0.0000	0.6667	0.0000	0.4000	0.0000	0.2667	0.0000	1.8667	0.5333	0.0000	1.4667	0.4000	0.2667	0.1333	2.2667	0.1333	0.0000	0.0000	0.0000	0.5333	0.0000	0.1333	0.0000	3.6000	0.6667	0.0000	0.2667	2.5333	0.8000	0.5333	0.6667	0.6667
Achievers_A2_Personal_0003.txt	979	3.9939	0.452500	0.545455	0.0000	3.4729	0.1021	0.1021	1.9408	0.3064	3.1665	0.5107	0.9193	0.0000	0.2043	3.4729	0.1021	0.3064	0.2043	1.9408	4.0858	0.2043	0.0000	0.0000	0.7150	0.3064	0.2043	2.5536	5.2094	0.1021	0.1021	0.0000	0.0000	0.2043	0.0000	7.9673	1.4300	1.5322	0.2043	0.4086	0.0000	0.0000	0.7150	0.3064	0.2043	3.2686	3.2686	19.4076	0.0000	0.2043	0.1021	0.0000	1.3279	0.5107	0.3064	0.0000	0.8172	0.0000	1.3279	0.1021	0.0000	1.9408	0.1021	0.4086	0.1021	3.3708	0.3064	0.4086	0.0000	0.1021	0.5107	0.2043	0.1021	0.0000	0.4086	1.2257	0.0000	0.7150	8.5802	1.3279	0.4086	1.0215	0.5107
Achievers_B1_plus_Informative_0007.txt	690	4.6986	0.590000	0.589855	0.0000	3.0435	0.1449	0.4348	1.0145	0.1449	4.7826	1.3043	1.1594	0.2899	0.0000	0.2899	0.0000	0.1449	0.0000	0.0000	8.2609	0.0000	0.0000	0.0000	0.2899	0.0000	0.8696	1.4493	0.0000	0.0000	0.1449	0.0000	0.1449	0.0000	0.0000	10.8696	7.5362	0.8696	0.0000	0.2899	0.0000	0.0000	0.4348	0.0000	0.7246	1.4493	3.7681	29.2754	0.0000	0.2899	0.2899	0.0000	0.8696	0.4348	0.0000	0.2899	0.4348	0.0000	0.8696	0.2899	0.0000	0.7246	0.4348	0.2899	0.2899	2.3188	0.0000	0.0000	0.0000	0.1449	0.1449	0.8696	0.0000	0.0000	1.3043	1.0145	0.2899	0.4348	3.7681	0.0000	1.1594	0.2899	0.0000
Piece_of_cake_5e_Spoken_0003.txt	694	3.8098	0.427500	0.504323	0.0000	1.7291	0.2882	0.1441	3.8905	0.1441	2.4496	1.0086	0.4323	0.0000	0.5764	3.6023	0.0000	1.1527	2.1614	1.1527	6.0519	0.0000	0.2882	0.0000	0.4323	0.4323	0.4323	2.1614	1.8732	1.0086	0.1441	0.5764	0.1441	0.0000	0.0000	7.7810	2.0173	2.1614	0.1441	0.2882	0.0000	0.0000	0.8646	0.0000	0.1441	2.4496	0.7205	14.9856	0.0000	0.1441	0.0000	0.0000	2.8818	0.7205	0.1441	0.2882	1.5850	0.0000	0.7205	0.2882	0.0000	3.7464	0.0000	0.0000	0.2882	3.0259	0.0000	0.0000	0.0000	0.1441	0.5764	0.2882	0.7205	0.0000	0.5764	0.0000	0.0000	0.8646	9.5101	1.0086	0.7205	1.5850	2.1614
Access_4_Narrative_0013.txt	547	3.9506	0.452500	0.466179	0.0000	2.5594	0.9141	0.9141	2.7422	0.0000	3.8391	0.1828	0.3656	0.0000	0.0000	1.0969	0.1828	0.0000	0.0000	0.5484	9.3236	0.0000	0.0000	0.0000	0.0000	1.0969	0.5484	2.7422	1.2797	0.0000	0.1828	0.0000	0.0000	0.0000	0.0000	11.5174	1.8282	3.1079	0.0000	0.5484	0.1828	0.0000	0.0000	0.0000	0.1828	2.7422	0.1828	17.0018	0.7313	0.3656	0.3656	0.0000	1.0969	0.9141	0.1828	0.3656	0.5484	0.0000	1.2797	0.1828	0.0000	3.1079	0.7313	0.9141	0.0000	0.0000	0.0000	0.1828	0.0000	0.0000	0.5484	1.0969	3.8391	0.0000	8.7751	1.0969	0.0000	0.0000	3.8391	0.0000	1.2797	0.7313	0.0000
Achievers_B1_plus_Instructional_0020.txt	967	4.5098	0.402500	0.540848	0.0000	3.6194	0.0000	0.5171	1.3444	0.2068	3.2058	0.8273	1.8614	0.0000	0.4137	0.3102	0.0000	0.1034	0.0000	1.2410	10.8583	0.0000	0.0000	0.0000	0.6205	0.1034	0.1034	0.0000	0.0000	0.0000	0.5171	0.6205	0.0000	0.0000	0.0000	10.9617	3.2058	1.6546	0.1034	0.3102	0.1034	0.0000	0.5171	0.3102	0.3102	4.0331	1.1375	19.8552	0.1034	0.2068	0.3102	0.0000	0.6205	0.0000	0.0000	0.2068	0.0000	0.1034	1.3444	0.5171	0.0000	0.5171	0.4137	0.1034	0.0000	4.1365	0.0000	0.2068	0.0000	0.2068	0.1034	0.6205	0.2068	0.0000	1.0341	1.0341	0.3102	5.2740	4.3433	2.2751	0.6205	0.3102	1.1375
New_GreenLine_1_Spoken_0002.txt	927	3.8188	0.355000	0.535059	0.0000	1.2945	0.1079	0.0000	5.8252	0.4315	2.5890	0.2157	0.2157	0.0000	0.0000	5.9331	0.0000	1.1866	2.3732	0.5394	4.2071	0.0000	0.0000	0.0000	0.3236	0.3236	0.1079	1.5102	3.8835	3.2362	0.5394	0.0000	0.3236	0.9709	0.0000	5.1780	1.6181	3.4520	0.1079	0.8630	0.0000	0.0000	0.0000	0.0000	0.0000	1.4024	2.3732	22.3301	0.0000	0.0000	0.0000	0.0000	1.9417	0.8630	0.9709	0.7551	0.0000	0.0000	0.2157	0.3236	0.0000	1.2945	0.0000	0.0000	0.2157	3.1284	0.0000	0.0000	0.0000	0.1079	0.6472	0.2157	0.9709	0.1079	0.4315	0.2157	0.0000	1.2945	9.8166	0.9709	0.3236	2.1575	0.8630
Access_1_Narrative_0005.txt	840	3.9393	0.510000	0.557143	0.0000	3.4524	0.1190	0.1190	2.2619	0.3571	3.9286	0.8333	3.3333	0.0000	0.0000	1.7857	0.1190	0.7143	1.4286	1.5476	6.1905	0.0000	0.0000	0.0000	0.3571	0.5952	0.2381	1.6667	3.4524	0.9524	0.5952	0.0000	0.0000	0.0000	0.0000	7.6190	1.6667	1.7857	0.0000	1.0714	0.1190	0.0000	0.0000	0.0000	0.0000	1.5476	1.9048	22.8571	0.0000	0.1190	0.0000	0.0000	0.9524	0.3571	0.2381	0.4762	0.1190	0.0000	0.7143	0.0000	0.0000	1.6667	0.1190	0.1190	0.1190	1.4286	0.0000	0.0000	0.0000	0.0000	0.4762	1.1905	1.1905	0.0000	7.5000	0.0000	0.1190	0.4762	5.4762	0.7143	0.8333	1.1905	0.3571
