Filename	Words	AWL	TTR	LD	DT	JJAT	POS	NCOMP	QUAN	ACT	ASPECT	CAUSE	COMM	CUZ	CC	CONC	COND	EX	EXIST	ELAB	FREQ	JJPR	MENTAL	OCCUR	DOAUX	QUTAG	QUPR	SPLIT	STPR	WHQU	THSC	WHSC	CONT	VBD	VPRT	PLACE	PROG	HGOT	BEMA	MDCA	MDCO	TIME	THATD	THRC	VIMP	MDMM	ABLE	MDNE	MDWS	MDWO	XX0	PASS	PGET	VBG	VBN	PEAS	GTO	FPP1S	FPP1P	TPP3S	TPP3P	SPP2	PIT	PRP	RP	AMP	CD	DEMO	DMA	DWNT	EMO	EMPH	FPUH	HDG	HST	IN	LIKE	NN	POLITE	RB	SO	URL	YNQU
Achievers_A1_Instructional_0012.txt	931	4.5650	0.400000	0.593985	33.0396	7.9295	2.2026	7.9295	2.2026	22.3881	3.7313	0	29.8507	0	22.3881	0	1.4925	0.7463	0.7463	0	3.7313	8.2090	25.3731	0.7463	8.9552	0	0.7463	0	0.7463	18.6567	1.4925	5.2239	3.7313	1.4925	35.0746	0.7463	5.2239	0	8.9552	1.4925	0	2.9851	5.2239	0	59.7015	0	0	0	1.4925	0.7463	2.2388	0.7463	0	0.7463	0	0	0.7463	0.7463	0	3.7313	5.9701	23.8806	1.4925	0	0	0	0.4296	0.5371	0.1074	0	0	0	0	0.1074	0	10.3115	0.2148	24.3824	0	1.0741	0	0	0.4296
Solutions_Pre-Intermediate_Instructional_0023.txt	889	4.4769	0.435000	0.533183	41.9214	8.7336	0	3.9301	5.6769	36.1702	8.5106	1.0638	24.4681	0	30.8511	0	0	0	2.1277	0	3.1915	8.5106	21.2766	3.1915	7.4468	0	0	0	3.1915	13.8298	2.1277	6.3830	0	9.5745	31.9149	2.1277	3.1915	0	8.5106	3.1915	0	2.1277	0	0	53.1915	0	0	0	0	2.1277	4.2553	2.1277	0	10.6383	3.1915	0	0	1.0638	0	7.4468	4.2553	29.7872	0	0	5.3191	0.1125	1.0124	0.5624	0	0	0	0.1125	0.1125	0	0	14.3982	0.2250	25.7593	0	0.3375	0	0	1.0124
Piece_of_cake_4e_Spoken_0007.txt	750	3.8987	0.505000	0.516000	39.3701	18.8976	0	4.7244	11.0236	23.9437	2.8169	1.4085	9.8592	1.4085	45.0704	0	1.4085	0	8.4507	0	2.8169	12.6761	36.6197	7.0423	1.4085	0	5.6338	1.4085	1.4085	8.4507	0	5.6338	19.7183	38.0282	26.7606	0	2.8169	0	19.7183	1.4085	1.4085	5.6338	0	0	2.8169	0	0	4.2254	2.8169	22.5352	7.0423	2.8169	0	7.0423	0	0	2.8169	60.5634	18.3099	1.4085	0	23.9437	7.0423	0	4.2254	0.2667	2.4000	0.2667	2.0000	0.1333	0	0.6667	0.8000	0.6667	0	10.1333	0.4000	16.9333	0.4000	1.4667	0.2667	0	0.6667
Achievers_A2_Personal_0003.txt	979	3.9939	0.452500	0.545455	21.0526	7.3684	0	16.8421	6.8421	30.6306	0.9009	2.7027	8.1081	0.9009	27.9279	0	1.8018	2.7027	1.8018	0	0.9009	13.5135	28.8288	0	17.1171	0	0.9009	0.9009	2.7027	11.7117	0.9009	3.6036	30.6306	3.6036	75.6757	4.5045	7.2072	1.8018	17.1171	3.6036	0	4.5045	3.6036	0	6.3063	0	0	6.3063	1.8018	2.7027	9.0090	1.8018	0	10.8108	0	0.9009	0	45.9459	22.5225	0.9009	1.8018	29.7297	11.7117	0	0.9009	0.1021	0.5107	0.3064	0.2043	0.2043	0	0.7150	0.1021	0	0	7.9673	0.2043	19.4076	0.3064	1.9408	0.4086	0	0.5107
Achievers_B1_plus_Informative_0007.txt	690	4.6986	0.590000	0.589855	28.2178	25.7426	0.9901	12.8713	2.9703	43.7500	6.2500	2.0833	16.6667	0	68.7500	4.1667	0	0	12.5000	0	2.0833	12.5000	20.8333	0	0	0	4.1667	4.1667	0	0	2.0833	16.6667	4.1667	18.7500	54.1667	6.2500	6.2500	0	14.5833	4.1667	0	2.0833	0	0	6.2500	0	0	6.2500	10.4167	0	4.1667	4.1667	0	14.5833	4.1667	4.1667	0	0	20.8333	0	12.5000	33.3333	12.5000	0	6.2500	0.1449	1.3043	0.1449	0	0	0	0.2899	0	0.1449	0	10.8696	0	29.2754	0	0.7246	0.2899	0	0
Piece_of_cake_5e_Spoken_0003.txt	694	3.8098	0.427500	0.504323	40.3846	13.4615	1.9231	4.8077	4.8077	14.1176	1.1765	1.1765	3.5294	0	20.0000	0	4.7059	3.5294	3.5294	2.3529	1.1765	17.6471	20.0000	0	9.4118	0	2.3529	2.3529	0	8.2353	1.1765	5.8824	29.4118	4.7059	77.6471	5.8824	12.9412	0	31.7647	2.3529	0	4.7059	0	0	7.0588	0	0	7.0588	1.1765	0	12.9412	1.1765	0	0	0	0	4.7059	15.2941	17.6471	5.8824	2.3529	24.7059	23.5294	0	0	0.2882	1.0086	1.1527	2.1614	0	0	0.4323	1.0086	0.1441	0	7.7810	0.1441	14.9856	0.1441	3.7464	0	0	2.1614
Access_4_Narrative_0013.txt	547	3.9506	0.452500	0.466179	54.8387	10.7527	2.1505	1.0753	7.5269	18.9189	6.7568	0	2.7027	1.3514	28.3784	0	0	8.1081	4.0541	0	1.3514	22.9730	20.2703	5.4054	4.0541	0	1.3514	0	0	0	0	9.4595	8.1081	64.8649	28.3784	6.7568	4.0541	0	20.2703	4.0541	1.3514	4.0541	1.3514	0	0	0	0	0	1.3514	0	5.4054	2.7027	0	8.1081	0	2.7027	0	9.4595	20.2703	28.3784	8.1081	0	8.1081	0	5.4054	0.9141	0.1828	0	0	0	0	0	0	0	0	11.5174	0	17.0018	0.1828	3.1079	0.9141	0	0
Achievers_B1_plus_Instructional_0020.txt	967	4.5098	0.402500	0.540848	54.6875	16.1458	1.0417	5.7292	6.7708	29.6610	4.2373	1.6949	15.2542	0	26.2712	0	3.3898	0.8475	0.8475	0	4.2373	13.5593	33.0508	0.8475	10.1695	0	4.2373	0	0	18.6441	1.6949	5.0847	2.5424	8.4746	35.5932	0	0	0	11.0169	2.5424	0.8475	0.8475	1.6949	0	43.2203	0	0	4.2373	2.5424	2.5424	2.5424	1.6949	0	8.4746	2.5424	2.5424	5.0847	0	0	1.6949	5.0847	33.8983	5.0847	0.8475	3.3898	0	0.8273	0.1034	0	0	0	0.6205	0	0	0	10.9617	0.1034	19.8552	0	0.5171	0.1034	0	1.1375
New_GreenLine_1_Spoken_0002.txt	927	3.8188	0.355000	0.535059	18.8406	7.2464	3.3816	10.6280	0.9662	10.4348	0	3.4783	1.7391	0	20.8696	0	0	2.6087	0.8696	0	4.3478	27.8261	11.3043	0	4.3478	0	2.6087	1.7391	0	7.8261	0.8696	2.6087	47.8261	3.4783	79.1304	6.9565	0	7.8261	46.9565	6.9565	0	5.2174	0	0	10.4348	0	0	0	0	0	17.3913	0	0	1.7391	0	0	0	31.3043	12.1739	7.8261	1.7391	25.2174	15.6522	0	0	0.1079	0.2157	1.1866	2.3732	0	0	0.3236	3.2362	0.3236	0	5.1780	0.1079	22.3301	0.9709	1.2945	0	0.1079	0.8630
Access_1_Narrative_0005.txt	840	3.9393	0.510000	0.557143	27.0833	7.2917	2.0833	8.3333	3.1250	23.5772	0.8130	2.4390	22.7642	0.8130	26.8293	0	0	4.0650	1.6260	0	4.0650	12.1951	10.5691	0	10.5691	0	0	0.8130	0	4.8780	0	5.6911	12.1951	51.2195	37.3984	2.4390	0.8130	0	15.4472	7.3171	0.8130	3.2520	0	0	3.2520	0	0	0	0	0	8.1301	0.8130	0	0	0.8130	0	0	23.5772	11.3821	8.1301	8.1301	9.7561	6.5041	0	0.8130	0.1190	0.8333	0.7143	1.4286	0	0	0.3571	0.9524	0	0	7.6190	0	22.8571	0.2381	1.6667	0.1190	0	0.3571
New_GreenLine_2_Narrative_0007.txt	1127	3.8500	0.442500	0.522626	41.1765	14.9733	0	3.7433	4.8128	25.0000	3.6585	0.6098	17.6829	0	31.7073	0	0	3.6585	1.2195	0	5.4878	8.5366	10.9756	2.4390	3.6585	0	3.0488	2.4390	0.6098	3.6585	0.6098	4.2683	18.9024	64.6341	28.0488	4.8780	7.3171	0.6098	15.8537	2.4390	1.2195	1.8293	0	0	1.2195	0	0	1.8293	0.6098	0	9.1463	1.2195	0	4.8780	0.6098	3.6585	0.6098	22.5610	11.5854	10.3659	3.6585	5.4878	17.0732	0	4.2683	0.2662	1.1535	0.7986	0.7986	0.0887	0	0.4437	0.1775	0	0	8.2520	0.6211	16.5927	0.0887	2.3957	0.1775	0	0.4437
English_In_Mind_4_Instructional_0001.txt	885	4.4271	0.405000	0.560452	44.1176	15.6863	2.4510	5.8824	3.4314	20.3540	12.3894	5.3097	14.1593	0.8850	30.9735	0	0	0	1.7699	0	6.1947	11.5044	27.4336	4.4248	9.7345	0	0	0.8850	0.8850	24.7788	5.3097	7.0796	0.8850	7.0796	36.2832	0	0.8850	0	7.0796	3.5398	0.8850	0.8850	2.6549	0.8850	47.7876	0.8850	0	2.6549	0	0.8850	0.8850	7.0796	0	3.5398	3.5398	0.8850	0.8850	0	0.8850	7.9646	3.5398	7.0796	7.9646	0	0.8850	0.1130	1.0169	1.0169	0	0	0	0.3390	0	0.1130	0	9.1525	0	23.0508	0	0.6780	0.1130	0	0.3390
NM_2_Instructional_0017.txt	1157	4.5125	0.420000	0.563526	39.4366	15.1408	1.7606	1.7606	4.2254	26.5487	1.7699	0.8850	42.4779	0	40.7080	0	2.6549	0	3.5398	0.8850	0	14.1593	40.7080	0.8850	4.4248	0	1.7699	0	3.5398	0.8850	0.8850	32.7434	1.7699	7.9646	44.2478	0	0	0	7.0796	0	0	0.8850	2.6549	0	43.3628	0	0	2.6549	0.8850	0.8850	5.3097	1.7699	0	7.0796	8.8496	1.7699	0	6.1947	2.6549	0	10.6195	32.7434	5.3097	0	3.5398	0	0.2593	1.1236	0	0	0.0864	0.0864	0.0864	0	0	11.2360	0.1729	24.5462	0	0.7779	0	0	0.2593
