Filename	Words	AWL	TTR	LD	ABLE	ACT	AMP	ASPECT	BEMA	CAUSE	CC	CD	COMM	CONC	COND	CONT	CUZ	DEMO	DMA	DOAUX	DT	DWNT	ELAB	EMO	EMPH	EX	EXIST	FPP1P	FPP1S	FPUH	FREQ	GTO	HDG	HGOT	HST	IN	JJAT	JJPR	LIKE	MDCA	MDCO	MDMM	MDNE	MDWO	MDWS	MENTAL	NCOMP	NN	OCCUR	PASS	PEAS	PGET	PIT	PLACE	POLITE	POS	PROG	PRP	QUAN	QUPR	QUTAG	RB	RP	SO	SPLIT	SPP2	STPR	THATD	THRC	THSC	TIME	TPP3P	TPP3S	URL	VBD	VBG	VBN	VIMP	VPRT	WHQU	WHSC	XX0	YNQU
Achievers_A1_Instructional_0012.txt	931	4.5650	0.400000	0.593985	0	30	0	5	12	0	30	4	40	0	2	5	0	5	1	12	75	0	0	0	0	1	1	0	1	0	5	1	1	0	0	96	18	11	2	2	0	0	0	1	2	34	18	227	1	1	0	0	2	1	0	5	7	0	5	1	0	10	0	0	0	32	1	7	0	2	4	8	5	0	2	1	0	80	47	25	7	3	4
Solutions_Pre-Intermediate_Instructional_0023.txt	889	4.4769	0.435000	0.533183	0	34	1	8	8	1	29	9	23	0	0	0	0	5	0	7	96	0	0	0	1	0	2	0	1	1	3	0	0	0	0	128	20	8	2	3	0	0	0	2	0	20	9	229	3	2	0	0	0	2	0	0	3	0	13	0	0	3	5	0	0	28	3	0	0	2	2	4	7	0	9	10	3	50	30	13	6	4	9
Piece_of_cake_4e_Spoken_0007.txt	750	3.8987	0.505000	0.516000	0	17	2	2	14	1	32	18	7	0	1	14	1	2	15	1	50	1	0	0	5	0	6	13	43	6	2	2	5	0	0	76	24	9	3	1	1	0	3	16	2	26	6	127	5	2	0	0	5	0	3	0	2	0	14	4	0	11	3	2	1	17	1	0	0	0	4	0	1	0	27	5	0	2	19	6	4	5	5
Achievers_A2_Personal_0003.txt	979	3.9939	0.452500	0.545455	0	34	1	1	19	3	31	5	9	0	2	34	1	3	2	19	40	2	0	0	7	3	2	25	51	1	1	0	0	2	0	78	14	15	2	4	0	0	7	3	2	32	32	190	0	2	1	0	13	5	3	0	8	0	13	1	0	19	1	4	1	33	3	4	0	1	5	2	1	0	4	12	0	7	84	13	4	10	5
Achievers_B1_plus_Informative_0007.txt	690	4.6986	0.590000	0.589855	0	21	1	3	7	1	33	9	8	2	0	2	0	1	0	0	57	0	0	0	2	0	6	10	0	0	1	0	1	0	0	75	52	6	0	2	0	0	3	0	5	10	26	202	0	2	2	0	6	3	0	2	3	0	6	2	0	5	3	2	2	16	0	0	0	1	1	6	0	0	9	7	2	3	26	0	8	2	0
Piece_of_cake_5e_Spoken_0003.txt	694	3.8098	0.427500	0.504323	0	12	2	1	27	1	17	7	3	0	4	25	0	8	15	8	42	0	2	0	3	3	3	15	13	7	1	4	1	0	0	54	14	15	1	2	0	0	6	0	1	17	5	104	0	1	0	0	20	5	1	2	11	0	5	2	0	26	0	0	2	21	0	0	0	1	4	2	5	0	4	0	0	6	66	7	5	11	15
Access_4_Narrative_0013.txt	547	3.9506	0.452500	0.466179	0	14	5	5	15	0	21	1	2	0	0	6	1	0	0	3	51	0	0	0	0	6	3	15	7	0	1	0	0	0	0	63	10	17	0	3	1	0	0	0	1	15	1	93	4	2	2	0	6	5	1	2	3	0	7	1	0	17	4	5	0	0	0	1	0	0	3	6	21	0	48	6	0	0	21	0	7	4	0
Achievers_B1_plus_Instructional_0020.txt	967	4.5098	0.402500	0.540848	0	35	0	5	13	2	31	8	18	0	4	3	0	1	0	12	105	0	0	0	6	1	1	0	0	0	5	6	0	0	0	106	31	16	1	3	1	0	5	3	3	39	11	192	1	2	3	0	6	0	0	2	0	1	13	5	0	5	4	1	0	40	0	2	0	2	1	6	2	0	10	10	3	51	42	22	6	3	11
New_GreenLine_1_Spoken_0002.txt	927	3.8188	0.355000	0.535059	0	12	1	0	54	4	24	2	2	0	0	55	0	11	22	5	39	0	0	0	3	3	1	14	36	30	5	0	3	9	0	48	15	32	1	8	0	0	0	0	0	13	22	207	0	0	0	0	18	8	9	7	0	0	2	3	0	12	0	0	2	29	0	0	0	1	6	2	9	1	4	2	0	12	91	9	3	20	8
Access_1_Narrative_0005.txt	840	3.9393	0.510000	0.557143	0	29	1	1	19	3	33	7	28	0	0	15	1	6	12	13	52	0	0	0	3	5	2	14	29	8	5	0	0	0	0	64	14	15	0	9	1	0	0	0	0	13	16	192	0	1	0	0	8	3	2	4	1	0	6	0	0	14	1	1	1	12	0	0	0	0	4	10	10	0	63	0	1	4	46	6	7	10	3
New_GreenLine_2_Narrative_0007.txt	1127	3.8500	0.442500	0.522626	0	41	3	6	26	1	52	13	29	0	0	31	0	9	9	6	77	1	0	0	5	6	2	19	37	2	9	1	0	1	0	93	28	14	7	4	2	0	3	0	1	18	7	187	4	2	6	0	28	8	1	0	12	0	9	5	0	27	7	2	4	9	1	0	0	1	3	6	17	0	106	8	1	2	46	6	7	15	5
English_In_Mind_4_Instructional_0001.txt	885	4.4271	0.405000	0.560452	0	23	1	14	8	6	35	9	16	0	0	1	1	9	0	11	90	0	0	0	3	0	2	1	0	0	7	1	1	0	0	81	32	13	0	4	1	1	3	1	0	31	12	204	5	8	1	0	9	0	0	5	1	0	7	0	0	6	1	1	1	8	1	3	1	6	1	4	9	0	8	4	4	54	41	28	8	1	3
NM_2_Instructional_0017.txt	1157	4.5125	0.420000	0.563526	0	30	0	2	8	1	46	3	48	0	3	2	0	13	0	5	112	0	1	1	1	0	4	3	7	1	0	0	0	0	0	130	43	16	2	0	0	0	3	1	1	46	5	284	1	2	2	0	6	0	0	5	0	0	12	2	0	9	4	0	0	37	4	3	0	1	1	12	0	0	9	8	10	49	50	1	37	6	3
Solutions_Intermediate_Spoken_0001.txt	1090	3.7853	0.417500	0.511927	0	44	4	2	32	5	19	3	7	0	0	59	0	11	20	22	31	0	0	0	6	1	6	18	69	3	6	2	3	2	0	69	15	32	1	5	0	0	2	0	1	20	15	134	1	1	13	0	19	8	6	1	18	0	12	1	2	19	3	4	4	42	1	2	0	2	8	4	8	0	51	2	0	9	86	12	7	28	10
New_GreenLine_3_Informative_0002.txt	635	3.9055	0.480000	0.488189	0	29	3	2	12	2	22	0	2	0	3	6	1	5	0	1	37	0	1	0	3	0	3	4	31	0	3	0	0	0	0	59	31	17	3	10	0	0	6	0	4	11	9	101	2	0	3	1	23	1	0	0	2	0	12	0	0	17	7	7	0	11	1	1	1	6	2	11	0	0	7	4	1	7	38	0	10	4	0
Access_1_Instructional_0009.txt	962	4.2620	0.402500	0.550936	0	39	0	5	8	1	23	18	29	0	0	11	0	8	1	7	105	0	0	0	1	2	1	0	1	1	0	0	1	0	0	92	32	5	2	10	0	0	2	2	0	32	9	227	2	0	0	0	2	1	0	4	4	0	10	1	0	9	1	1	2	48	0	1	0	0	3	13	7	0	2	6	1	55	39	6	15	6	5
NB_2_Narrative_0002.txt	976	4.0205	0.460000	0.519467	0	27	3	2	16	2	23	11	28	0	5	28	0	6	4	9	47	0	0	0	4	3	1	4	27	0	8	2	0	1	0	72	15	14	0	4	0	1	2	2	9	25	9	164	3	2	6	0	9	2	1	6	3	0	7	4	0	15	10	1	2	35	2	6	0	2	6	13	49	0	62	1	3	7	50	8	12	23	7
GreenLine_2_Narrative_0013.txt	1040	3.9692	0.405000	0.504808	0	36	3	7	18	1	41	9	9	1	0	23	5	14	2	13	67	1	0	0	3	1	2	5	48	1	9	1	2	0	0	79	24	16	2	5	3	0	3	0	2	23	8	202	3	2	6	0	5	7	1	9	6	0	14	7	0	20	6	1	4	6	1	1	0	1	7	9	40	0	94	2	1	1	24	2	12	22	5
Solutions_Intermediate_Plus_Spoken_0036.txt	870	4.4103	0.497500	0.493103	0	24	2	2	18	4	29	7	5	1	2	10	3	9	7	4	66	0	0	0	12	0	4	5	9	0	3	0	0	0	0	99	30	9	0	2	1	0	1	2	0	13	15	182	4	9	17	0	14	3	0	17	2	0	17	3	1	20	4	3	6	4	1	2	4	7	9	19	8	0	26	12	3	2	50	3	11	5	2
HT_5_Instructional_0005.txt	952	4.2395	0.467500	0.548319	0	20	1	1	14	2	32	6	12	0	1	4	0	6	1	9	87	0	0	0	4	1	0	2	3	1	1	0	0	1	0	97	24	10	1	2	0	0	2	2	0	43	14	279	0	0	0	0	7	2	0	7	2	0	4	2	0	15	3	0	0	31	4	2	0	1	2	4	8	0	15	6	2	36	44	18	14	1	6
Solutions_Intermediate_Plus_Spoken_0041.txt	891	4.1605	0.420000	0.514029	0	26	5	4	18	0	30	5	4	2	6	36	3	6	2	8	41	0	2	0	8	0	3	5	31	0	8	1	1	2	0	72	28	16	2	1	3	0	2	2	4	18	6	134	9	6	12	0	32	4	0	3	6	0	9	3	0	30	3	6	11	6	0	1	1	6	9	16	15	0	42	7	5	4	49	1	7	14	0
Solutions_Intermediate_Informative_0023.txt	729	4.6653	0.527500	0.519890	1	19	1	5	18	1	24	13	3	1	0	2	4	9	1	2	73	0	1	0	5	5	1	0	0	0	0	0	1	0	0	86	25	18	0	0	1	0	1	1	1	7	14	164	7	7	5	0	9	1	0	3	2	0	10	0	0	15	3	1	2	0	1	1	3	5	5	9	6	0	54	11	2	0	23	2	10	6	1
Solutions_Elementary_Informative_0009.txt	1187	4.1196	0.507500	0.521483	0	45	5	1	29	2	56	14	8	1	6	23	2	2	1	5	77	0	0	0	3	2	4	2	12	1	3	3	0	1	0	120	45	29	0	7	4	0	7	1	7	16	18	250	3	2	4	0	12	3	2	0	1	0	18	3	0	22	5	1	1	22	0	0	1	1	6	12	64	0	60	5	3	13	36	0	6	13	0
Solutions_Elementary_Personal_0001.txt	843	3.9300	0.395000	0.520759	0	19	0	7	26	2	42	6	0	0	0	32	5	3	1	3	29	0	0	0	4	0	7	8	97	4	2	0	0	7	0	99	12	6	1	0	0	0	1	0	0	9	12	208	0	0	0	1	4	6	0	2	0	0	6	0	0	15	4	0	0	0	15	0	0	0	3	2	2	0	0	1	0	4	105	0	3	10	0
New_GreenLine_2_Instructional_0016.txt	900	4.1978	0.410000	0.532222	1	28	0	5	6	9	31	5	25	0	7	8	0	5	2	6	73	0	0	0	1	0	0	1	3	0	3	0	1	0	0	105	13	5	1	9	3	1	11	0	1	23	20	235	0	2	0	0	4	3	0	2	2	0	7	1	0	9	4	0	0	49	1	2	0	2	2	5	8	0	11	6	0	36	26	2	13	6	4
Achievers_B2_Instructional_0005.txt	949	4.6733	0.450000	0.535300	0	27	2	3	10	0	29	8	19	0	3	2	0	6	1	8	80	0	0	0	5	1	1	0	0	0	2	2	0	0	0	102	21	11	1	5	0	2	0	3	0	33	8	221	12	0	7	0	10	0	0	1	3	0	13	4	0	11	2	0	1	43	2	3	0	3	5	7	7	0	18	7	2	40	40	24	12	3	10
Solutions_Intermediate_Plus_Informative_0005.txt	1002	4.5050	0.487500	0.514970	2	24	6	4	21	3	43	6	7	2	2	13	2	5	0	3	58	1	1	0	3	2	6	4	18	1	7	0	0	0	0	110	31	24	2	4	7	0	1	0	1	15	16	207	5	7	7	0	3	2	0	9	4	0	16	1	0	30	6	0	2	2	1	0	0	7	8	13	55	0	41	21	5	0	50	0	16	5	0
English_In_Mind_2_Instructional_0006.txt	905	4.3094	0.372500	0.539227	0	23	0	14	5	3	30	4	24	0	0	5	0	8	0	5	110	0	0	0	1	1	1	0	0	0	2	0	2	0	0	110	35	3	1	6	0	0	1	0	1	30	13	249	1	1	2	0	0	0	1	4	2	0	10	2	0	10	0	0	0	25	1	1	0	1	1	4	5	0	2	3	1	64	24	11	5	2	6
English_in_Mind_Starter_Personal_0001.txt	1046	3.9264	0.415000	0.524857	0	26	6	0	40	0	42	2	22	0	1	47	2	8	1	11	49	0	0	0	8	6	3	23	46	4	6	0	2	1	0	68	29	22	5	2	0	0	0	2	0	23	8	198	1	0	1	0	12	14	7	9	4	0	13	0	0	24	2	3	0	37	1	1	0	1	6	12	12	0	17	4	3	5	98	4	6	13	3
NM_2_Narrative_0009.txt	569	4.2074	0.522500	0.506151	0	14	4	0	14	1	26	4	8	0	3	3	0	10	0	3	37	0	0	0	2	1	2	1	4	1	0	0	1	0	0	54	17	19	2	1	2	0	0	5	0	13	5	113	1	2	1	0	13	2	0	1	1	0	2	5	0	8	4	0	0	8	0	2	2	3	2	4	37	0	48	2	3	2	11	2	3	7	3
Solutions_Elementary_ELF_Spoken_0013.txt	931	3.8034	0.410000	0.497315	0	25	7	1	29	2	20	4	1	2	0	48	3	13	12	7	49	2	3	0	13	1	9	12	72	3	2	19	1	2	0	79	24	15	1	7	2	0	2	0	0	13	12	140	1	1	0	0	16	3	0	1	5	0	10	3	1	25	3	6	1	12	0	1	0	0	8	7	1	0	30	1	0	2	62	6	1	23	7
JTT_3_Narrative_0003.txt	617	4.3582	0.542500	0.502431	0	14	2	3	12	2	26	1	7	1	0	0	0	4	2	2	42	0	0	1	4	1	3	0	10	1	3	0	0	0	0	69	18	13	1	0	1	0	1	2	0	17	9	117	6	5	8	1	7	1	0	1	1	0	7	1	0	13	8	1	3	1	0	1	0	2	4	5	49	0	52	9	1	2	10	0	9	3	0
JTT_3_Narrative_0002.txt	781	4.2023	0.445000	0.521127	0	31	4	1	20	0	34	6	10	1	1	6	0	7	1	4	52	0	0	0	1	2	4	6	3	0	1	0	0	0	0	78	32	19	2	1	1	0	0	6	2	16	4	136	2	5	6	0	9	5	0	2	7	3	8	7	0	20	1	1	5	8	2	1	1	2	7	16	23	0	71	8	1	2	15	0	8	10	1
GreenLine_1_Spoken_0009.txt	839	3.6770	0.385000	0.516091	0	25	2	0	24	3	11	7	8	0	0	35	3	13	9	3	44	0	1	0	2	5	0	23	43	9	2	2	0	4	0	63	22	13	1	13	0	0	6	2	0	21	7	157	1	1	0	0	14	7	5	2	1	0	8	0	0	7	3	4	1	27	2	0	0	0	5	11	5	0	1	0	1	7	82	4	5	15	7
New_GreenLine_5_Instructional_0014.txt	1046	4.5115	0.457500	0.543021	1	39	0	2	7	2	24	8	12	0	4	18	0	8	1	10	81	0	2	0	1	1	5	0	3	0	2	2	0	0	0	133	39	15	2	4	2	0	7	0	5	30	25	237	3	4	3	1	4	0	0	3	2	0	9	1	0	10	3	1	2	64	0	0	1	5	1	4	15	0	7	3	1	35	44	8	13	9	3
GreenLine_2_Narrative_0016.txt	890	3.9708	0.407500	0.535955	0	16	3	1	31	1	23	7	24	1	1	30	2	5	8	7	49	0	0	0	4	3	1	10	11	6	4	0	1	1	0	82	25	17	0	2	2	0	1	0	4	17	8	194	0	0	1	1	21	11	1	7	1	0	4	3	1	17	2	2	3	10	1	1	1	2	7	9	21	0	71	0	0	3	37	8	7	18	5
JTT_5_Instructional_00051.txt	681	4.2643	0.490000	0.549192	3	20	1	0	14	0	18	7	21	0	0	1	0	3	0	2	60	0	0	0	0	0	1	0	0	4	0	0	0	0	0	71	16	8	0	2	0	0	7	0	4	15	16	179	1	0	0	0	9	1	0	4	0	0	2	0	0	6	2	0	0	22	3	0	0	0	1	4	11	0	7	2	4	37	23	15	14	2	3
GreenLine_4_Instructional_0002.txt	921	4.3312	0.432500	0.538545	0	26	0	3	12	3	27	8	23	0	2	5	1	5	0	7	69	0	0	0	1	0	4	0	1	0	3	1	2	0	0	111	30	13	1	4	0	3	1	1	2	34	13	225	0	3	1	1	0	0	0	5	3	0	14	3	0	11	3	0	0	39	0	3	4	0	2	11	6	0	5	2	0	44	47	11	11	6	5
Piece_of_cake_6e_Spoken_0006.txt	663	3.9291	0.402500	0.529412	0	19	2	0	15	2	21	9	6	0	0	13	1	0	14	9	32	0	0	0	1	1	2	21	18	5	0	7	1	0	0	57	6	13	0	8	0	0	0	6	0	31	5	117	0	1	0	0	11	3	5	3	1	0	11	1	0	13	1	1	0	26	1	1	0	2	2	0	1	0	16	1	0	7	37	16	4	5	6
NM_2_Instructional_0010.txt	942	4.8556	0.557500	0.621019	0	25	2	2	6	1	31	8	20	0	2	0	0	5	0	1	73	0	3	0	1	0	7	0	5	0	0	0	0	0	0	103	49	9	0	0	3	1	3	3	0	35	16	224	1	6	5	0	2	1	0	2	0	0	7	3	0	1	3	0	0	31	0	3	2	0	1	0	0	0	1	9	5	39	35	1	27	2	0
