Filename	Tokens	AWL	TTR	#	$	''	,	-LRB-	-RRB-	.	:	AMP	ANDC	CAUS	CC	CD	CONC	COND	CONJ	DEMO	DEMP	DPAR	DT	DWNT	EMPH	EX	FPP1	FW	GER	HDG	IN	INPR	JJ	LS	NEMD	NN	NOMZ	OSUB	PDT	PHC	PIN	PIT	PLACE	POMD	POS	PRED	PRMD	PRP	PRPS	QUAN	QUPR	RB	RP	SPP2	SYM	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	UH	VB	VBD	VBG	VBN	VPRT	WDT	WP	WPS	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	``
Quatr_us_10393422_fever.txt	580	4.8345	0.517500	0	0	0	4.1379	2.9310	2.9310	6.3793	1.8966	0.1724	0.8621	0	1.0345	2.5862	0	0	0	0.1724	0.3448	0.1724	7.0690	0	0.5172	0.1724	0.1724	0.6897	0.6897	0	1.7241	0	8.4483	0	0	31.0345	1.3793	0	0	0.5172	10.3448	0.6897	0.3448	0.6897	0.6897	0	0	0	0	1.2069	0	3.6207	0.3448	1.8966	0	0.1724	0	0.5172	1.0345	1.0345	0.1724	1.3793	0.6897	0	2.5862	5.6897	1.7241	2.0690	4.6552	0	0.6897	0	0.6897	2.4138	0.3448	0.6897	0.8621	0	0.6897	0	0	0.8621	0	0.3448	0	0.1724	0.5172	0	0.1724	0	0.1724	0	0	0.5172	0.1724	0	0.5172	0
Science_for_students_10065613_so-many-earths.txt	821	4.7674	0.507500	0	0	0	2.9233	0.6090	0.6090	5.6029	0.3654	0	0	0	2.4361	2.9233	0.1218	0.1218	0.2436	1.0962	0.3654	0	9.9878	0	0.4872	0	0.4872	0	0.4872	0	1.2180	0	8.1608	0.1218	0.1218	27.8928	1.7052	0.1218	0	0.4872	11.3276	1.2180	0.7308	1.3398	0.8526	0.4872	0.8526	0	0	1.3398	0	2.8015	0.2436	0	0	0.2436	0	0.3654	0.2436	1.8270	0.2436	0.2436	1.3398	0	5.1157	0.6090	1.9488	2.0706	5.4811	0.7308	0.1218	0	0.3654	1.3398	0	0.6090	0.4872	0.1218	0.6090	0.2436	0.1218	1.2180	0	0.2436	0.4872	0.1218	0	0.1218	0.1218	0.1218	0.1218	0.2436	0	0	0.1218	0.3654	0.3654	0
Science_for_students_10065415_picture-super-henge-buried-near-stonehenge.txt	750	5.1627	0.532500	0	0	0.2667	3.8667	1.2000	1.2000	6.9333	0.5333	0	0.2667	0.1333	2.0000	2.5333	0	0.1333	0	0.4000	0.5333	0.2667	10.2667	0.2667	0.2667	0	0	0	0	0	2.2667	0	8.1333	0.1333	0	29.7333	2.8000	0.1333	0	0.9333	10.1333	1.8667	1.8667	0.4000	0.1333	0.4000	0.1333	0	0	0.5333	0	2.9333	0	0	0	0	0	0.4000	0.9333	1.0667	0	1.2000	0.5333	0	2.1333	2.6667	1.4667	4.1333	5.3333	0.4000	0.1333	0	0	1.2000	0.1333	0.2667	1.0667	0.2667	0.4000	0	0.1333	1.2000	0	0.6667	0.2667	0	0.2667	0	0	0.1333	0	0	0	0	0.1333	0.5333	0.1333	0.2667
WhyFiles_10063103_282dead_zone.txt	877	5.0410	0.562500	0.2281	0	0.3421	6.4994	1.1403	1.1403	3.6488	1.4823	0	1.0262	0.4561	1.1403	3.9909	0.1140	0.2281	0.2281	0.9122	0.2281	0	9.5781	0.2281	0.4561	0	0	0.1140	0.6842	0	1.3683	0	10.0342	0	0	33.7514	2.2805	0.3421	0	0.7982	12.2007	0.5701	0.2281	0.5701	0.4561	0.6842	0.2281	0	0	0.9122	0	2.0525	0.1140	0	0	0.1140	0	0	0.1140	0.9122	0.1140	0.3421	0.3421	0	1.9384	0.5701	1.4823	2.1665	5.4732	0.1140	0.1140	0	0.1140	1.4823	0.1140	0	0.2281	0.1140	0.9122	0	0.6842	0.4561	0	0.3421	0.1140	0.1140	0.5701	0	0	0.1140	0.1140	0	0	0	0	0.2281	0.1140	0.3421
Teen_Kids_News_10405569_how-turtles-can-conquer-the-ocean-by-swimming-thousands-of-miles-in-a-perfectly-straight-line.txt	638	4.9812	0.547500	0	0	0.3135	4.0752	0	0	3.9185	1.5674	0.3135	0.1567	0	0.9404	2.5078	0.1567	0	0.3135	0.4702	0.3135	0	10.1881	0	0.9404	0.1567	0.6270	0	1.5674	0	2.0376	0.1567	5.9561	0	0	27.8997	2.3511	0	0	1.0972	13.0094	0	0.9404	1.0972	0.4702	0.7837	0.3135	0	0	0.9404	0	2.5078	0.3135	0	0	0	0	0.1567	0.6270	1.2539	0	2.9781	0.3135	0	2.6646	2.1944	2.9781	2.9781	4.5455	0.3135	0.6270	0	0.3135	1.4107	0	0.3135	0.7837	0.1567	1.0972	0.1567	0.4702	1.2539	0	0.3135	0.1567	0	0.3135	0	0	0.1567	0.4702	0.1567	0	0	0	0.4702	0.7837	0.7837
WhyFiles_10062595.txt	969	5.2518	0.517500	0	0	0.6192	7.1207	0.4128	0.4128	4.1280	1.4448	0.3096	0.5160	0.2064	1.3416	2.6832	0.3096	0.1032	0.3096	1.4448	0.3096	0	9.5975	0.6192	0.7224	0	0.6192	0	1.0320	0	2.1672	0	7.6367	0	0.1032	33.3333	2.1672	0	0	0.7224	10.3199	0.6192	0.3096	1.0320	0.3096	1.1352	0.4128	0	0	0.2064	0	2.9928	0.2064	0	0.1032	0	0.1032	0.1032	0.3096	0.8256	0	0.4128	0.4128	0	2.3736	1.3416	2.1672	2.4768	5.2632	0.3096	0.2064	0	0.1032	1.7544	0.1032	0.1032	0.7224	0.2064	0.1032	0	0.4128	1.1352	0	0.5160	0.3096	0	0.4128	0	0	0.1032	0.1032	0.1032	0	0	0	0.3096	0.5160	0.6192
Dogo_News_file10059848_finnish-scientists-develop-edible-insect-vaccine-to-save-bees.txt	607	4.9193	0.587500	0	0	0.9885	9.2257	0	0	4.4481	0.3295	0.1647	0.9885	0.1647	1.6474	0.8237	0	0.3295	0.6590	0.4942	0.3295	0.1647	8.5667	0.1647	0.3295	0	2.8007	0	0.6590	0	1.1532	0	6.7545	0	0	27.3476	1.9769	0.1647	0	0.4942	10.0494	0.9885	0	0.6590	0.1647	0.8237	0.3295	0	0	0.3295	0.3295	2.9654	0.1647	0.1647	0	0	0.1647	0.4942	0.1647	2.9654	0.1647	1.6474	0.1647	0.1647	4.4481	2.9654	2.1417	2.4712	6.7545	0.6590	0.6590	0	0.8237	1.4827	0.1647	0.4942	0.8237	0.3295	0.8237	0	0.1647	1.4827	0.1647	0.9885	0.3295	0.1647	0.4942	0	0.1647	0.1647	0.3295	0.1647	0	0	0.3295	0	0.1647	0.9885
History_Kids_BBC_10403933_memory7s.txt	962	4.1008	0.510000	0	0.1040	0.1040	2.4948	0.1040	0.1040	6.8607	0.6237	0.2079	0.6237	0.6237	2.0790	2.9106	0	0.2079	0	0.1040	0	0	6.9647	0.2079	0.2079	0.5198	3.0146	0	0.6237	0	1.3514	0.1040	3.1185	0	0	25.1559	0.7277	0	0	0.6237	9.7713	1.0395	0.4158	0.9356	0.6237	0.3119	0.4158	0	0	0.9356	0	3.6383	0.2079	1.2474	0	0.2079	0.1040	0.2079	0.2079	1.4553	0	7.4844	0	0	3.4304	12.9938	1.1435	2.4948	0.4158	0.2079	0.4158	0	0.8316	1.5593	0.1040	0.6237	1.2474	0	0.5198	0	0	1.5593	0	1.1435	0.1040	0	0.2079	0.1040	0.1040	0.4158	1.0395	0.4158	0	0.4158	0.1040	0	0.1040	0.1040
Quatr_us_10392794_circle.txt	684	4.2909	0.425000	0	0	0	3.8012	2.0468	2.0468	5.5556	0.4386	0	0.2924	0.2924	0.5848	5.2632	0	0.2924	0.1462	0.5848	0.4386	0	11.9883	0	1.1696	0	0.4386	0	0.1462	0	1.7544	0	5.2632	0	0	29.5322	1.3158	0	0	0.2924	9.5029	1.9006	0.2924	0.5848	0	0.5848	0.1462	0	0	2.4854	0.2924	3.2164	0.4386	1.4620	1.1696	0.1462	0.1462	0.1462	0.1462	1.4620	0	0.4386	0.5848	0	2.6316	1.0234	1.1696	0.2924	8.0409	0	1.3158	0	0.2924	4.0936	0	1.0234	0.2924	0	0	0	0	0.7310	0	0.5848	0	0	0	0	0	0	0	0.1462	0	0	0.1462	0	0.2924	0
TeenVogue_10406279_ilhan-omar-first-muslim-woman-first-somali-american-congress-minnesota.txt	626	4.9649	0.555000	0	0	1.2780	7.1885	0	0	4.6326	0.3195	0	0.6390	0.1597	0.9585	2.0767	0	0	0	0.3195	0.3195	0	8.1470	0	0.9585	0	3.0351	0	0.1597	0	1.7572	0	6.8690	0	0	28.5942	2.8754	0	0	1.1182	11.3419	0.6390	0	0.4792	1.4377	0.4792	0.1597	0	0.1597	1.5974	0.1597	2.5559	0.4792	0.7987	0	0	0	0.1597	0.6390	1.9169	0	3.3546	0.4792	0	2.7157	4.4728	2.8754	1.2780	3.9936	0.3195	0.7987	0	0.1597	1.2780	0.1597	0	0.1597	0	0.4792	0	0.4792	0.4792	0.1597	0.9585	0.3195	0	0.4792	0	0	0.6390	0.1597	0	0	0	0.4792	0.1597	0.4792	1.2780
