Filename	Dim1	Dim2	Dim3	Dim4	Dim5	Dim6	TextType
Quatr_us_10393422_fever.txt	-11.3865	-1.8515	-0.6816	-5.3498	-2.6139	-1.3012	General narrative exposition
Science_for_students_10065613_so-many-earths.txt	-13.7004	-3.2086	0.7705	-2.4468	0.6266	0.3750	General narrative exposition
Science_for_students_10065415_picture-super-henge-buried-near-stonehenge.txt	-16.5745	-3.1800	-2.1459	-4.9411	0.6283	-1.1634	Learned exposition
WhyFiles_10063103_282dead_zone.txt	-19.0602	0.0862	3.9872	-3.4088	1.6970	-1.3231	Learned exposition
Teen_Kids_News_10405569_how-turtles-can-conquer-the-ocean-by-swimming-thousands-of-miles-in-a-perfectly-straight-line.txt	-13.5731	0.1234	1.3243	-4.5209	0.7435	-1.8352	General narrative exposition
WhyFiles_10062595.txt	-14.6102	-3.1715	2.2950	-3.8642	0.1082	0.3008	Learned exposition
Dogo_News_file10059848_finnish-scientists-develop-edible-insect-vaccine-to-save-bees.txt	-8.9479	-1.2874	4.3053	0.8198	2.9440	-0.6143	General narrative exposition
History_Kids_BBC_10403933_memory7s.txt	-0.6641	4.6389	1.0612	-2.5593	-2.0301	-2.5305	Imaginative narrative
Quatr_us_10392794_circle.txt	-2.6406	-4.8502	1.2326	-4.9780	-2.5633	-1.5986	General narrative exposition
TeenVogue_10406279_ilhan-omar-first-muslim-woman-first-somali-american-congress-minnesota.txt	-14.8216	1.0991	6.8665	-1.4846	-3.1630	-2.1836	Learned exposition
Factmonster_10052970_june-17.txt	-22.2440	-1.0673	1.1197	1.4941	0.0284	-2.6165	Learned exposition
Factmonster_10053269_may-01.txt	-22.6823	1.7452	4.4562	-6.7683	0.1792	-3.1189	Learned exposition
Factmonster_10053194_august-01.txt	-20.9673	-3.1135	4.4368	-4.5455	-0.1415	-3.4950	Learned exposition
Encyclopedia_Kinds_au_10089334_Emotion.txt	-21.3709	-1.9111	8.2612	-1.2420	3.3789	1.4009	Learned exposition
Teen_Kids_News_10403703_how-to-build-credibility-as-a-young-entrepreneur.txt	15.2359	-1.4829	1.5713	4.5026	-0.4190	-0.8243	Involved persuasion
TeenVogue_10405985_perfumes-and-memories-linked-dolce-and-gabbana.txt	-2.5081	-2.5747	-1.0717	-3.8148	1.8163	-0.7470	General narrative exposition
Quatr_us_10392348_cathedral.txt	-16.1800	-2.4883	-1.6938	-3.6012	-2.1119	-1.5010	General narrative exposition
Science_Tech_Kinds_NZ_10386104_brain.txt	-7.9320	-2.8743	4.9158	0.8151	-1.9944	-1.2079	General narrative exposition
Science_Tech_Kinds_NZ_10384501_easterisland.txt	-16.7686	-4.6303	3.7999	-6.7465	1.8868	-2.6796	Learned exposition
Encyclopedia_Kinds_au_10087070_Divorce.txt	-15.9602	-4.0234	5.5000	-0.7987	3.3407	0.5035	Learned exposition
Quatr_us_10390824_francis-assisi-medieval-europehtm.txt	-12.8472	0.2112	3.5709	-2.5303	-0.9941	-1.2796	General narrative exposition
TeenVogue_10406185_amy-klobuchar-2020-campaign-announcement-trump-hair-snow.txt	-8.5703	3.8624	3.7783	-4.6887	0.7715	-0.2469	General narrative exposition
TeenVogue_10405992_texas-tech-students-kicked-out-of-fraternity-offensive-group-chat.txt	-14.1307	7.6596	8.8868	-1.6549	6.9204	2.6288	Scientific exposition
Revision_World_GCSE_10525362_literary-terms.txt	-21.9971	-6.1446	4.9980	-6.9746	-2.0012	-3.1693	Learned exposition
Ducksters_10399481_dolphinphp.txt	-6.4166	-4.7767	3.3654	-2.9885	4.4638	-1.9565	General narrative exposition
WhyFiles_10063047_290green_garbage.txt	-13.8736	-1.7642	3.6221	0.4256	0.7266	-0.9000	General narrative exposition
WhyFiles_10062896_077spidersilk.txt	-10.9510	-2.1626	4.9706	-2.3718	0.7463	-1.7767	General narrative exposition
Science_Tech_Kinds_NZ_10382710_thescientificmethod.txt	-9.8460	-4.7328	9.1872	3.1615	-1.3015	-3.4950	General narrative exposition
History_Kids_BBC_10401182_militarys.txt	-10.8886	-4.7274	6.6909	-0.2244	4.0461	-1.4272	Scientific exposition
Teen_Kids_News_10057015_how-a-16-year-old-girl-started-a-multimillion-dollar-social-network.txt	-10.8248	0.4448	5.4428	-0.0813	-0.5457	-2.6440	General narrative exposition
Science_for_students_10065953_pluto-plutoid-whats-name.txt	-8.7388	-0.3195	0.0425	-3.1805	2.8597	0.7766	General narrative exposition
Quatr_us_file10392403_cells.txt	-9.9677	-4.6571	1.4149	-7.9813	-0.2369	0.5510	General narrative exposition
Encyclopedia_Kinds_au_10088503_Solar_system.txt	-10.7434	-0.9645	6.6248	-1.5907	2.8865	1.3502	General narrative exposition
Dogo_News_10062031_new-england-patriots-and-tom-brady-hope-to-make-more-history-at-super-bowl-52.txt	-9.6352	0.3285	0.4704	3.0059	0.0828	-2.4539	General narrative exposition
TeenVogue_10406094_why-i-started-american-iftar-dinner.txt	-14.5562	-4.4643	10.2550	-0.3689	-0.9690	0.7700	Learned exposition
History_Kids_BBC_10404021_rl02s.txt	-23.1073	-2.1757	4.9730	-2.3882	1.3795	-1.9024	Learned exposition
World_Dteen_10406076_5118.txt	-7.5433	-2.7555	4.9270	2.2265	-0.7430	-1.0605	General narrative exposition
Science_for_students_10067906_new-jurassic-flier.txt	-7.2576	-0.5622	3.0642	-4.3168	1.6641	0.5205	General narrative exposition
Teen_Kids_News_10403975_how-adhd-puts-athletes-in-the-zone.txt	0.8147	-0.8312	7.4349	-1.6207	1.6596	-2.5395	Involved persuasion
World_Dteen_10406189_4938.txt	-12.8122	-4.1647	0.3196	-2.1038	-3.3126	-1.7015	General narrative exposition
History_kids_10381237_ve-and-vj-days.txt	-19.3285	-0.6272	7.6482	-4.0270	-0.6494	-0.8482	Learned exposition
Encyclopedia_Kinds_au_10085913_Taoism.txt	-10.9314	-0.7557	8.3977	-1.7180	-0.9535	-1.1188	General narrative exposition
Teen_Kids_News_10057960_how-to-handle-your-student-loans-after-graduation.txt	-5.7797	-2.6967	4.9388	4.7725	-1.0077	-2.1492	General narrative exposition
TeenVogue_10405819_columbus-teens-protest-trump-muslim-ban.txt	-14.5666	-0.4359	4.5744	-4.4489	-1.6523	-2.3322	Learned exposition
Teen_Kids_News_10401994_what-it-takes-to-be-a-sonographer.txt	9.2196	-0.0482	6.5040	-2.8429	-1.1057	1.9877	Involved persuasion
Dogo_News_10062042_even-james-bond-would-approve-of-aston-martins-new-luxury-submarine.txt	-11.8400	-0.0620	5.3271	1.1481	3.2041	-1.2698	General narrative exposition
Dogo_News_10059543_fun.txt	-21.8527	-1.6080	3.5901	-2.1809	-2.2909	-0.3169	Learned exposition
Revision_World_GCSE_10528697_p6-physics-radioactive-materials.txt	-10.0735	-6.2273	12.9796	-5.3611	1.1152	5.5712	Learned exposition
Science_for_students_10065336_food-smells-better-sleepyheads.txt	-13.3220	-1.7921	6.1197	-3.6962	2.7670	-0.2898	Learned exposition
TweenTribute_10051486_muppet-autism-joining-sesame-street.txt	-10.1573	1.1785	4.7209	-4.7962	-0.4609	-0.8289	General narrative exposition
Revision_World_GCSE_10525835_helpful-hints-parents.txt	4.8534	-0.0637	3.4879	8.9274	1.8384	-0.9396	Involved persuasion
Encyclopedia_Kinds_au_10084769_Language.txt	-7.3498	-3.0857	5.3295	-2.7302	2.1870	-0.8245	General narrative exposition
Encyclopedia_Kinds_au_10086542_Dialogue.txt	-14.2232	-2.9733	6.4229	-2.1105	4.4687	-0.1059	Scientific exposition
Revision_World_GCSE_10528376_lord-liverpool-tories-1815–30.txt	-16.8132	-0.8403	5.5282	-3.2813	4.3279	-1.2272	Learned exposition
Science_for_students_10067253_940.txt	1.2309	-1.9869	2.8481	-1.7443	-0.2793	0.6140	Involved persuasion
Science_for_students_10065533_how-popcorn-got-its-pop.txt	-10.0625	-2.5321	1.4277	-2.8396	0.4990	-1.2250	General narrative exposition
Science_for_students_10065750_robot-can-wash-skyscrapers-windows.txt	-15.3406	-3.5598	3.4080	-3.1308	3.2312	-1.2619	Learned exposition
Science_Tech_Kinds_NZ_10382383_math.txt	-15.0568	-6.8624	5.5967	-7.1257	-1.7452	0.7854	Learned exposition
World_Dteen_10406270_4768.txt	-18.2847	-2.6241	2.2490	-7.2409	-2.9942	-1.2181	Learned exposition
Science_Tech_Kinds_NZ_10384320_silicon.txt	-3.6147	-6.2752	5.9991	-6.8202	3.5510	-2.9762	General narrative exposition
Encyclopedia_Kinds_au_10087093_Europe.txt	-14.8375	-5.8488	0.3035	-3.6936	-0.4086	-1.8412	Learned exposition
Science_Tech_Kinds_NZ_10386562_winterolympics.txt	-19.2848	1.9944	4.3507	-6.9377	-3.0056	-3.0160	Learned exposition
Teen_Kids_News_10402019_how-to-pursue-your-artistic-passion-on-the-side.txt	10.6603	-4.4899	0.9902	7.0968	-1.0982	-2.0539	Involved persuasion
Revision_World_GCSE_10528158_plot-overview-and-summary.txt	-13.7749	0.0996	4.2691	4.2326	-0.9738	1.8479	General narrative exposition
TeenVogue_10405818_already-sick-election-cycle-we-cant-be.txt	4.5888	1.2133	-0.7361	7.6271	-2.7902	-1.6401	Involved persuasion
Ducksters_10399414_penguinsphp.txt	-6.3432	-5.2025	1.6213	-5.8757	0.0291	-0.9584	General narrative exposition
Science_Tech_Kinds_NZ_10386390_coconuts.txt	-11.1196	-4.7559	5.7915	-3.5239	2.3397	-3.0743	Scientific exposition
History_Kids_BBC_10401782_windrush_01s.txt	-13.2983	-0.9444	7.3087	0.3283	-0.7620	-2.1941	Learned exposition
History_kids_10381273_famous-kings-of-mesopotamia.txt	-19.2176	-2.0709	4.1618	-2.6756	-1.0423	-1.8989	Learned exposition
History_kids_10381383_nelson-mandela.txt	-19.1115	-0.8442	7.2223	1.1575	2.0492	-2.2143	Learned exposition
Science_for_students_10064820_scientists-say-metabolism.txt	-13.1724	-4.2209	6.6042	-4.5522	4.5712	-1.5516	Scientific exposition
World_Dteen_10406081_5121.txt	-13.2909	-3.1488	0.6117	-3.3797	5.9347	-1.9860	Scientific exposition
Teen_Kids_News_10403469_how-many-paintings-did-van-gogh-sell-in-his-lifetime.txt	-12.6707	1.0586	3.0459	-6.8813	-0.0472	-0.2109	General narrative exposition
Encyclopedia_Kinds_au_10088911_The_Silmarillion.txt	-13.2645	-1.5177	1.4364	-5.5978	5.7716	1.3279	Scientific exposition
WhyFiles_10063403.txt	-17.1853	-0.0627	3.0466	-2.0603	3.0100	-0.1103	Learned exposition
Encyclopedia_Kinds_au_10086522_Trademark.txt	-12.7264	-4.7277	7.8460	2.0491	6.3545	-1.0950	Scientific exposition
World_Dteen_10406050_teachers.txt	-12.0543	-2.2523	6.8056	1.9701	-0.5250	-0.6050	General narrative exposition
Ducksters_10398287_babylonian_empirephp.txt	-14.6093	-2.5148	0.7457	-3.4453	-0.7001	-1.6041	General narrative exposition
