Filename	AMP	ANDC	AWL	CAUS	CONC	COND	CONJ	DEMO	DEMP	DPAR	DWNT	EMPH	EX	FPP1	GER	HDG	INPR	JJ	NEMD	NN	NOMZ	OSUB	PHC	PIN	PIT	PLACE	POMD	PRED	PRMD	RB	SPP2	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	TTR	VBD	VPRT	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	Underused	Overused
Quatr_us_10393422_fever.txt	-0.3754	0.8585	0.8362	-0.6471	-0.6250	-1.1364	-0.7500	-1.9467	-0.2400	0.2278	-1.2500	-0.2686	-0.2644	-0.9761	-0.0271	-0.4615	-0.7000	1.2651	-1.0000	3.6473	-0.4241	-0.9091	0.6563	-0.2776	-0.4793	0.1024	0.3134	-1.8077	-1.3333	-1.6701	0.6570	0.0150	-0.5000	0.6455	1.4700	-0.8134	0.8400	-0.7159	8.1212	0.1250	0.5525	-0.9081	-0.2628	-0.4381	2.0369	-0.3550	-0.1483	-0.2500	-0.3275	-0.6364	-0.5882	-0.9018	-0.8571	-0.7874	-0.2500	0.9240	-0.1312	0.0000	-0.1022	-0.9355	-0.3356	-0.6000	-0.8235	8.2867	-0.1880	-0.8065	1.9844		NN TSUB [BYPA] [WHQU]
Science_for_students_10065613_so-many-earths.txt	-1.0385	-0.9375	0.6684	-0.6471	0.8975	-0.5827	0.7725	0.2529	-0.1971	-0.5217	-1.2500	-0.3400	-1.2222	-0.8555	-0.5600	-0.4615	-0.7000	1.1121	-0.4200	2.7648	-0.1978	0.1982	0.5452	0.1093	0.2648	1.2376	2.1709	0.0662	0.6967	-2.1355	-0.7174	0.4600	-0.5000	0.1221	-0.7897	0.6018	1.4873	-1.2206	16.2475	-0.0673	-1.1187	-0.6673	-0.7944	-1.5686	-0.6154	-0.3984	-0.7164	2.7950	-0.4827	1.5782	0.1282	-0.5596	-0.8571	-0.9748	11.9300	0.4180	-2.2000	0.4872	-0.2896	-0.5426	-0.4590	1.8360	-0.8235	-0.3333	-0.4410	0.3723	1.1411	RB [SPAU]	NN POMD TSUB [PASTP] [SERE]
Science_for_students_10065415_picture-super-henge-buried-near-stonehenge.txt	-1.0385	-0.3819	1.6567	0.1371	-0.6250	-0.5305	-0.7500	-1.4048	0.1527	0.6378	0.4169	-0.8650	-1.2222	-1.0421	-1.8421	-0.4615	-0.7000	1.0975	-1.0000	3.2818	0.5625	0.3027	2.1974	-0.3609	1.1785	4.5785	-0.5143	-0.2692	-1.0160	-2.0606	-0.7174	-1.0625	-0.5000	0.2414	1.1809	-0.7559	-0.7273	-0.7956	6.1662	0.4135	-0.4419	-0.7104	-1.3934	-1.7158	0.4100	-0.5824	0.1617	6.4175	-0.8846	-0.6364	0.1959	-0.5769	-0.8571	-0.1913	6.4175	-0.8000	-1.1332	0.0000	-0.7407	-0.5055	-0.7561	-0.6000	-0.8235	-0.3333	-0.3835	0.9139	-0.1483	RB	NN PHC PLACE TSUB [PASTP] [SERE]
WhyFiles_10063103_282dead_zone.txt	-1.0385	1.2004	1.3526	2.0359	0.8000	-0.0995	0.6756	-0.1852	-0.4831	-0.5217	0.1756	-0.4140	-1.2222	-1.0421	-0.0416	-0.4615	-0.7000	2.1086	-1.0000	4.4105	0.2017	2.2009	1.6970	0.4530	-0.6477	-0.2409	-0.0283	0.8238	-0.7902	-2.5611	-0.7174	-0.3500	-0.5000	-1.1379	-1.1600	-1.0318	0.3091	-1.1768	3.7763	0.9904	-1.1315	-0.6696	-1.2066	-1.4186	0.2615	-0.7258	-1.1089	2.6000	0.1004	-0.6364	3.4365	-1.2922	-0.8571	-0.7924	2.6000	0.3400	0.0804	0.0000	-0.7407	-0.5677	-0.4780	-0.6000	-0.8235	-0.3333	-1.0500	-0.0706	-0.2556	RB	CAUS JJ NN OSUB TSUB [PASTP] [PRESP] [SERE]
Teen_Kids_News_10405569_how-turtles-can-conquer-the-ocean-by-swimming-thousands-of-miles-in-a-perfectly-straight-line.txt	0.1673	-0.6110	1.2030	-0.6471	1.3337	-1.1364	1.2094	-1.2376	-0.3052	-0.5217	-1.2500	0.7390	-0.3517	-0.8019	2.2826	-0.4615	0.0835	-0.0606	-1.0000	2.7668	0.2508	-0.9091	2.8044	0.7714	-1.4507	1.8541	1.4777	1.2065	-0.5869	-2.3024	-0.7174	-1.0625	-0.5000	-0.5976	0.3057	-0.4216	-0.7273	-0.0053	3.4188	0.7019	-0.5972	-0.9401	-0.8795	-1.4940	-0.6154	-0.5573	-0.2671	3.6675	0.4562	0.7882	2.1776	-0.5251	-0.8571	-0.8454	3.6675	-0.8000	-0.9460	0.0000	-0.7407	-0.4300	0.3907	0.9670	-0.8235	-0.3333	-1.0500	0.7103	3.4650	RB	GER NN PHC TSUB [PASTP] [PRESP] [SERE] [WZPRES]
WhyFiles_10062595.txt	0.1523	0.1375	1.8795	0.5671	3.2450	-0.6673	1.1850	1.0829	-0.3133	-0.5217	2.6200	0.2200	-1.2222	-0.8049	0.8737	-0.4615	-0.7000	0.8334	-0.5086	4.2931	0.1231	-0.9091	1.4163	-0.2874	-0.5786	-0.0012	1.2914	2.5585	-0.3505	-2.0268	-0.7174	-1.0625	1.2200	-0.7821	-0.6011	-1.1864	-0.7273	-1.1454	4.6600	0.1250	-0.8778	-0.7308	-1.2243	-1.1322	0.1785	-0.6703	-0.3600	4.9100	-1.4554	-0.6364	1.8400	-0.6392	-0.8571	-0.4704	7.4900	-0.8000	-0.5488	0.0000	-0.7407	-0.6026	-0.5044	0.4320	-0.8235	-0.3333	-1.0500	0.1923	1.9778	RB	CONC DWNT NN PRED TSUB [PASTP] [SERE]
Dogo_News_file10059848_finnish-scientists-develop-edible-insect-vaccine-to-save-bees.txt	-0.4050	1.1219	1.0482	0.3218	-0.6250	0.3614	3.3688	-1.1805	-0.2719	0.1943	-0.2206	-0.7155	-1.2222	0.0309	-0.1079	-0.4615	-0.7000	0.3641	-1.0000	2.6117	-0.0091	0.5882	0.5711	-0.3939	-0.0585	-0.9118	0.2257	1.3604	-0.5488	-2.0424	-0.5980	-1.0625	2.2450	0.5662	-1.0151	2.6346	0.7700	-0.5967	1.5588	1.4712	-0.3436	-0.2961	-0.0431	-1.4182	0.6515	-0.4601	-0.2065	7.9875	-0.0698	-0.6364	0.3806	-0.3051	-0.3866	0.4046	7.9875	0.8470	-0.2232	0.0000	-0.1307	-0.4042	0.0476	1.0470	-0.8235	-0.3333	0.5975	-0.8065	0.0261	RB	CONJ NN THAC TO [PASTP] [SERE]
History_Kids_BBC_10403933_memory7s.txt	-0.2388	0.3619	-0.9979	3.0218	-0.6250	-0.1914	-0.7500	-2.1095	-0.9583	-0.5217	0.0494	-1.0050	1.6656	0.1129	-0.2008	-0.4615	-0.1800	-1.5699	-1.0000	1.9960	-0.8766	-0.9091	1.0507	-0.5034	0.0134	0.3112	1.0160	-0.6081	-0.3433	-1.6601	0.1865	0.2369	1.2333	-0.4210	-0.8917	-0.0620	-0.7273	1.9975	-0.5000	-0.0192	2.9552	-2.1441	-0.0302	-1.3376	0.1846	-0.3905	0.4355	-0.2500	-0.6542	-0.6364	-0.5882	-0.2314	-0.8571	0.6917	2.3500	-0.8000	-1.3684	0.4160	-0.3556	0.4058	1.7793	3.5580	-0.8235	6.5967	-0.5300	-0.8065	-0.3111	DEMO VPRT	CAUS VBD [SERE] [WHCL] [WHQU]
Quatr_us_10392794_circle.txt	-1.0385	-0.3283	-0.5227	1.0729	-0.6250	0.1927	0.1638	-0.9648	-0.0446	-0.5217	-1.2500	1.2848	-1.2222	-0.8741	-1.4574	-0.4615	-0.7000	-0.4291	-1.0000	3.2253	-0.4682	-0.9091	-0.1763	-0.6091	1.2262	-0.0518	0.0137	0.4415	-0.9852	-1.8998	0.3420	-0.1488	1.9367	-0.6338	-1.0680	-0.0500	-0.7273	-1.1340	6.8100	-1.6538	-0.9824	0.0790	-0.9141	1.3301	-0.6154	-0.1756	-1.0115	-0.2500	-1.6538	-0.6364	-0.5882	-1.0279	-0.8571	-0.3430	-0.2500	-0.8000	-2.2000	0.0000	-0.7407	-0.9355	-0.7561	0.8620	-0.8235	-0.3333	-0.3190	-0.8065	0.7356	[SPAU]	NN TSUB
TeenVogue_10406279_ilhan-omar-first-muslim-woman-first-somali-american-congress-minnesota.txt	-1.0385	0.3938	1.1621	0.2924	-0.6250	-1.1364	-0.7500	-1.5964	-0.2927	-0.5217	-1.2500	0.7821	-1.2222	0.1207	-1.4218	-0.4615	-0.7000	0.4250	-1.0000	2.9619	0.6149	-0.9091	2.8822	0.1149	-0.5507	-0.9118	-0.2880	0.0354	-0.9531	-2.2751	-0.1386	-1.0625	-0.5000	-0.5872	0.3400	0.7623	-0.7273	0.1620	5.4900	0.8462	0.1522	-1.1010	-1.1316	-1.6337	0.6131	-0.7258	-1.2126	-0.2500	-0.7323	-0.6364	2.2306	-1.2700	-0.4009	0.3491	7.7375	-0.8000	-0.2832	0.0000	-0.7407	1.1258	-0.3666	-0.6000	-0.8235	-0.3333	1.3460	-0.2913	1.7733	RB	NN PHC TSUB [PRESP] [SERE]
Factmonster_10052970_june-17.txt	-1.0385	1.3688	1.0793	0.4382	6.2937	-1.1364	0.4031	-1.4786	-0.5740	-0.5217	-1.2500	-1.5000	-1.2222	-1.0421	-0.8711	-0.4615	-0.7000	-0.6771	-0.1214	4.0512	0.2837	0.7682	-0.5759	1.6786	-0.4113	-0.9118	-0.6029	-1.8077	-1.3333	-2.4693	-0.7174	-1.0625	5.6500	-1.1379	0.0957	1.2929	-0.7273	0.8031	1.8062	0.9423	0.7444	-2.2115	-0.7885	-2.5905	0.8038	-0.7258	-0.3364	4.3625	0.1202	2.7182	-0.5882	-1.1986	-0.8571	-1.0843	-0.2500	-0.8000	0.7520	0.0000	-0.7407	2.0403	-0.7561	-0.6000	-0.8235	-0.3333	-1.0500	-0.8065	-0.8889	RB VPRT [BEMA]	CONC NN THAC [PASTP] [PIRE] [SUAV]
Factmonster_10053269_may-01.txt	-1.0385	2.0246	0.9893	-0.6471	1.3500	-1.1364	0.2375	-1.9810	-0.6292	-0.5217	-1.2500	-1.1238	-0.3444	-1.0421	-1.0105	-0.4615	-0.7000	-0.7078	-1.0000	3.1837	0.7025	0.5273	2.8363	1.6204	-1.0056	-0.9118	-1.6571	-1.8077	-1.3333	-2.6502	-0.7174	-1.0625	-0.5000	-1.1379	0.7711	-1.8145	-0.7273	1.7604	-0.5000	0.7019	1.3312	-2.2192	-0.6166	-2.6463	-0.6154	-0.7258	0.2209	3.7000	-1.3500	-0.6364	2.1994	-1.2751	-0.8571	-1.1333	-0.2500	-0.8000	-1.5680	0.0000	-0.7407	0.0839	-0.7561	-0.6000	-0.8235	-0.3333	-1.0500	-0.8065	-0.8889	RB VPRT [BEMA]	ANDC NN PHC [PASTP] [PRESP]
Factmonster_10053194_august-01.txt	-0.4827	4.4817	0.9249	-0.6471	4.7938	-1.1364	-0.7500	-2.3571	-0.9583	-0.5217	-1.2500	-1.5000	-1.2222	-1.0421	-0.3211	-0.4615	-0.7000	0.6146	-1.0000	3.7383	0.0230	0.4045	4.0930	0.4855	-0.8401	0.3632	-1.6571	-0.1404	-0.9893	-2.4136	-0.7174	-1.0625	-0.5000	-1.1379	0.5786	-0.5963	-0.7273	0.5337	3.1125	1.5192	0.2496	-1.9283	-1.3934	-2.2184	6.0546	-0.7258	0.0782	6.9750	-0.8202	0.6773	-0.5882	-0.4802	-0.8571	-1.4259	-0.2500	-0.8000	0.1120	0.0000	-0.7407	-0.9355	-0.7561	-0.6000	-0.8235	-0.3333	-0.3275	0.1258	-0.8889	DEMO RB [BEMA]	ANDC CONC NN PHC TSUB [BYPA] [PASTP]
Encyclopedia_Kinds_au_10089334_Emotion.txt	-0.5342	0.9738	3.0881	0.1241	-0.6250	-0.5405	3.3456	-0.1729	-0.9583	-0.5217	-0.4306	-0.2519	0.2339	-0.9919	0.5721	-0.4615	-0.7000	2.5575	-1.0000	1.7774	3.6239	0.2827	2.6241	0.2419	-1.0815	-0.9118	-1.6571	1.2169	-1.3333	-2.2380	-0.7174	-1.0625	-0.5000	1.5738	-0.7369	-0.0863	1.6555	-0.3969	6.0525	0.9423	-1.0604	-0.2020	-1.1785	-1.4614	-0.6154	-0.6553	0.1341	3.0275	0.1104	1.7464	0.9535	-0.5965	-0.8571	-0.4552	6.3025	-0.8000	-1.1516	0.0000	-0.7407	2.8697	-0.7561	-0.6000	-0.8235	-0.3333	-1.0500	-0.3835	2.0233	RB	AWL CONJ JJ NOMZ PHC TSUB [PASTP] [SERE] [SUAV] [WZPRES]
Teen_Kids_News_10403703_how-to-build-credibility-as-a-young-entrepreneur.txt	-0.1150	1.0633	-0.1185	0.7653	-0.6250	1.0464	0.0000	-0.9281	0.2921	-0.5217	-1.2500	1.0724	-1.2222	-0.3982	-0.8945	-0.4615	-0.7000	-0.0360	-1.0000	-0.9899	0.4522	0.1818	1.8530	-1.5146	1.4237	1.2068	1.7729	3.7331	1.8107	-1.2035	4.9370	0.4381	1.5000	0.1038	-1.1429	2.6986	1.4555	-0.6886	-0.5000	-0.0192	-1.0032	0.4297	0.1810	-0.0725	0.3077	0.4360	-0.1814	-0.2500	-0.9613	-0.6364	0.8241	0.9241	0.5149	-0.0920	2.7500	-0.8000	-0.2792	0.0000	-0.7407	0.2261	1.2934	1.8010	-0.8235	3.6683	-1.0500	-0.4194	-0.2222		PRED SPP2 TO [SERE] [WHQU]
