Filename	Dim1	Dim2	Dim3	Dim4	Dim5	Dim6	TextType
SFYX.txt	22.1993	-1.9363	-0.7729	-2.0041	-0.8758	-0.6297	Informational interaction
SVH7.txt	23.4792	-2.9455	-0.8446	0.3389	-1.0732	0.4310	Informational interaction
S75W.txt	33.6168	-1.6510	-2.5404	-0.1011	-2.5485	-1.0667	Informational interaction
SH63.txt	30.9853	-0.2400	-3.0247	-1.9232	-3.2441	-0.4676	Informational interaction
SAZ8.txt	23.9637	-3.1933	0.5859	4.4512	-1.9479	-0.2071	Informational interaction
SPG4.txt	28.6082	-0.6629	-3.1513	-0.2231	-1.4352	-0.3209	Informational interaction
S4ZT.txt	20.9903	-3.1299	0.4093	0.5990	-2.2731	2.0316	Informational interaction
SXAW.txt	25.6971	-1.6652	-2.8493	-0.0950	-0.7079	0.5869	Informational interaction
SVPK.txt	29.9279	-2.1975	-0.2391	-2.3348	-1.9481	1.5149	Informational interaction
SBKN.txt	22.9520	-1.7316	-0.1925	-0.3879	-1.9856	-0.1124	Informational interaction
S477.txt	24.4378	-3.2278	-0.2701	-1.8784	-1.9707	0.3943	Informational interaction
S9YC.txt	25.9682	-1.9494	-1.4750	0.8097	-1.9696	0.1212	Informational interaction
SFXU.txt	26.2999	-1.3051	-2.0099	-1.0764	-1.8565	-0.2855	Informational interaction
SF2Q.txt	23.7435	-1.7368	-0.6601	-1.4958	-1.6229	0.3904	Informational interaction
SRTU.txt	22.2565	-2.0742	-0.4411	-1.0227	-1.4545	2.9205	Informational interaction
S67P.txt	26.3496	-0.8115	-1.2031	1.3843	-2.3667	-0.8777	Informational interaction
SVNZ.txt	28.5869	-2.5558	0.4760	4.2016	-0.9588	-0.0748	Informational interaction
S2TC.txt	24.8105	-1.1298	-2.5600	-1.7585	-1.8409	-1.2090	Informational interaction
SFC2.txt	30.8870	-3.9491	-1.1609	8.5036	-1.0014	-0.7995	Informational interaction
SF6K.txt	24.8051	-0.3864	-1.6309	0.5817	-1.3979	-0.7699	Informational interaction
S95D.txt	23.4127	-2.2268	-0.2738	-0.5989	-1.1981	-0.2848	Informational interaction
SYED.txt	26.5528	-1.7913	-1.5308	0.1128	-2.6634	-0.8147	Informational interaction
SHKZ.txt	32.0624	-1.4996	-2.0573	2.5399	-1.0402	1.7623	Informational interaction
SWSX.txt	23.1237	-1.3767	0.9804	-2.7547	-2.3252	-0.8058	Informational interaction
SAVW.txt	31.2125	-1.9207	-0.9786	1.8108	-1.7671	-0.2215	Informational interaction
SVBB.txt	23.4869	-1.9226	-2.6276	0.3363	-2.2724	0.0426	Informational interaction
SMEB.txt	24.5205	-1.9654	-1.4593	-0.3647	-1.9159	-0.5824	Informational interaction
SM6J.txt	24.7272	-2.2564	-3.4902	-1.9173	-1.5877	-1.3048	Informational interaction
SBKM.txt	25.9352	-0.8707	-0.5153	-1.2328	-2.0089	-0.3833	Informational interaction
SQE6.txt	27.9275	0.1232	-2.3956	-4.3117	-2.4736	-0.8954	Informational interaction
SBX7.txt	24.6039	-3.6850	-1.0717	3.8858	-1.9249	0.9499	Informational interaction
SZBV.txt	29.2803	0.1889	-3.1287	-0.1555	-2.5245	-0.0110	Informational interaction
STWC.txt	24.5636	-2.2009	-1.0231	-0.2423	-2.2476	0.4607	Informational interaction
S7S7.txt	22.6957	-2.8134	0.2323	-0.3755	-2.4575	0.2950	Informational interaction
SKB5.txt	24.9567	-2.8691	-2.2382	-0.1563	-1.9486	-0.5774	Informational interaction
S8W2.txt	22.6695	-3.1702	-0.6380	0.6391	-1.1336	1.1110	Informational interaction
SYU7.txt	27.8136	-2.4457	-2.4570	2.1503	-2.2399	0.5686	Informational interaction
SVFH.txt	23.2398	-1.4730	-0.0470	-1.4448	-2.9374	0.0776	Informational interaction
SXBE.txt	28.2062	-3.5711	0.3066	2.8657	-0.6872	-0.0593	Informational interaction
SQPH.txt	22.7711	-2.3126	1.4563	1.7433	-2.6412	-0.8588	Informational interaction
S7JG.txt	27.6962	-2.3784	-1.4531	0.3684	-1.6611	0.0577	Informational interaction
S9F9.txt	22.0837	-1.4627	-0.8285	-1.1830	-2.0431	-0.7419	Informational interaction
SF7R.txt	29.4939	-0.8022	-0.3450	0.9210	-2.0354	-0.9457	Informational interaction
SWWZ.txt	24.8706	-1.9253	-0.3401	-0.0013	-2.3776	-0.0840	Informational interaction
SK82.txt	21.3347	-0.9816	-0.5704	0.7451	-0.5605	-0.2288	Informational interaction
SVCW.txt	29.9630	-0.1662	-2.9067	0.7214	-1.8142	0.2910	Informational interaction
SBNC.txt	24.2105	-1.9464	0.4370	4.5627	-3.4305	-0.2930	Informational interaction
SF8D.txt	23.9780	-1.8896	-1.9142	-1.2144	-2.0995	-0.3859	Informational interaction
SZJ3.txt	19.9280	-0.1151	-0.4637	-0.7397	-2.1435	0.0688	Informational interaction
SCP7.txt	25.2547	-0.9672	0.2084	-0.1348	-2.8162	-0.3376	Informational interaction
SUWQ.txt	23.3245	-1.1190	-2.0100	-1.9916	-2.6218	-0.3876	Informational interaction
SKPP.txt	30.7507	-1.2193	-0.6690	-0.8933	-1.0011	2.0552	Informational interaction
SRK4.txt	31.2405	-2.2238	-0.6670	-0.7472	-3.3664	1.3838	Informational interaction
S7UX.txt	25.2658	-2.2316	-2.9093	-1.8397	-1.7652	0.7055	Informational interaction
S7RA.txt	28.0177	-1.3599	-1.6907	1.0951	-1.6774	-0.3003	Informational interaction
SXK4.txt	33.3787	-0.1002	-1.5992	0.2648	-2.0265	-0.1593	Informational interaction
S7P2.txt	23.9728	-3.2796	3.2440	-1.6365	-1.5474	0.7669	Informational interaction
SUDM.txt	22.3933	-2.9641	-0.2459	-3.8893	-3.0450	-2.1396	Informational interaction
SCYY.txt	22.6431	-1.2435	-1.2786	-1.7054	-0.5465	0.5533	Informational interaction
S954.txt	34.0017	-2.3606	-1.4210	1.4819	-2.2804	-0.3180	Informational interaction
SLJW.txt	25.2739	-2.5651	-3.4047	0.5803	-2.8629	-0.6255	Informational interaction
