Filename	Level	Tokens	AWL	TTR	#	$	''	,	-LRB-	-RRB-	.	:	AMP	ANDC	CAUS	CC	CD	CONC	COND	CONJ	DEMO	DEMP	DPAR	DT	DWNT	EMPH	EX	FPP1	FW	GER	HDG	IN	INPR	JJ	LS	NEMD	NN	NNP	NOMZ	OSUB	PDT	PHC	PIN	PIT	PLACE	POMD	POS	PRED	PRMD	PRP	PRPS	QUAN	QUPR	RB	RP	SPP2	SYM	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	UH	VB	VBD	VBG	VBN	VPRT	WDT	WP	WPS	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	``
._Access_1_Informative_0001.txt	A	89	1.5169	0.191011	0	0	0	0	0	0	0	0	0	0	0	0	4.4944	0	0	0	0	0	0	0	0	0	0	0	4.4944	0	0	0	0	0	0	0	91.0112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Access_1_Informative_0001.txt	A	664	4.2560	0.535000	0	0.3012	0.4518	5.2711	0.3012	0.3012	8.1325	1.8072	0.9036	0.1506	0.1506	1.6566	0.9036	0	0	0	0	0	0	9.7892	0.3012	0.1506	0.1506	0.4518	0.4518	1.5060	0	0.9036	0	5.1205	0	0.1506	38.1024	0	0.4518	0	0	1.0542	9.9398	1.5060	1.6566	0.7530	0.9036	0.9036	0	0	0	0.9036	0	1.8072	0.1506	0.6024	1.5060	0	0	0.1506	0.3012	1.0542	0	2.4096	0	0	3.0120	3.1627	0.3012	0.3012	6.3253	0	0.3012	0	0.6024	2.8614	0	0.6024	0.3012	0	0	0	0.1506	1.2048	0.3012	0.1506	0	0	0	0	0.4518	0	0	0.1506	0	0	0	0	0.1506	0.6024
Access_1_Instructional_0001.txt	A	718	4.0543	0.362500	0.1393	0.5571	0.1393	2.5070	0.9749	4.0390	13.3705	4.4568	0	0.2786	0	2.3677	0.9749	0	0.1393	0	0.5571	0.8357	0.4178	10.4457	0.1393	0.5571	0	1.3928	0	0.1393	0	1.6713	0	5.1532	2.3677	0	32.4513	0	0.8357	0	0	1.2535	10.1671	0.5571	0.1393	0.1393	1.2535	0.2786	0	0	0	0.2786	0	1.3928	0.2786	3.8997	0	0	0	0	0.4178	0.1393	0	1.6713	0	0	11.6992	0.2786	0.1393	0	4.1783	0.2786	1.2535	0	0.8357	1.3928	0	1.3928	0	0	0	0	0	1.6713	0	2.2284	0	0	0	0	0.1393	0.2786	0	0.2786	0	0	0.1393	0	0	0
Access_1_Instructional_0002.txt	A	731	4.2585	0.397500	0	0.5472	0.1368	1.5048	0.9576	6.7031	13.4063	3.1464	0	0	0	1.9152	1.6416	0	0.1368	0	0.5472	0.6840	0.1368	11.2175	0	0.5472	0.4104	0.6840	0.1368	0	0	2.0520	0	3.1464	4.1040	0	28.4542	0	2.3256	0	0	1.2312	8.0711	0.4104	0.1368	0.9576	0.8208	0.1368	0.1368	0	0	0.2736	0	1.9152	0.6840	6.8399	0	0	0	0	0.5472	0	0	2.0520	0	0.1368	12.1751	0	0.1368	0	4.6512	0.1368	1.2312	0	0	1.3680	0	0.6840	0	0	0	0	0	2.3256	0	3.1464	0	0	0	0	0	0.8208	0.1368	0.2736	0	0.2736	0	0	0.1368	0.2736
Access_1_Instructional_0003.txt	A	768	3.9375	0.387500	0	0.1302	0.2604	0.5208	1.1719	5.9896	13.0208	2.7344	0	0.1302	0	2.6042	0.9115	0	0.1302	0	1.0417	0	0.2604	11.7188	0	0.2604	0	0.2604	1.3021	0.1302	0	1.4323	0	3.1250	3.3854	0	30.0781	0	0.2604	0	0	1.3021	8.0729	0.7812	0.2604	1.1719	0.3906	0.7812	0	0	0	0.5208	0	1.6927	0.2604	5.4688	0.5208	0	0	0	0.1302	0.5208	0	0.9115	0	0	11.5885	0	0.5208	0.1302	5.3385	0.5208	1.4323	0	1.0417	1.3021	0	1.9531	0	0	0	0	0	2.0833	0.2604	1.9531	0	0	0	0	0	0.1302	0.1302	0.5208	0	0.3906	0	0	0.1302	0.2604
Access_1_Instructional_0004.txt	A	768	3.9779	0.360000	0	0	0.2604	1.5625	0.1302	4.6875	12.1094	1.5625	0	0.2604	0	2.3438	1.3021	0	0	0	0.3906	0.1302	0.1302	12.2396	0	0.2604	0	0.2604	0	0	0	1.9531	0	1.9531	3.5156	0	32.5521	0	1.3021	0	0	0.9115	11.4583	0.5208	0	1.4323	1.3021	0.1302	0.2604	0	0	0.2604	0.2604	0.9115	0	6.7708	0	0	0	0.1302	0.2604	0.2604	0	1.1719	0.1302	0.1302	10.8073	0	0	0	3.5156	0.3906	1.5625	0	0.1302	1.1719	0	0.5208	0	0	0	0	0	2.3438	0.1302	1.4323	0	0	0	0	0.2604	0.2604	0.2604	0.1302	0	0.3906	0	0	0	0.2604
Access_1_Instructional_0005.txt	A	773	4.0763	0.420000	0	0	0	1.5524	0.7762	5.1746	13.0660	3.6223	0.1294	0.1294	0.1294	2.1992	1.0349	0	0	0	0.3881	0.2587	0.5175	11.3842	0	0	0	0.1294	0.5175	0	0	1.6818	0	2.5873	3.6223	0	26.2613	0	3.6223	0	0	1.0349	7.6326	0.9056	0.1294	1.4230	0.7762	0.2587	0	0	0	0	0	2.8461	0	6.7270	0.1294	0	0	0	0.1294	1.0349	0	1.2937	0	0	13.0660	0	0.6468	0	4.9159	1.0349	1.6818	0	0.5175	1.2937	0	1.0349	0	0	0	0.1294	0	2.1992	0.5175	1.9405	0.1294	0	0	0	0.2587	1.0349	0	0.6468	0	0	0	0	0.2587	0
Access_1_Instructional_0006.txt	A	775	3.9071	0.392500	0.1290	0.1290	0.2581	1.0323	1.8065	5.1613	13.5484	2.8387	0	0.1290	0	1.9355	1.2903	0	0	0	0.6452	0	0	12.5161	0	0.2581	0	0.1290	0.2581	0.3871	0.1290	1.5484	0	5.0323	2.7097	0	28.5161	0	0.7742	0	0	1.1613	12.6452	1.0323	0.1290	0.7742	0.7742	0.1290	0	0	0	0.3871	0.1290	2.1935	0.2581	4.5161	0.2581	0	0	0	0.1290	0.6452	0	1.2903	0	0	11.3548	0.6452	0	0.3871	3.4839	0.2581	1.8065	0	0.1290	1.1613	0	0.1290	0	0	0	0	0	2.5806	0.7742	1.6774	0	0	0	0	0	0.2581	0	0.3871	0	0	0	0	0	0.2581
Access_1_Instructional_0007.txt	A	765	3.9817	0.377500	0	0.5229	0.3922	1.3072	0.7843	4.0523	11.6340	3.9216	0	0.5229	0	2.2222	2.8758	0	0	0	0.9150	0.1307	0	10.5882	0.2614	0.1307	0	0.9150	0.6536	0.6536	0	1.1765	0	4.4444	2.6144	0	25.8824	0	1.5686	0	0	0.5229	9.1503	0.2614	0.1307	1.0458	1.1765	0.5229	0.3922	0	0	0.5229	0	2.3529	0.2614	6.0131	0.1307	0	0	0	0.2614	1.0458	0	1.4379	0	0	12.0261	2.0915	0.3922	0	3.7908	0.3922	1.1765	0	0.5229	1.6993	0	0.6536	0	0	0	0	0.1307	3.1373	1.0458	1.8301	0.1307	0	0.1307	0	0	1.1765	0.3922	0.6536	0	0.2614	0	0	0.1307	0.3922
Access_1_Instructional_0008.txt	A	779	4.0193	0.397500	0	0.3851	0	1.9255	0.6418	3.9795	12.1951	2.3107	0	0.2567	0.2567	1.9255	1.5404	0	0.2567	0.1284	0.5135	0.3851	0.2567	11.6816	0	0.1284	0	0.6418	0	0.2567	0	1.5404	0	5.2632	2.5674	0	26.3158	0	1.1553	0	0	1.2837	9.8845	1.0270	0.1284	1.1553	0.6418	0.2567	0.1284	0	0	0.8986	0	2.4390	0.2567	4.1078	0.2567	0	0	0.1284	0.2567	0.5135	0	2.0539	0.2567	0	10.2696	0.8986	0.7702	0.2567	5.5199	0.2567	1.5404	0	0.2567	1.1553	0	0.3851	0	0.1284	0	0	0	2.3107	0.3851	1.9255	0	0	0	0	0.1284	0.2567	0.2567	0.2567	0	0.3851	0	0	0.2567	0.2567
