Filename	Level	Dim1	Dim2	Dim3	Dim4	Dim5	Dim6	TextType
Access_1_Informative_0001.txt	A	-7.3851	-4.1024	-0.9315	-6.6663	-3.4638	-2.9757	General narrative exposition
Access_1_Instructional_0001.txt	A	-4.9261	-2.4173	5.1347	-7.4853	-3.9201	-2.1686	General narrative exposition
Access_1_Instructional_0002.txt	A	-2.4381	-0.6398	4.7311	-5.6705	-3.9201	-2.1922	General narrative exposition
Access_1_Instructional_0003.txt	A	-0.1935	-3.3565	4.5138	-7.3240	-3.9201	-1.0148	Involved persuasion
Access_1_Instructional_0004.txt	A	-1.6453	-4.2051	4.6284	-7.3409	-3.9201	-2.1161	General narrative exposition
Access_1_Instructional_0005.txt	A	4.4156	-3.2099	5.5911	-4.0795	-3.9201	-2.5710	Involved persuasion
Access_1_Instructional_0006.txt	A	-6.7901	-3.4863	4.4546	-7.2812	-3.9201	-1.9589	General narrative exposition
Access_1_Instructional_0007.txt	A	1.4578	-1.8935	2.1680	-2.1466	-3.9201	-1.3165	Involved persuasion
Access_1_Instructional_0008.txt	A	-0.5522	-2.6042	4.6699	-6.0482	-3.1176	-1.8297	Involved persuasion
Access_1_Instructional_0009.txt	A	-2.9588	-0.3231	4.6720	-3.4393	-2.8210	-1.4798	General narrative exposition
Access_1_Instructional_0010.txt	A	-1.7036	-3.1703	3.5689	-6.2807	-3.4839	-1.4386	General narrative exposition
Access_1_Narrative_0001.txt	A	5.7233	-3.4398	-1.3104	-7.2835	-3.9201	-2.5310	Involved persuasion
Access_1_Narrative_0002.txt	A	20.5334	0.1105	1.0184	-4.3585	-3.7117	-2.8400	Informational interaction
Access_1_Narrative_0003.txt	A	13.2327	-0.8175	-1.3529	-6.6705	-3.7536	-2.3311	Imaginative narrative
Access_1_Narrative_0004.txt	A	3.1661	-2.4300	4.2371	-4.3249	-3.9201	-3.4950	Involved persuasion
Access_1_Narrative_0005.txt	A	7.4679	0.8320	0.4513	-6.2872	-3.2416	-3.1543	Imaginative narrative
Access_1_Narrative_0006.txt	A	11.1962	4.6436	-8.4163	-4.5818	-3.2795	-2.8515	Imaginative narrative
Access_1_Narrative_0007.txt	A	4.0344	1.4254	2.0986	-5.6649	-3.7470	-1.7405	Involved persuasion
Access_1_Narrative_0008.txt	A	6.3510	3.5565	-3.6453	-4.5711	-3.9201	-1.1396	Imaginative narrative
Access_1_Narrative_0009.txt	A	19.3506	1.7097	-7.5030	-2.0587	-3.5611	-1.8609	Informational interaction
Access_1_Personal_0001.txt	A	9.9833	-3.6588	-4.4928	-7.5421	-3.9201	-2.4819	Situated reportage
Access_1_Poetry_0001.txt	A	3.9532	-5.3401	-0.0637	-5.1884	-3.9201	-3.4950	Involved persuasion
Access_1_Spoken_0001.txt	A	22.6999	-6.6933	-0.8639	-8.7272	-3.9201	-3.4950	Informational interaction
Access_1_Spoken_0002.txt	A	15.6592	-6.4046	3.9730	-9.0402	-3.7286	-2.2910	Involved persuasion
Access_1_Spoken_0003.txt	A	5.7328	-4.5301	1.2674	-8.8636	-3.9201	-3.4950	Involved persuasion
Access_1_Spoken_0004.txt	A	7.9564	-2.1784	1.7891	-6.3356	-3.9201	-3.1289	Involved persuasion
Access_1_Spoken_0005.txt	A	21.8929	-4.3210	-3.4550	-7.9373	-3.9201	-3.4950	Informational interaction
Access_1_Spoken_0006.txt	A	11.2869	-3.9213	-2.2395	-7.7190	-3.9201	-3.2003	Involved persuasion
Access_1_Spoken_0007.txt	A	19.6517	-0.4950	-1.4131	-7.1488	-3.9201	0.0878	Informational interaction
Access_1_Spoken_0008.txt	A	10.8339	-4.1805	-0.8656	-7.0152	-3.9201	-2.2710	Involved persuasion
Access_1_Spoken_0009.txt	A	16.5325	-4.3657	2.4984	-9.2659	-3.7106	-3.4950	Involved persuasion
Access_1_Spoken_0010.txt	A	14.5571	-6.5409	0.9478	-6.7358	-3.7538	-2.3324	Involved persuasion
Access_1_Spoken_0011.txt	A	8.1738	-6.9245	0.6129	-8.6181	-3.9201	-3.1558	Involved persuasion
Access_1_Spoken_0012.txt	A	16.3960	-3.3458	1.2967	-9.0079	-3.0170	-3.1510	Involved persuasion
Access_1_Spoken_0013.txt	A	13.3554	-3.4611	1.5293	-4.8309	-3.3259	-2.8727	Involved persuasion
Access_1_Spoken_0014.txt	A	22.0614	-6.0120	-0.3729	-5.7382	-3.1876	-3.2160	Informational interaction
Access_1_Spoken_0015.txt	A	21.2009	-6.7632	-1.2392	-5.0390	-3.9201	-2.4115	Informational interaction
Access_1_Spoken_0016.txt	A	15.8542	-3.5300	-1.8736	-9.2659	-3.0186	-2.4658	Involved persuasion
Access_1_Spoken_0017.txt	A	1.5146	-3.9695	-1.1359	-5.1177	-1.9437	-1.9422	Involved persuasion
Access_1_Spoken_0018.txt	A	12.2221	-6.2689	-3.0728	-7.4281	-3.9201	-1.8615	Involved persuasion
Access_1_Spoken_0019.txt	A	25.2562	-5.0037	-4.1786	-8.3106	-3.9201	-1.9662	Informational interaction
Access_1_Spoken_0020.txt	A	23.4665	-2.3165	0.0818	-4.5609	-3.9201	-2.8960	Informational interaction
Access_1_Spoken_0021.txt	A	16.5610	-6.7732	-1.3442	-7.9950	-3.9201	-2.3653	Informational interaction
Access_2_Informative_0001.txt	B	-10.0108	-6.2538	6.8817	-5.8773	-2.8445	-3.0853	General narrative exposition
Access_2_Informative_0002.txt	B	-5.5580	-3.3101	4.0158	-5.1110	-2.4095	-3.2074	General narrative exposition
Access_2_Informative_0003.txt	B	-5.0359	-1.0364	-0.4804	-4.4085	-3.7598	-2.1224	General narrative exposition
Access_2_Instructional_0001.txt	B	-4.0416	-2.1835	3.4483	-5.1560	-3.9201	-1.9900	General narrative exposition
Access_2_Instructional_0002.txt	B	-0.3095	-3.8144	0.5580	-5.0221	-3.9201	-1.1855	Involved persuasion
Access_2_Instructional_0003.txt	B	-5.7282	-4.7697	2.8468	-4.7686	-3.9201	-2.2419	General narrative exposition
Access_2_Instructional_0004.txt	B	-0.8805	-2.1298	2.3438	-5.1948	-3.1270	-1.0779	Involved persuasion
Access_2_Instructional_0005.txt	B	-2.9502	-3.5780	2.4800	-3.7628	-3.9201	-0.9808	General narrative exposition
Access_2_Instructional_0006.txt	B	2.9430	0.5777	2.0229	-5.1545	-3.9201	-0.2600	Involved persuasion
Access_2_Instructional_0007.txt	B	-2.6056	-2.4297	2.8695	-5.4137	-2.6633	-0.3919	General narrative exposition
Access_2_Instructional_0008.txt	B	2.0441	-4.9918	4.2540	-2.0397	-3.9201	-0.0669	Involved persuasion
Access_2_Instructional_0009.txt	B	0.0559	-2.4252	4.1841	-0.7541	-3.7226	0.1981	Involved persuasion
Access_2_Instructional_0010.txt	B	2.2179	-0.2938	-1.1162	-2.3466	-3.9201	-0.2048	Involved persuasion
Access_2_Instructional_0011.txt	B	-2.9425	-2.5937	1.7888	-4.0823	-3.0845	-0.9486	General narrative exposition
Access_2_Instructional_0012.txt	B	-0.0674	-0.3693	3.3042	-0.9941	-3.7232	-1.0181	Involved persuasion
Access_2_Narrative_0001.txt	B	0.9135	2.1456	-0.4326	-4.4034	-2.1553	-2.3065	Imaginative narrative
Access_2_Narrative_0002.txt	B	10.6847	4.2767	2.6561	-2.8638	-3.9201	-1.4543	Imaginative narrative
Access_2_Narrative_0003.txt	B	8.8095	3.8822	2.7623	-4.7563	-3.9201	-1.7350	Imaginative narrative
Access_2_Narrative_0004.txt	B	6.0657	1.2090	0.9071	-4.8329	-3.9201	-2.4598	Imaginative narrative
Access_2_Narrative_0005.txt	B	6.9117	4.5826	-1.6918	-2.8399	-3.9201	-1.7858	Imaginative narrative
Access_2_Narrative_0006.txt	B	12.7639	4.1867	-3.3447	-2.8916	-1.0646	-1.4062	Imaginative narrative
Access_2_Narrative_0007.txt	B	14.7343	6.4511	-4.9596	-4.3190	-2.1551	2.1078	Imaginative narrative
Access_2_Narrative_0008.txt	B	4.6174	2.7442	0.4812	-4.3930	-3.0101	-0.7943	Imaginative narrative
Access_2_Narrative_0009.txt	B	8.1738	2.9596	0.2229	2.8853	-3.9201	-2.4876	Involved persuasion
Access_2_Narrative_0010.txt	B	2.2227	3.9788	-2.7710	-1.3721	-2.3807	-3.2262	Imaginative narrative
Access_2_Narrative_0011.txt	B	1.5506	2.8291	-2.1973	6.3515	-3.7182	-3.1777	Imaginative narrative
Access_2_Narrative_0012.txt	B	-2.5749	0.0711	0.6731	-5.9503	-2.1671	-1.2931	General narrative exposition
Access_2_Narrative_0013.txt	B	8.0942	6.5136	3.1872	-5.1117	-3.2445	-1.6369	Imaginative narrative
Access_2_Narrative_0014.txt	B	7.7845	4.5520	-1.9081	-2.1775	-1.9814	-3.0598	Imaginative narrative
Access_2_Personal_0001.txt	B	4.8288	-1.3249	-3.0196	-6.6248	-3.4336	-2.7767	Situated reportage
Access_2_Personal_0002.txt	B	6.3719	-2.4035	-9.0749	-5.6161	-3.6177	-0.6928	Situated reportage
Access_2_Poetry_0001.txt	B	6.4720	-5.7386	3.3504	-2.4118	-3.9201	-0.5419	Involved persuasion
Access_2_Spoken_0001.txt	B	16.2541	-3.9462	-1.6659	-1.9967	-3.2104	-2.4069	Involved persuasion
Access_2_Spoken_0002.txt	B	11.2684	-5.5491	1.0658	-6.3407	-3.7724	-1.1743	Involved persuasion
Access_2_Spoken_0003.txt	B	11.6380	-4.5870	-1.6088	-5.5969	-3.9201	-2.4726	Involved persuasion
Access_2_Spoken_0004.txt	B	21.6240	-2.3270	-1.9265	-3.7760	-3.5241	-1.1770	Informational interaction
Access_2_Spoken_0005.txt	B	15.5685	-3.8745	-4.0321	-0.0474	-3.9201	-0.7683	Involved persuasion
Access_2_Spoken_0006.txt	B	14.3576	-4.8127	-1.1529	-2.3287	-3.9201	0.1824	Involved persuasion
Access_2_Spoken_0007.txt	B	16.0379	-4.6296	-5.4229	-4.2940	-3.9201	-3.2343	Informational interaction
Access_2_Spoken_0008.txt	B	16.0415	-5.4145	-4.6161	-3.5259	-3.7732	-1.4167	Informational interaction
Access_2_Spoken_0009.txt	B	16.9527	-4.2184	-1.9423	-5.7170	-3.9201	-1.6401	Informational interaction
Access_2_Spoken_0010.txt	B	16.1325	-5.0250	-0.4524	-7.6144	-3.7374	-0.3358	Involved persuasion
