Filename	Tokens	AWL	TTR	#	$	''	,	-LRB-	-RRB-	.	:	AMP	ANDC	CAUS	CC	CD	CONC	COND	CONJ	DEMO	DEMP	DPAR	DT	DWNT	EMPH	EX	FPP1	FW	GER	HDG	IN	INPR	JJ	LS	NEMD	NN	NOMZ	OSUB	PDT	PHC	PIN	PIT	PLACE	POMD	POS	PRED	PRMD	PRP	PRPS	QUAN	QUPR	RB	RP	SPP2	SYM	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	UH	VB	VBD	VBG	VBN	VPRT	WDT	WP	WPS	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	``
73_HarrietTheSpy_4.txt.txt	5170	4.1172	0.452500	0	0	3.1141	6.5764	0.0387	0.0387	9.6132	0.3288	0.2515	0.6190	0.1934	1.4894	0.7544	0.1354	0.4449	0.0967	1.0058	0.7157	0.3675	5.9381	0.1741	0.9478	0.4255	2.3791	0.2515	0.5416	0.0967	1.6441	0.0967	3.2882	0	0.1161	21.6054	0.5222	0.1354	0.0193	0.3288	7.3694	1.5861	0.6383	0.7350	0.5222	0.6576	1.2186	0	0	1.1799	0.5029	5.3772	0.5416	1.5474	0.0193	0.0967	0	0.2321	0.4449	1.7602	0.1547	6.8279	0.0387	0.7350	4.5068	8.6267	2.0116	1.6441	3.8298	0.3868	0.9284	0	1.6634	1.7988	0.0193	2.7660	0.4642	0.0774	0.5996	0.0774	0.1741	2.3017	0.3288	0.7737	0.0387	0.0387	0.3095	0.0193	0.2128	0.4062	0.3288	0.1161	0.0387	0.1934	0.1547	0.0580	0.1934	3.2302
93_Blume1974Blubber_4.txt.txt	5168	3.8506	0.492500	0	0	5.3986	4.6440	0	0	11.3390	1.0062	0.1548	0.5031	0.1354	1.9156	0.5418	0.0387	0.3483	0.0580	0.5418	0.5031	0.0774	4.5859	0.1354	0.7353	0.1354	9.2686	0.1161	0.1548	0.0967	1.5867	0.0774	2.4381	0	0.1161	20.3560	0.1741	0.1935	0	0.5998	6.4822	1.7608	0.5805	0.5805	0.5224	1.0255	1.2190	0	0	0.7546	0.5998	4.1796	0.4063	2.2252	0	0.1548	0	0.1741	0.3676	1.6254	0	4.1989	0.0387	0.2322	5.6115	10.6424	1.8189	0.9288	5.4954	0.0967	0.8320	0	2.2639	2.3607	0.0193	4.2957	0.2902	0	0.2709	0	0.2902	2.4768	0.4063	2.0317	0.0193	0.0193	0.2515	0	0.2322	0.7353	0.7740	0.1741	0	0.2515	0.0774	0.0387	0.0580	5.3986
55_BEChildrenLewisCliveTheMagiciansNephew_4.txt.txt	5157	3.9319	0.515000	0	0	3.4904	6.7481	0.3878	0.3878	7.9310	1.0277	0.5817	1.4737	0.0582	2.1912	0.4848	0.0388	0.3878	0.0582	0.8920	0.5623	0.4266	7.2911	0.2715	0.9889	0.3296	3.5486	0.1163	0.3878	0.0194	1.7646	0.1163	4.8090	0	0.3684	17.5877	0.2715	0.0582	0	0.6787	7.7371	1.9779	0.4848	0.7756	0.3490	0.5042	1.0083	0.0970	0	1.3574	0.3878	4.9835	0.5430	1.8615	0.0194	0.4848	0.0582	0.3296	0.4460	1.4737	0.1551	5.3132	0.0194	0.3490	5.1774	8.5321	1.7064	2.1718	3.5292	0.2327	0.7175	0	1.6870	2.0361	0	2.2494	0.5623	0.0194	1.1635	0.0194	0.1551	2.8117	0.4460	2.1524	0.0776	0.0970	0.5042	0	0.2327	0.1551	0.3878	0.0776	0.0194	0.0970	0.1163	0.0582	0.0582	3.9170
20_Steinbeck1939GrapesWrath_2.txt.txt	5194	3.9846	0.447500	0	0	4.2549	6.4690	0	0	8.2018	1.2514	0.0578	2.2719	0.1348	2.0216	0.9241	0.0770	0.3080	0.0578	0.4621	0.3851	0.1925	12.0716	0.0963	0.3080	0.3273	1.7905	0.0963	0.6546	0.1155	1.5017	0.0578	4.1779	0	0.1155	23.0843	0.3273	0.2888	0.0193	0.6546	7.9707	1.0589	0.5583	0.5198	0.6353	0.9434	0.6161	0.3466	0	0.8279	0.0963	3.8891	0.6739	1.4055	0	0.3080	0	0.0385	0.3080	1.9446	0	5.0443	0.1348	0.0385	4.2934	8.4521	0.8664	1.9446	3.3500	0.2118	0.2888	0.0193	1.0974	1.5402	0	2.2526	0.7124	0.0578	0.2118	0.0193	0.0963	1.0397	0.1155	1.1937	0.0578	0	0.0770	0	0.3466	0.3466	0.3851	0.0578	0.0385	0.0578	0.0578	0.3080	0.1733	2.3489
57_BEChildrenLewisCliveTheLastBattle_3.txt.txt	5134	4.0226	0.542500	0	0	2.8633	5.1227	0.1363	0.1363	8.0834	0.9544	0.4285	0.9349	0.0584	2.5906	1.0518	0.0779	0.2727	0.0779	0.7207	0.5064	0.3116	7.6159	0.2532	0.6428	0.3701	2.9217	0	0.2143	0.0195	1.7335	0.1558	5.3759	0	0.1558	17.9977	0.4285	0.1363	0	0.6038	9.0767	1.1492	0.4480	0.7012	0.5259	0.6623	0.7012	0.0195	0	1.4803	0.2922	4.8695	0.4869	1.8115	0	0.2337	0.0195	0.2532	0.9349	1.4803	0.0584	6.3303	0	0.1169	4.6552	8.3171	1.7335	2.4347	3.6813	0.2532	0.6428	0.0390	1.2661	2.0257	0.0390	1.7920	0.5649	0.0584	1.2661	0.0195	0.1169	1.9478	0.3506	1.5972	0.0974	0.0974	0.3701	0	0.1169	0.1948	0.3506	0.1753	0.0779	0.1169	0.1558	0.0195	0.0584	2.8243
9_TheVelveteenRabbitOtherStMargeryWilliams_2.txt.txt	5065	4.1984	0.502500	0	0	1.5400	5.9427	0	0	7.3445	0.1382	0.2369	1.1451	0.0987	2.7246	0.8885	0.0592	0.1579	0.0395	0.4541	0.1777	0.0395	10.9181	0.2172	0.4541	0.2962	1.3228	0	0.6120	0	1.4215	0.0592	5.0740	0	0.1382	23.4748	0.4146	0.0987	0	0.9477	8.7858	0.8687	0.6713	0.3751	0.7305	0.6515	0.6713	0	0	0.8490	0.0592	3.7117	0.2567	1.1649	0	0.1382	0.0592	0.2172	0.7502	1.8756	0.1382	6.8312	0.1579	0.0987	4.2053	10.6811	0.9674	1.8756	1.2833	0.0790	0.5331	0.0197	0.4936	1.4018	0.1185	0.4146	0.8095	0.0197	0.4344	0.0197	0.1974	1.5005	0.0790	0.9477	0.0592	0.0987	0.2567	0	0.2369	0.5923	0.0790	0.0790	0.0592	0.0790	0.2172	0.2172	0.0395	1.5202
65_Selden1960CricketTimesSquare_1.txt.txt	5113	4.1111	0.492500	0	0	3.0706	6.2781	0	0	8.5664	0.8606	0.4303	1.2517	0.0978	2.3470	1.3495	0.0391	0.1760	0.0587	0.4107	0.3912	0.1173	7.9601	0.2347	0.6259	0.1956	1.8189	0.1956	0.5085	0.0587	1.4668	0.0978	4.5375	0	0.1369	23.0393	0.3912	0.1369	0.0391	0.6845	8.6837	1.7015	0.5476	0.8214	0.1956	0.7236	0.7236	0.0196	0	1.2322	0.4889	3.9116	0.7041	0.8019	0	0.1565	0.0196	0.1956	0.4107	1.4277	0.0391	5.9456	0.0782	0.4889	4.3810	10.5418	1.9167	1.5255	2.2296	0.2151	0.4498	0	0.7432	1.3691	0.0196	1.2517	0.5281	0.0391	0.7823	0.0196	0.3912	1.4668	0.1760	1.6429	0.1565	0.0196	0.3912	0	0.2543	0.3912	0.3520	0.1369	0	0.1565	0.1369	0.0587	0.1369	3.0706
38_MistyofChincoteagueMargueriteHenry_3.txt.txt	5098	4.2046	0.565000	0	0	2.7069	4.3154	0	0	10.0628	0.3138	0.0196	0.5492	0.0981	1.9812	0.8042	0	0.2942	0.0196	0.3138	0.0981	0.0981	10.2001	0.4119	0.3531	0.2354	0.9219	0.1177	0.6669	0	1.7850	0.0981	4.9431	0	0.0785	23.9310	0.6669	0.0981	0	0.7650	9.5920	1.5889	1.0985	0.5885	1.0985	0.5885	0.5296	0.2746	0.0196	0.8631	0.1765	3.7073	0.4708	0.4315	0.0588	0.2550	0.0196	0.0588	0.4512	1.2750	0.0588	7.5912	0.1962	0.0392	3.4327	9.1016	2.7069	1.5889	2.5304	0.1177	0.2550	0	0.7258	1.3535	0	1.6477	0.5885	0.0588	0.2354	0.0392	0.4315	1.1377	0.0981	0.4708	0	0.1373	0.0785	0	0.4708	0.1569	0.1373	0.0588	0.0392	0.1177	0.0196	0.2158	0.3923	2.5893
79_Snyder1967EgyptGame_3.txt.txt	5161	4.2480	0.515000	0	0	2.9839	5.3284	0.0581	0.0581	8.0023	0.2906	0.1938	0.9107	0.1163	2.7902	0.6200	0	0.3488	0.0775	0.4457	0.2906	0.1744	7.0529	0.1938	1.1819	0.1938	2.3058	0.0388	0.2325	0.1938	1.9570	0.0581	4.4759	0	0.2131	19.6086	0.6007	0.2713	0.0194	1.2013	8.0798	1.5113	0.5425	0.7557	0.6782	0.6782	0.8719	0	0	1.2594	0.5619	5.5222	0.8525	0.9301	0	0.1356	0	0.2131	0.3294	1.9182	0.0775	6.0453	0.0581	0.3488	4.7665	9.6687	2.3639	2.0151	2.4995	0.0775	0.4457	0.0388	1.3951	1.7438	0.0388	2.3445	0.4069	0.0194	0.8332	0	0.1938	1.2594	0.2713	1.6663	0.0581	0.0388	0.4069	0.0194	0.3294	0.3488	0.2906	0.1163	0.0194	0.0969	0.0969	0.0581	0.1550	2.9258
70_EncyclopediaBrownBoyDetectivJohn_4.txt.txt	5088	4.1466	0.490000	0	0	4.9135	4.2453	0.0983	0.0983	11.5369	0.7272	0.0786	0.4127	0.0786	1.4937	1.9654	0.0590	0.2358	0.0590	0.6093	0.2752	0.0983	9.8860	0.1769	0.3734	0.1179	2.5550	0	0.3931	0.0590	1.1792	0.1572	3.1447	0	0.1572	26.4741	0.4717	0.0983	0.0197	0.3145	7.8027	1.0024	0.6879	0.6486	0.8451	0.6093	0.7075	0.0393	0.0197	0.7665	0.3145	3.2429	0.4127	1.3168	0	0.1769	0.0393	0.0590	0.3145	1.7099	0.0197	5.8962	0.0197	0.2752	4.7170	11.1046	1.2579	1.6706	2.5943	0.0590	0.4520	0.0197	1.0220	1.5527	0.0393	1.5723	0.4914	0.1179	0.6879	0.0197	0.1376	2.1619	0.1376	2.2013	0	0.0393	0.0983	0	0.3341	0.6289	0.6682	0.1376	0.0197	0.0393	0.0983	0.0786	0.1965	5.1494
