Filename	Dim1	Dim2	Dim3	Dim4	Dim5	Dim6	TextType
73_HarrietTheSpy_4.txt.txt	8.9505	2.7083	-2.0122	1.9022	-1.1944	-0.3000	Imaginative narrative
93_Blume1974Blubber_4.txt.txt	14.1057	4.9464	-0.7930	2.0530	-1.2339	-1.6047	Imaginative narrative
55_BEChildrenLewisCliveTheMagiciansNephew_4.txt.txt	13.0844	7.9553	-0.5239	1.8006	-1.9875	-0.2347	Imaginative narrative
20_Steinbeck1939GrapesWrath_2.txt.txt	2.9474	2.7530	0.0454	-0.9504	1.1396	-2.2621	Imaginative narrative
57_BEChildrenLewisCliveTheLastBattle_3.txt.txt	4.2498	5.7118	-1.3745	-0.8627	-1.2752	-0.9060	Imaginative narrative
9_TheVelveteenRabbitOtherStMargeryWilliams_2.txt.txt	-6.7409	3.7863	0.6155	-0.0049	-0.8487	-1.6650	General narrative exposition
65_Selden1960CricketTimesSquare_1.txt.txt	0.9143	6.5578	0.0949	-0.7150	-1.3191	-1.8427	Imaginative narrative
38_MistyofChincoteagueMargueriteHenry_3.txt.txt	-7.3623	4.4458	-1.3912	-3.1970	-1.3180	-2.5452	General narrative exposition
79_Snyder1967EgyptGame_3.txt.txt	3.1808	5.1644	1.4008	1.5884	-0.1653	-1.6991	Imaginative narrative
70_EncyclopediaBrownBoyDetectivJohn_4.txt.txt	-1.1143	6.2092	-1.0546	-0.2856	-1.6596	-1.8409	Imaginative narrative
87_WatershipDown_4.txt.txt	2.7392	6.0832	0.1569	0.6487	-1.2990	-1.6012	Imaginative narrative
74_Lloyd1964BookThree_1.txt.txt	4.2906	6.9842	-2.1246	1.4197	-0.0780	-2.5041	Imaginative narrative
98_BridgeToTerabithia_2.txt.txt	4.0350	4.3258	-0.7279	0.2919	-2.1877	-1.8172	Imaginative narrative
49_BEChildrenLewisCliveTheSilverChair_4.txt.txt	11.7741	7.1613	-1.0557	0.7905	-0.8069	-1.0947	Imaginative narrative
32_BEChildrenBlytonEnidMystery03TheMysteryoftheSecretRoom_4.txt.txt	7.7631	6.2086	-2.9582	3.3781	-1.0483	-0.8385	Imaginative narrative
44_Salinger1951CatcherRye_2.txt.txt	16.5434	-0.5225	-2.3458	2.3166	-0.9433	-0.7547	Involved persuasion
32_BEChildrenBlytonEnidMystery03TheMysteryoftheSecretRoom_2.txt.txt	8.7338	6.5861	-2.5089	1.5655	0.4086	-0.7729	Imaginative narrative
59_Smith1956101Dalmatians_4.txt.txt	4.2586	7.4391	-3.3427	0.2061	-0.1568	-1.0695	Imaginative narrative
11_TheGreatGatsbyFScottFitzgerald_3.txt.txt	1.1943	3.1653	-1.7221	-1.5810	-1.4685	-0.8079	Imaginative narrative
71_RoaldDahlCharlieandtheChocolateFactory2001_2.txt.txt	4.9773	2.5041	-1.9072	-1.3438	-2.2637	-1.5134	Imaginative narrative
62_Horowitz_Eagle Strike_1.txt.txt	7.3419	5.6493	0.8276	0.1317	-1.3744	-1.4065	Imaginative narrative
52_TOLKIEN1954LOTRRING_1.txt.txt	-6.6745	5.3025	-1.6667	-3.5528	-1.3039	-1.3877	General narrative exposition
100_TheWestingGameRaskinEllen_3.txt.txt	-3.5001	4.1281	-0.6128	-1.7517	-2.4574	-1.7321	General narrative exposition
66_JamesandtheGiantPeachUnbekannt_4.txt.txt	7.0735	3.4206	-2.9498	0.1292	-1.9510	-1.7033	Imaginative narrative
84_MrsFrisbyandtheRatsofNIMHRobertOBrien_2.txt.txt	5.4298	6.5689	-3.9349	2.0275	-0.9422	-1.4522	Imaginative narrative
55_BEChildrenLewisCliveTheMagiciansNephew_2.txt.txt	5.6016	5.1753	-2.1533	2.7585	-0.2302	-0.4786	Imaginative narrative
45_Taylor1951ofAllofaKindFamily_1.txt.txt	4.0501	5.6560	-2.5105	1.4494	0.0988	-1.1500	Imaginative narrative
63_Alan_Garner_Weirdstone_2.txt.txt	2.7476	3.5375	-4.9510	1.4173	-1.1963	-1.3807	Imaginative narrative
37_BEChildrenBlytonEnidMystery05TheMysteryoftheMissingNecklace_2.txt.txt	12.7840	7.0310	-2.5717	3.7365	-2.0603	-0.6803	Imaginative narrative
15_GonewiththeWindMargaretMitchell_2.txt.txt	2.8841	4.1983	1.8204	-0.4658	-0.9838	-1.9369	Imaginative narrative
56_TOLKIEN1955LOTRKING_3.txt.txt	0.8505	2.4422	-1.8373	3.6759	1.7694	0.1742	Involved persuasion
96_Taylor1976RollThunderHearMyCry_3.txt.txt	2.6756	7.2376	-1.8321	0.5278	-1.4190	-0.9938	Imaginative narrative
64_ToKillaMockingbirdHarperLee_4.txt.txt	-0.8683	3.8396	-0.1584	-1.1249	-1.1484	-1.8693	Imaginative narrative
87_WatershipDown_2.txt.txt	1.7204	4.0757	1.1228	2.5518	-1.1566	-0.9166	Imaginative narrative
2_KiplingJustsoStories_4.txt.txt	9.3213	3.3623	4.4998	-0.2981	-1.5777	-1.6835	Involved persuasion
84_MrsFrisbyandtheRatsofNIMHRobertOBrien_4.txt.txt	7.7097	4.9261	-2.5995	2.0421	-0.5509	-1.2386	Imaginative narrative
25_BEBlytonEnidFiveGoAdventuringAgain_4.txt.txt	15.4070	6.7575	-2.6636	4.5026	-1.7985	-1.3543	Imaginative narrative
4_Peet_Mal_Exposure_1.txt.txt	-0.1520	2.8467	0.8432	-2.6925	-0.7055	-0.6873	Imaginative narrative
