Filename	Tokens	AWL	TTR	#	$	''	,	-LRB-	-RRB-	.	:	AMP	ANDC	CAUS	CC	CD	CONC	COND	CONJ	DEMO	DEMP	DPAR	DT	DWNT	EMPH	EX	FPP1	FW	GER	HDG	IN	INPR	JJ	LS	NEMD	NN	NNP	NOMZ	OSUB	PDT	PHC	PIN	PIT	PLACE	POMD	POS	PRED	PRMD	PRP	PRPS	QUAN	QUPR	RB	RP	SPP2	SYM	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	UH	VB	VBD	VBG	VBN	VPRT	WDT	WP	WPS	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	``
294_Island_everything_Hargave_3.txt.txt	5090	4.0383	0.572500	0	0	2.8094	5.9528	0	0	9.7250	0.5697	0.0786	1.2181	0.0196	2.1218	0.5894	0.2947	0.3143	0.0393	0.1965	0.3536	0.0393	6.9941	0.2161	0.4715	0.1965	6.5422	0.0786	0.5697	0.0393	2.0629	0.0393	3.5953	0.0196	0.1768	20.4126	0	0.5894	0.1179	0.0196	0.5894	8.4479	1.8271	1.0413	0.6483	0.5894	0.7073	0.4912	0.0196	0	0.8841	0.2750	4.0472	0.4519	1.1002	0	0.1179	0	0.1179	0.5697	1.5914	0.0196	6.0511	0	0.0786	3.8703	1.3752	3.1238	1.8075	11.4931	0.0393	0.6090	0.0196	1.0413	1.6306	0.0393	1.4931	0.7466	0.0393	0.5894	0	0.5697	1.6503	0.1965	0.7466	0.0196	0.0196	0.2358	0	0.2947	0.1768	0.4519	0.0982	0	0.1572	0.0589	0.0589	0.4322	2.8291
284_Seeing_Stone_1.txt.txt	5154	3.9641	0.525000	0	0	5.1222	6.8685	0	0	10.4579	0.6597	0.1552	2.3477	0.1746	2.1343	0.8537	0.0776	0.1940	0.0582	0.4269	0.4075	0.0970	6.9461	0.1940	0.3298	0.1940	6.5968	0.0970	0.3492	0.0194	1.4552	0.0776	3.8999	0	0.1358	22.9142	0	0.1552	0.1552	0.0194	0.9507	7.2177	1.3388	0.6015	0.7761	0.9507	0.6015	0.8537	0	0	0.7179	0.2134	3.8223	0.6209	1.5910	0	0.0776	0	0.0194	0.6209	0.9119	0	6.0341	0.0194	0.1940	4.1521	5.9177	1.4940	1.3582	7.2565	0.0388	0.7567	0	1.2224	1.7074	0	2.2119	0.3686	0.0582	0.5239	0	0.2522	1.8238	0.1940	2.4641	0	0	0.1164	0	0.2522	0.5821	0.4269	0.0776	0	0.2522	0.0582	0.0582	0.1552	4.9864
240_MCEWAN2014THECNACT.enuk_4.txt.txt	5122	4.4608	0.585000	0	0	1.8743	5.8376	0	0	7.4971	0.2343	0.3514	0.6248	0.0195	1.7571	0.8590	0.0586	0.3905	0.1757	0.8981	0.3319	0.0390	7.6337	0.3905	0.2929	0.1952	0.9762	0	0.6248	0	1.1909	0.1562	5.4861	0	0.3319	21.2807	0	2.0305	0.0390	0.0195	0.8005	9.5275	1.5424	0.5467	0.4295	0.8786	1.2690	0.8395	0.0195	0	0.6833	0.0781	3.7876	0.1952	1.2690	0	0.1757	0.0586	0.4881	0.5662	2.2257	0.1562	7.2433	0.1171	0.0586	4.3733	8.0633	1.5033	2.6162	2.9285	0.2343	0.7029	0.0195	1.2690	2.4209	0.0976	1.4252	0.7224	0.0976	1.0348	0.0976	0.1757	1.8938	0.0976	0.9371	0.0586	0.0781	0.3124	0	0.0586	0.5857	0.4100	0.1171	0.0195	0.0195	0.1367	0.1367	0.2343	1.8743
273_Fahy2017ChainsGaia_4.txt.txt	5027	4.3121	0.530000	0	0	3.5608	7.7979	0	0	9.1108	0.7758	0.5371	0.7360	0.0199	1.5317	0.5769	0.1591	0.2785	0.0995	0.9151	0.6366	0.1591	7.6785	0.3183	1.1140	0.2984	2.6656	0	0.5769	0.0597	1.7505	0.1989	5.5898	0	0.2586	19.6738	0	0.7360	0.0796	0	0.6962	9.0909	1.6113	0.5769	0.7559	0.4177	0.7758	0.5968	0.0398	0.0995	1.3925	0.3780	6.1667	0.3581	2.0489	0	0.1591	0.0796	0.1790	0.4376	1.1339	0.0199	4.5952	0	0.2586	3.6801	6.6242	1.9694	2.6059	4.7344	0.5371	0.4575	0.0398	1.1140	2.1484	0.0199	0.9350	0.6763	0.0796	1.0145	0.0597	0.3780	2.0887	0.1989	1.0742	0.0796	0.1989	0.7758	0	0.2785	0.3780	0.2387	0.1790	0.0199	0.0199	0.0796	0.1591	0.2785	3.3618
234_Creech_Pengiun_1.txt.txt	5103	4.4558	0.597500	0	0	2.0968	6.8979	0.0196	0.0196	7.6034	0.9210	0.3723	0.7643	0.0196	2.4103	0.4899	0.0980	0.2548	0.2156	0.4703	0.3331	0.1568	7.1135	0.3135	0.8034	0.4899	1.1170	0.0980	0.4311	0.0196	1.8812	0.1764	5.5066	0	0.2548	17.5191	0	0.9210	0.0980	0	0.7447	8.6616	1.8029	0.6467	0.8818	0.4703	0.9994	0.6467	0.0196	0	1.2738	0.4311	6.6823	0.3331	0.8426	0	0.3135	0.0588	0.2352	0.7251	2.2536	0.0588	6.1532	0.1176	0.0784	5.0363	9.0339	2.8023	2.6847	2.2144	0.2156	0.7447	0.0196	0.8426	1.9400	0.0392	1.2346	0.7251	0.0980	1.2738	0.0196	0.4115	1.6657	0.2743	1.0190	0.0392	0.2156	0.5487	0	0.2939	0.4311	0.3135	0.1764	0.0196	0.0980	0.1372	0.1176	0.2352	2.0576
219_Vandell2009HushHush_2.txt.txt	5214	3.9632	0.550000	0	0	2.8577	6.3291	0	0	9.3786	0.8055	0.1534	0.8055	0.0575	1.7837	0.3260	0.0575	0.4028	0.0575	0.5178	1.0165	0.1343	7.2881	0.3260	0.7480	0.1726	9.5129	0.0767	0.5562	0.0767	1.5919	0.0575	4.6414	0	0.1534	17.2996	0	0.6329	0.1151	0	0.5562	8.4772	1.3617	0.8822	0.6329	0.3644	1.0932	0.7096	0	0.0192	0.8247	0.4411	4.7948	0.5946	1.5535	0	0.0959	0.0192	0.3069	0.4219	2.0905	0.1343	3.3947	0.0575	0.2301	5.4277	1.4384	2.3590	0.8822	10.6636	0.1151	0.6329	0	1.0932	2.0330	0	3.1070	0.2877	0.0192	0.1918	0	0.6521	2.2823	0.2685	1.6494	0	0.1343	0.2110	0	0.2301	0.4603	0.3644	0.1726	0	0.2877	0	0	0.1151	2.8769
205_PRATCHETT2007DW36ONEY.en_1.txt.txt	5153	4.0534	0.565000	0	0	3.5901	7.5102	0	0	9.1791	0.1941	0.2135	1.0673	0.2523	1.8630	1.2808	0.0582	0.3493	0.0582	0.6792	0.7957	0.2329	7.7819	0.2911	0.9509	0.4657	3.5901	0.1552	0.1552	0.0776	1.5719	0.0194	4.5410	0	0.1358	21.4632	0	0.9897	0.0776	0	0.4657	8.2088	1.5525	0.4657	1.0091	0.4463	0.5434	0.9703	0.0388	0	0.9703	0.4463	3.8230	0.5046	2.4258	0	0.2135	0.0194	0.1941	0.4269	1.6495	0.0582	3.7842	0.1358	0.6210	4.7157	7.1803	1.7660	1.7660	4.5799	0.1164	0.8151	0	1.1838	2.0959	0.0582	2.3870	0.4075	0.0970	0.4657	0	0.2717	1.6495	0.4852	1.7854	0.0582	0.0970	0.2329	0	0.2135	0.1552	0.4075	0.1941	0	0.0582	0.1164	0.0776	0.2135	3.5319
245_PigletGetsaNewJobOCoHeart_3.txt.txt	5023	4.1865	0.502500	0	0	0.5176	7.2467	0.0199	0.0199	5.7934	0.6371	0.4181	0.7963	0.1593	2.2895	0.6172	0.0995	0.1195	0.2986	0.5973	0.2787	0.1195	10.9894	0.4380	0.7366	0.6371	0.3185	0	0.6371	0.1195	1.9908	0.0796	5.6341	0	0.0995	17.1212	0	0.6769	0.2190	0.0796	0.4380	8.2222	1.8714	1.0352	0.7167	0.2588	0.9556	0.5973	0	0	1.1945	0.3584	6.2313	0.5176	0.1394	0	0.3185	0.0995	0.4380	0.6371	1.7918	0.2190	7.0476	0.1792	0.0597	3.9021	9.9343	2.2098	2.8469	0.8362	0.1991	0.2787	0	1.0352	1.9112	0.0597	0.6769	0.6769	0.0597	1.6126	0.0796	0.5773	2.1302	0.1195	0.1991	0.0995	0.2190	0.4181	0	0.1593	0.2986	0.2190	0.1593	0	0.0398	0.0597	0.0597	0.3384	0.5375
211_HADDON2006ASPOTHER.enuk_1.txt.txt	5129	4.1870	0.572500	0	0	0	3.8409	0.0780	0.0780	7.4673	0.0585	0.1170	0.7799	0.0585	2.9635	0.6044	0.0195	0.3899	0.0585	0.4874	0.4289	0.0390	7.4868	0.1560	0.8969	0.0780	1.1893	0.0585	0.7019	0.0390	1.9302	0.0390	4.7963	0	0.1365	18.6001	0	0.5069	0.1170	0.0195	0.7409	8.7151	1.5793	0.5069	0.7799	0.5849	1.1113	0.7409	0.0195	0	1.1698	0.5459	3.9774	0.5069	0.8579	0	0.3120	0.0975	0.2145	0.4289	1.8132	0.1170	8.9491	0.0195	0.0780	4.3478	10.3334	3.1780	2.3981	1.5403	0.3120	0.3704	0.0195	1.3063	2.0277	0.0390	1.9692	0.5069	0.0390	0.9359	0.0585	0.1755	2.1837	0.2340	1.0528	0.0780	0.4094	0.3120	0	0.2145	0.3314	0.6239	0.2535	0.0390	0	0.1170	0.0585	0.2535	0
275_NeverLetYouGotitledLowry_3.txt.txt	5211	3.7350	0.442500	0	0	2.4372	6.7933	0	0	5.8914	1.0171	0.0192	1.0171	0.1151	2.6291	0.4989	0.0768	0.6141	0.0576	0.4989	0.5565	0.0576	4.4713	0.3454	0.7100	0.1919	8.0791	0.0192	0.1727	0.0576	1.6695	0.2111	3.0512	0	0.1343	15.9470	0	0.6141	0.1919	0.0192	0.4222	8.2326	1.7463	0.9787	1.2090	0.2879	0.6525	1.0555	0	0	1.0746	0.6525	4.0875	0.4989	1.7079	0	0.2687	0.0192	0.1535	0.5949	2.6482	0.0960	5.6227	0.0960	0.2879	6.7933	8.7507	2.5715	1.8039	2.6866	0.0576	0.9787	0.0192	2.0342	1.8614	0.0192	2.4180	0.4414	0.0960	0.7868	0	0.5181	3.0129	0.4414	1.3433	0	0.1727	0.5181	0	0.2495	0.1151	0.6908	0.2879	0.0192	0.2111	0.0384	0.0384	0.2111	2.4563
