Filename	Dim1	Dim2	Dim3	Dim4	Dim5	Dim6	TextType
294_Island_everything_Hargave_3.txt.txt	3.8600	2.3674	-2.4931	-1.4705	-1.2815	-2.6207	Imaginative narrative
284_Seeing_Stone_1.txt.txt	7.8801	4.7891	-0.1850	-1.7329	-1.3992	-2.4117	Imaginative narrative
240_MCEWAN2014THECNACT.enuk_4.txt.txt	-4.5752	4.3502	1.4054	3.2018	-0.9319	0.3264	General narrative exposition
273_Fahy2017ChainsGaia_4.txt.txt	4.5333	4.0009	-1.2361	0.9997	-1.0366	-0.6990	Imaginative narrative
234_Creech_Pengiun_1.txt.txt	-0.4038	7.0447	-1.9615	2.2551	-0.2037	-1.5643	Imaginative narrative
219_Vandell2009HushHush_2.txt.txt	9.2443	2.4620	-2.4148	1.0469	-2.0784	-1.2040	Imaginative narrative
205_PRATCHETT2007DW36ONEY.en_1.txt.txt	7.7181	3.7999	-0.1574	-0.3434	-1.9830	-1.2086	Imaginative narrative
245_PigletGetsaNewJobOCoHeart_3.txt.txt	0.1275	7.8780	-4.4046	-0.9916	1.1552	-0.5626	Imaginative narrative
211_HADDON2006ASPOTHER.enuk_1.txt.txt	0.6340	6.7299	0.5444	0.4752	-1.5341	-1.5950	Imaginative narrative
275_NeverLetYouGotitledLowry_3.txt.txt	15.3338	6.7267	-2.9957	3.8507	-1.0229	-1.7779	Imaginative narrative
252_TheDragonandTheGarlicEater_2.txt.txt	-1.3718	4.4548	2.1035	-0.7484	1.3177	-0.5957	General narrative exposition
232_Creech_Beekle_Henry_4.txt.txt	10.6491	1.8583	-1.9149	2.2543	1.1377	-0.2991	Involved persuasion
265_Fahy2016DrownedTomb_4.txt.txt	1.1207	6.7056	-0.4740	-0.1865	-1.7140	-0.4219	Imaginative narrative
213_PRATCHETT2008NATION.enuk_4.txt.txt	8.1199	4.4573	-0.8705	0.4475	1.1685	-0.7857	Imaginative narrative
292_Adams_Watership_down_1.txt.txt	0.3629	6.4650	-2.5029	-1.5932	-0.5727	-1.0032	Imaginative narrative
296_Zindel_Raptor_3.txt.txt	-4.2317	5.3814	0.3477	-2.7861	-1.8949	-2.6241	General narrative exposition
216_Meyer2008Host_2.txt.txt	4.0114	4.3959	-4.0410	1.0784	-2.4887	-0.9189	Imaginative narrative
276_BEChildrenMcCaughreanTheWhiteDarknesscomplete_1.txt.txt	0.6988	2.5298	-0.7155	-0.7325	-1.7069	-1.6464	Imaginative narrative
228_BurlyandGrumTheSecretCityKateTenbeth_4.txt.txt	3.5912	4.2026	0.5336	-1.0893	-2.4367	-2.2276	Imaginative narrative
254_Ribblestrop2MulliganAndy_2.txt.txt	3.9822	5.1908	-0.9177	-0.4191	-1.2168	-0.9600	Imaginative narrative
263_LEVY2016HOTMILK.enuk_1.txt.txt	-0.2697	5.0573	-1.5094	1.1506	0.5292	-1.2386	Imaginative narrative
229_GiftedOCoFantasyAdventureChCelestaThiessen_2.txt.txt	2.0290	7.5323	-3.1227	-1.6686	-0.9074	-1.8340	Imaginative narrative
215_CatchingFireSuzanneCollins_1.txt.txt	7.9598	2.0200	-0.4127	2.5979	0.3763	-1.9267	Involved persuasion
286_FineAnneTheTulipTouch_2.txt.txt	4.3922	2.4618	-2.2403	3.5507	-1.8539	-1.3254	Imaginative narrative
296_Zindel_Raptor_4.txt.txt	-6.6619	4.3993	0.2688	-2.8573	-2.1223	-2.1673	General narrative exposition
